feature,declaration,expression,control,type,binding,effect,memory,concurrency,meta
abi_calling_convention,0,0,0,0,0,0,1,0,0
allocation,0,0,0,0,0,1,0,0,0
array_list,0,1,0,0,0,0,0,0,0
array_type,0,0,0,1,0,0,0,0,0
assignment,0,1,0,0,0,0,0,0,0
atomic,0,0,0,0,0,0,0,1,0
attribute_annotation,1,0,0,0,0,0,0,0,0
await,0,1,0,0,0,0,0,0,0
binary_op,0,1,0,0,0,0,0,0,0
break,0,0,1,0,0,0,0,0,0
bytecode_vm,0,0,0,0,0,0,0,0,1
call,0,1,0,0,0,0,0,0,0
capture,0,0,0,0,1,0,0,0,0
cast_conversion,0,1,0,0,0,0,0,0,0
channel,0,0,0,0,0,0,0,1,0
class,1,0,0,0,0,0,0,0,0
closure_lambda,0,1,0,0,0,0,0,0,0
code_generation,0,0,0,0,0,0,0,0,1
compile_time_eval,0,0,0,0,0,0,0,0,1
comprehension,0,1,0,0,0,0,0,0,0
constant,1,0,0,0,0,0,0,0,0
continue,0,0,1,0,0,0,0,0,0
defer_cleanup,0,0,1,0,0,0,0,0,0
dynamic_dispatch,0,0,0,0,0,1,0,0,0
enum,1,0,0,0,0,0,0,0,0
exception_try,0,0,1,0,0,0,0,0,0
ffi,0,0,0,0,0,0,1,0,0
filesystem,0,0,0,0,0,1,0,0,0
for,0,0,1,0,0,0,0,0,0
foreach_iteration,0,0,1,0,0,0,0,0,0
function,1,0,0,0,0,0,0,0,0
function_type,0,0,0,1,0,0,0,0,0
gc,0,0,0,0,0,0,1,0,0
generic,1,0,0,0,0,0,0,0,0
generic_constraint,0,0,0,1,0,0,0,0,0
global_state,0,0,0,0,0,1,0,0,0
goto_label,0,0,1,0,0,0,0,0,0
identifier,0,1,0,0,0,0,0,0,0
if,0,0,1,0,0,0,0,0,0
import,1,0,0,0,0,0,0,0,0
index,0,1,0,0,0,0,0,0,0
interface_trait,1,0,0,0,0,0,0,0,0
io,0,0,0,0,0,1,0,0,0
ir,0,0,0,0,0,0,0,0,1
layout_alignment,0,0,0,0,0,0,1,0,0
lifetime,0,0,0,0,1,0,0,0,0
literal_boolean,0,1,0,0,0,0,0,0,0
literal_null,0,1,0,0,0,0,0,0,0
literal_numeric,0,1,0,0,0,0,0,0,0
literal_string,0,1,0,0,0,0,0,0,0
lock_mutex,0,0,0,0,0,0,0,1,0
macro,0,0,0,0,0,0,0,0,1
manual_memory,0,0,0,0,0,0,1,0,0
map_dict,0,1,0,0,0,0,0,0,0
map_type,0,0,0,1,0,0,0,0,0
member_access,0,1,0,0,0,0,0,0,0
memory_model,0,0,0,0,0,0,0,1,0
module,1,0,0,0,0,0,0,0,0
mutation,0,0,0,0,0,1,0,0,0
name_resolution,0,0,0,0,1,0,0,0,0
network,0,0,0,0,0,1,0,0,0
optimizer,0,0,0,0,0,0,0,0,1
optional_nullable,0,0,0,1,0,0,0,0,0
overload_resolution,0,0,0,1,0,0,0,0,0
ownership,0,0,0,0,0,0,1,0,0
parameter,1,0,0,0,0,0,0,0,0
pattern,0,1,0,0,0,0,0,0,0
pointer,0,0,0,1,0,0,0,0,0
primitive_bool,0,0,0,1,0,0,0,0,0
primitive_float,0,0,0,1,0,0,0,0,0
primitive_integer,0,0,0,1,0,0,0,0,0
primitive_string,0,0,0,1,0,0,0,0,0
random,0,0,0,0,0,1,0,0,0
reference,0,0,0,1,0,0,0,0,0
reflection,0,0,0,0,0,1,0,0,0
return,0,0,1,0,0,0,0,0,0
scope,0,0,0,0,1,0,0,0,0
set,0,1,0,0,0,0,0,0,0
shadowing,0,0,0,0,1,0,0,0,0
slice,0,1,0,0,0,0,0,0,0
struct,1,0,0,0,0,0,0,0,0
subtyping,0,0,0,1,0,0,0,0,0
switch_match,0,0,1,0,0,0,0,0,0
symbol_table,0,0,0,0,1,0,0,0,0
task_async,0,0,0,0,0,0,0,1,0
thread,0,0,0,0,0,0,0,1,0
throw_raise,0,0,1,0,0,0,0,0,0
time,0,0,0,0,0,1,0,0,0
tuple,0,1,0,0,0,0,0,0,0
tuple_type,0,0,0,1,0,0,0,0,0
type_inference,0,0,0,1,0,0,0,0,0
unary_op,0,1,0,0,0,0,0,0,0
union_sum,0,0,0,1,0,0,0,0,0
unsafe,0,0,0,0,0,0,1,0,0
variable,1,0,0,0,0,0,0,0,0
visibility,1,0,0,0,0,0,0,0,0
while,0,0,1,0,0,0,0,0,0
yield,0,1,0,0,0,0,0,0,0
