component,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
ast,5617,834,74,106,158,72,3444,40,44,23,1,177,1061,712,2,5498,1459,249,274,0,1570,23,513,128,1464,927,699,91,12,1084,7560,5119,15,11297,1504,28,6,3099,108,18031,733,9961,16,4212,2815,1474,7626,12351,160,216,7,3652,105,411,145,58,0,10286,2013,93,5,169,3638,366,1171,8839,3680,175,2,164,800,27,40,624,71,78,3982,6,163,0,1991,204,147,0,1525,112,82,15,1911,535,562,73,38,1214,21729,6457,101,119
binding,96,13,0,0,15,0,5,68,0,0,0,1,7,0,0,238,361,0,1,0,22,0,126,1,112,102,6,12,0,49,578,135,0,202,42,0,0,37,3,388,18,144,2,598,0,142,187,174,2,1,2,10,0,2,9,0,0,238,156,13,0,29,79,49,50,152,123,0,0,19,35,0,2,256,1,0,2046,0,0,0,247,14,1,0,237,3,5,0,32,6,143,0,0,57,580,232,1,14
codegen,1115,16,0,14,0,0,23,19,0,0,0,0,11,5,0,177,13,89,0,0,3,0,8,0,228,84,108,4,0,11,424,154,0,125,5,0,0,44,0,577,11,304,1,210,864,7,242,464,0,0,7,2,0,53,0,0,0,1323,86,0,0,20,96,1,74,139,64,13,0,13,132,1,4,230,76,0,20,0,0,0,688,0,0,0,31,2,13,2,148,7,65,0,0,25,1032,793,0,30
docs,1014,988,9,21,112,59,715,90,3,1,7,2,270,270,13,1337,498,40,42,2,700,0,162,57,479,412,477,10,1,352,3099,442,12,1538,624,53,1,309,5,5537,294,2042,18,1208,447,183,448,764,41,88,30,207,30,307,6,6,2,1431,1165,2,67,282,626,197,272,2198,628,42,4,347,285,19,170,102,86,9,236,1,2,37,932,174,20,10,1195,225,94,30,272,25,61,0,4,720,2428,906,1,131
grammar,1663,95,21,61,153,130,1640,19,34,1,150,15,87,26,0,839,459,22,20,0,1108,1,129,53,543,241,157,14,7,181,1127,364,0,970,169,12,18,1682,6,2139,470,998,13,3368,1402,147,3860,3148,73,286,0,396,36,72,19,25,0,942,508,1,198,28,729,11,400,2109,1108,3,19,154,4255,0,37,313,10,8,393,4,3,0,686,59,8,4,460,66,106,0,332,39,392,36,0,187,2771,736,6,60
ir,3980,4409,60,73,329,461,1289,405,19,11,123,181,4371,1842,2,8665,6469,1068,336,0,6663,9,4760,1910,4134,1366,1767,15,42,3056,39468,4742,8,11578,604,190,6,722,28,21831,2124,7647,21,97903,2295,5906,14846,15146,664,309,14,386,1144,472,357,29,0,13981,9103,23,0,2825,9763,227,16430,19843,5527,203,13,1230,6318,16,284,17238,1555,39,6358,1,3,4,7321,643,45,8,4849,396,400,8,7390,923,307,8,1,5434,25981,18652,23,1119
lexer,3,7,0,0,0,4,30,0,0,0,0,0,1,0,0,64,6,6,0,0,33,0,2,1,32,36,9,36,0,8,20,0,0,5,2,0,0,138,0,751,1,64,0,65,7,1,91,134,0,1,9,38,4,15,0,0,0,1553,12,0,0,6,67,2,1,20,1,0,0,39,160,0,0,0,0,0,1,0,0,1,92,0,0,0,14,21,1,0,3,0,23,0,0,15,279,116,0,2
optimizer,122,283,2,3,62,61,121,23,0,0,2,0,171,23,0,368,620,5,34,0,501,0,225,113,403,241,95,0,0,210,4008,113,0,279,84,19,7,52,0,1435,25,228,0,1116,85,785,1758,1018,49,28,1,164,13,56,8,0,0,669,1566,0,0,538,208,0,970,1897,193,17,6,138,198,2,13,1256,12,2,895,0,0,1,474,3,0,0,194,16,14,0,415,11,66,0,0,230,4289,1103,0,17
other,21732,4534,87,194,377,2116,16359,565,84,10,16,311,835,427,66,7330,2282,865,758,2,7335,6,903,438,6137,2782,3707,809,18,9284,26580,5226,47,38688,595,78,30,3092,87,38006,3587,16022,516,18158,11384,1578,26922,21143,773,601,1897,4086,1535,2903,88,67,3,44739,10082,263,68,656,7286,607,3067,13752,4302,516,17,5767,29445,45,1866,1569,2396,91,2198,1,180,15,10204,261,65,27,21884,4166,535,879,2344,398,767,50,4,15641,45221,15543,12,725
runtime,2471,2760,6,24,42,610,745,2023,1,0,149,5,327,188,4,3606,417,45,380,2,570,0,185,159,1352,1247,730,27,0,1642,3772,526,6,4550,267,10,6,323,2,9808,254,4114,147,2658,3639,855,6162,6698,36,74,320,466,757,262,6,0,3,3323,1944,19,9,112,1017,140,1533,1877,543,76,0,381,7060,6,137,430,393,1,188,0,0,4,5013,191,3,161,5793,1724,691,226,626,109,150,0,9,2039,17560,4156,0,142
tests,12527,1299,58,99,456,1307,6915,3537,13,0,13,29,2261,774,49,16711,6679,284,191,0,5060,0,959,341,7250,2980,3737,148,14,4419,14896,4588,47,18893,1885,40,0,752,23,46294,5831,28931,595,12590,4574,3216,12530,21637,352,327,520,11376,332,1640,39,6,0,40195,11616,18,32,277,7555,3067,2174,12624,2817,80,22,5791,15702,11,2241,2279,4365,58,2063,0,340,40,22440,597,14,3,15943,1507,817,216,3261,147,7851,23,26,12680,42984,40999,13,449
types,3763,665,155,67,485,78,2564,126,176,15,1,624,1063,2633,1,4905,3720,25,59,0,3111,25,276,122,2352,847,644,12,25,1145,9150,3509,2,8197,10586,35,3,1328,168,20005,2029,10820,8,4706,1515,1659,10035,10111,241,229,83,2055,200,543,257,136,3,8733,2673,422,2,146,4200,2373,1308,10967,4342,191,26,820,1338,31,265,1561,48,281,1759,35,52,0,5189,723,137,0,1859,224,147,12,2420,575,2933,171,6,1963,18911,11444,65,274
