semanticprogram_axis,evidence_weight,normalized_share
abi.ffi,167214,0.02384732033183221
binding.graph,48367,0.006897887392740611
capture.shadowing,48367,0.006897887392740611
compiletime.semantics,179973,0.025666952420735335
concurrency.model,70382,0.010037569220250784
control.flow,45839,0.006537355225584321
conversion.semantics,212269,0.030272864948614895
data.flow,303323,0.04325858328257407
dialect.extension,179973,0.025666952420735335
effect.graph,78971,0.011262494372032972
effects.control,45839,0.006537355225584321
evaluation.order,349162,0.049795938508158395
lowering.pipeline,179973,0.025666952420735335
memory.model,167214,0.02384732033183221
memory.ordering,70382,0.010037569220250784
nodes.declaration,1129840,0.1611327783781101
nodes.expression,303323,0.04325858328257407
operations,303323,0.04325858328257407
ownership.lifetime,167214,0.02384732033183221
purity,78971,0.011262494372032972
runtime.contract,78971,0.011262494372032972
scope.binding,1178207,0.1680306657708507
synchronization,70382,0.010037569220250784
types.origin,212269,0.030272864948614895
types.structure,1342109,0.191405643326725
