case_id,source_language,input_kind,status,input_bytes,uast_hash,diagnostic
4a4401588feeaaae165ff5b2e6c998fcac82682182dcbdea0570980756c1d1c7,kotlin,assembly,FAIL,316,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4a4401588feeaaae165ff5b2e6c998fcac82682182dcbdea0570980756c1d1c7,kotlin,machine_code,FAIL,76,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4a4401588feeaaae165ff5b2e6c998fcac82682182dcbdea0570980756c1d1c7,kotlin,object,FAIL,171,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4a4401588feeaaae165ff5b2e6c998fcac82682182dcbdea0570980756c1d1c7,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
64c1b0ed59a4da44571671557b6beb4457dec3a34e0aa9736687c38a3cd0e063,kotlin,assembly,FAIL,316,,"binary frontend: semantic lifting unavailable for instruction ""push"""
64c1b0ed59a4da44571671557b6beb4457dec3a34e0aa9736687c38a3cd0e063,kotlin,machine_code,FAIL,76,,"binary frontend: semantic lifting unavailable for instruction ""push"""
64c1b0ed59a4da44571671557b6beb4457dec3a34e0aa9736687c38a3cd0e063,kotlin,object,FAIL,171,,"binary frontend: semantic lifting unavailable for instruction ""push"""
64c1b0ed59a4da44571671557b6beb4457dec3a34e0aa9736687c38a3cd0e063,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
aee2364947d85c2d3e405ba5b4f65275269d5e1f806bb2c45367ec1fe741b668,kotlin,assembly,FAIL,235,,"binary frontend: semantic lifting unavailable for instruction ""push"""
aee2364947d85c2d3e405ba5b4f65275269d5e1f806bb2c45367ec1fe741b668,kotlin,machine_code,FAIL,46,,"binary frontend: semantic lifting unavailable for instruction ""push"""
aee2364947d85c2d3e405ba5b4f65275269d5e1f806bb2c45367ec1fe741b668,kotlin,object,FAIL,141,,"binary frontend: semantic lifting unavailable for instruction ""push"""
aee2364947d85c2d3e405ba5b4f65275269d5e1f806bb2c45367ec1fe741b668,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
89466645eabc0d30ec7afb8c55b1778aa09299424159ef71fc9843986e58bbc9,kotlin,assembly,FAIL,235,,"binary frontend: semantic lifting unavailable for instruction ""push"""
89466645eabc0d30ec7afb8c55b1778aa09299424159ef71fc9843986e58bbc9,kotlin,machine_code,FAIL,46,,"binary frontend: semantic lifting unavailable for instruction ""push"""
89466645eabc0d30ec7afb8c55b1778aa09299424159ef71fc9843986e58bbc9,kotlin,object,FAIL,141,,"binary frontend: semantic lifting unavailable for instruction ""push"""
89466645eabc0d30ec7afb8c55b1778aa09299424159ef71fc9843986e58bbc9,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
c12073e386c7dc4633b7141ffc829da54fd778f9a617cbfaeee6f18bc108f3a8,kotlin,assembly,FAIL,325,,"binary frontend: semantic lifting unavailable for instruction ""push"""
c12073e386c7dc4633b7141ffc829da54fd778f9a617cbfaeee6f18bc108f3a8,kotlin,machine_code,FAIL,62,,"binary frontend: semantic lifting unavailable for instruction ""push"""
c12073e386c7dc4633b7141ffc829da54fd778f9a617cbfaeee6f18bc108f3a8,kotlin,object,FAIL,157,,"binary frontend: semantic lifting unavailable for instruction ""push"""
c12073e386c7dc4633b7141ffc829da54fd778f9a617cbfaeee6f18bc108f3a8,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
