feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield,r.promise_lazy_argument,r.promise_forcing,r.missing_argument,r.dots_ellipsis,r.default_argument_lazy,r.quote_substitute_eval,r.language_object_pairlist,r.environment,r.lexical_lookup,r.superassignment,r.active_binding,r.delayed_assignment,r.closure_environment_capture,r.atomic_vector,r.list_pairlist,r.vectorized_operation,r.vector_recycling,r.coercion_lattice,r.na_value,r.na_propagation,r.nan_inf_semantics,r.complex_type,r.raw_type,r.one_based_index,r.negative_index_exclusion,r.logical_index,r.double_bracket_index,r.dollar_member_partial_match,r.attributes,r.s3_dispatch,r.s4_dispatch,r.condition_system,r.restarts_unwind,r.on_exit_cleanup,r.copy_on_modify_named,r.gc_protect,r.altrep,r.ffi_C_Call_External,r.native_registration,r.namespace_package,r.bytecode_compiler,r.rng_state
abi_calling_convention,1.008448,0.002587,0.000022,0.000089,0.000022,0.000000,0.000526,0.000022,0.000022,0.000000,0.000113,0.000022,0.000146,0.000022,0.000000,0.000526,0.000022,0.000113,0.000113,0.000022,0.000526,0.000000,0.000000,0.000474,0.000526,0.000000,0.053228,0.000474,0.000000,0.000000,0.000526,0.000089,0.041911,0.000526,0.000089,0.000474,0.000000,0.000022,0.000000,0.014544,0.000022,0.000526,0.000474,0.000113,0.041911,0.002259,0.000022,0.000022,0.000022,0.000022,0.000000,0.000113,0.041911,0.000022,0.000089,0.000022,0.002114,0.014544,0.000474,0.000146,0.000474,0.000113,0.000089,0.000089,0.041911,0.000526,0.000022,0.002203,0.000089,0.000089,0.000089,0.000089,0.000474,0.000089,0.000474,0.000000,0.000146,0.000022,0.000146,0.000022,0.000526,0.000089,0.000000,0.000146,0.000000,0.000000,0.000000,0.000474,0.000022,0.000089,0.000089,0.000022,0.000089,0.041911,0.000526,0.000526,0.000000,0.000022,0.000302,0.000428,0.000300,0.000257,0.000521,0.000396,0.000421,0.000457,0.000396,0.000207,0.000493,0.000372,0.000396,0.000307,0.000351,0.000331,0.000387,0.000307,0.000351,0.000264,0.000409,0.000351,0.000351,0.000306,0.000356,0.000385,0.000354,0.000414,0.000430,0.000676,0.000658,0.000423,0.000272,0.000105,0.016259,0.032933,0.009474,0.038871,0.021444,0.014700,0.000400,0.000444
allocation,0.001235,1.003527,0.000433,0.000336,0.000374,0.000974,0.000378,0.000297,0.000433,0.000127,0.000228,0.000371,0.000346,0.000433,0.000974,0.000378,0.000374,0.000228,0.000228,0.000297,0.000220,0.000127,0.000191,0.018809,0.000220,0.000191,0.001235,0.019414,0.000127,0.000127,0.000294,0.000336,0.007835,0.000378,0.000358,0.019414,0.000127,0.000374,0.000127,0.000299,0.000433,0.000378,0.019414,0.000228,0.007835,0.007008,0.000297,0.000297,0.000297,0.000297,0.000974,0.000228,0.007835,0.000433,0.000336,0.000433,0.006831,0.000299,0.019414,0.000346,0.019414,0.000228,0.000336,0.000336,0.007835,0.000294,0.000297,0.007004,0.000336,0.000336,0.000336,0.000336,0.019414,0.000336,0.018767,0.000127,0.000346,0.000433,0.000346,0.000433,0.000220,0.000358,0.000127,0.000346,0.000974,0.000974,0.000191,0.019414,0.000433,0.000336,0.000336,0.000433,0.000336,0.007835,0.000297,0.000220,0.000127,0.000297,0.003234,0.006829,0.003649,0.000422,0.003219,0.002899,0.003257,0.003266,0.003297,0.002852,0.006813,0.003282,0.003297,0.003286,0.003753,0.003392,0.006887,0.003272,0.003762,0.003304,0.004407,0.003744,0.003737,0.003800,0.004429,0.003858,0.004431,0.003840,0.006875,0.005964,0.002999,0.006668,0.003484,0.003349,0.013866,0.011015,0.010557,0.007283,0.003677,0.003177,0.003520,0.015013
array_list,0.000005,0.000200,1.002497,0.003952,0.009330,0.000006,0.000201,0.009479,0.012726,0.002012,0.000010,0.009333,0.000183,0.012726,0.000006,0.000201,0.009330,0.000010,0.000010,0.009479,0.000437,0.002012,0.001791,0.000211,0.000437,0.001791,0.000005,0.000200,0.002012,0.002012,0.000301,0.003952,0.000010,0.000201,0.000492,0.000200,0.002012,0.009330,0.002012,0.000184,0.012726,0.000201,0.000200,0.000010,0.000010,0.000080,0.009479,0.009479,0.009479,0.009479,0.000006,0.000010,0.000010,0.012726,0.003952,0.012726,0.000005,0.000184,0.000200,0.000183,0.000200,0.000010,0.003952,0.003952,0.000010,0.000301,0.009479,0.000480,0.003952,0.003952,0.003952,0.003952,0.000200,0.003952,0.000194,0.002012,0.000183,0.012726,0.000183,0.012726,0.000437,0.000492,0.002012,0.000183,0.000006,0.000006,0.001791,0.000200,0.012726,0.003952,0.003952,0.012726,0.003952,0.000010,0.000292,0.000437,0.002012,0.009479,0.004958,0.003045,0.005871,0.004187,0.003035,0.004322,0.003107,0.000440,0.001534,0.002600,0.001565,0.003072,0.001534,0.006584,0.006961,0.008557,0.006501,0.005214,0.006984,0.008481,0.005521,0.005335,0.005325,0.009377,0.007546,0.007044,0.007554,0.006926,0.003014,0.001301,0.001380,0.000394,0.001672,0.001560,0.001362,0.000145,0.000288,0.000148,0.000157,0.000214,0.000162,0.001546
array_type,0.000026,0.000204,0.005213,1.003209,0.000504,0.000000,0.002927,0.000523,0.005213,0.000104,0.000008,0.000514,0.000100,0.005213,0.000000,0.002927,0.000504,0.000008,0.000008,0.000523,0.002810,0.000104,0.000077,0.000301,0.002810,0.000077,0.000026,0.000144,0.000104,0.000104,0.002796,0.016657,0.000065,0.002927,0.012044,0.000144,0.000104,0.000504,0.000104,0.002789,0.005213,0.002927,0.000144,0.000008,0.000065,0.000144,0.000523,0.000523,0.000523,0.000523,0.000000,0.000008,0.000065,0.005213,0.016657,0.005213,0.000061,0.002789,0.000144,0.000100,0.000144,0.000008,0.016657,0.016657,0.000065,0.002796,0.000523,0.011952,0.016657,0.016657,0.016657,0.016657,0.000144,0.016657,0.000144,0.000104,0.000100,0.005213,0.000100,0.005213,0.002810,0.012044,0.000104,0.000100,0.000000,0.000000,0.000077,0.000144,0.005213,0.016657,0.016657,0.005213,0.016657,0.000065,0.002788,0.002810,0.000104,0.000523,0.000360,0.000289,0.000418,0.000322,0.000398,0.000442,0.002212,0.002004,0.000264,0.000277,0.000341,0.000394,0.000264,0.009237,0.007278,0.007054,0.006823,0.012304,0.007307,0.006896,0.007693,0.010008,0.009994,0.005258,0.005234,0.007313,0.005235,0.005217,0.002350,0.000505,0.002122,0.001929,0.000185,0.000082,0.000263,0.000177,0.002292,0.000134,0.000200,0.000256,0.000122,0.000219
assignment,0.000006,0.000212,0.011498,0.000471,1.002371,0.000007,0.000270,0.011398,0.011498,0.002442,0.000013,0.011218,0.004384,0.011498,0.000007,0.000270,0.014948,0.000013,0.000013,0.011398,0.000561,0.002442,0.002169,0.000226,0.000561,0.002169,0.000006,0.000212,0.002442,0.002442,0.000393,0.000471,0.000013,0.000270,0.000095,0.000212,0.002442,0.014948,0.002442,0.000249,0.011498,0.000270,0.000212,0.000013,0.000013,0.000575,0.011398,0.011398,0.011398,0.011398,0.000007,0.000013,0.000013,0.011498,0.000471,0.011498,0.000007,0.000249,0.000212,0.004384,0.000212,0.000013,0.000471,0.000471,0.000013,0.000393,0.011398,0.000081,0.000471,0.000471,0.000471,0.000471,0.000212,0.000471,0.000205,0.002442,0.004384,0.011498,0.004384,0.011498,0.000561,0.000095,0.002442,0.004384,0.000007,0.000007,0.002169,0.000212,0.011498,0.000471,0.000471,0.011498,0.000471,0.000013,0.004098,0.000561,0.002442,0.011398,0.006056,0.003770,0.007049,0.005247,0.003736,0.005253,0.003571,0.004500,0.005903,0.007129,0.005773,0.007602,0.005903,0.003818,0.004362,0.006290,0.003858,0.002047,0.004373,0.006234,0.002577,0.002270,0.002264,0.007380,0.005144,0.004437,0.005155,0.004549,0.003454,0.001616,0.001607,0.000380,0.001992,0.001907,0.001605,0.000144,0.000213,0.000159,0.000166,0.000447,0.000175,0.001826
atomic,0.000000,0.002191,0.000028,0.000000,0.000028,1.011967,0.000000,0.000028,0.000028,0.000000,0.000000,0.000028,0.000000,0.000028,0.059878,0.000000,0.000028,0.000000,0.000000,0.000028,0.000000,0.000000,0.000000,0.001671,0.000000,0.000000,0.000000,0.018795,0.000000,0.000000,0.000000,0.000000,0.000520,0.000000,0.000000,0.018795,0.000000,0.000028,0.000000,0.000000,0.000028,0.000000,0.018795,0.000000,0.000520,0.000520,0.000028,0.000028,0.000028,0.000028,0.059878,0.000000,0.000520,0.000028,0.000000,0.000028,0.043588,0.000000,0.018795,0.000000,0.018795,0.000000,0.000000,0.000000,0.000520,0.000000,0.000028,0.000520,0.000000,0.000000,0.000000,0.000000,0.018795,0.000000,0.001671,0.000000,0.000000,0.000028,0.000000,0.000028,0.000000,0.000000,0.000000,0.000000,0.059878,0.059878,0.000000,0.018795,0.000028,0.000000,0.000000,0.000028,0.000000,0.000520,0.000000,0.000000,0.000000,0.000028,0.000273,0.000605,0.000319,0.000021,0.000273,0.000212,0.000242,0.000242,0.000273,0.000239,0.000564,0.000242,0.000273,0.000242,0.000282,0.000273,0.000605,0.000242,0.000282,0.000273,0.000337,0.000282,0.000282,0.000319,0.000382,0.000319,0.000382,0.000319,0.000564,0.000484,0.000212,0.000564,0.000282,0.000282,0.001125,0.000802,0.000802,0.000564,0.000282,0.000242,0.000282,0.018497
attribute_annotation,0.000216,0.000325,0.000375,0.004138,0.000409,0.000000,1.003398,0.000420,0.000375,0.000281,0.000064,0.000371,0.003928,0.000375,0.000000,0.022307,0.000409,0.000064,0.000064,0.000420,0.016787,0.000281,0.000042,0.006062,0.016787,0.000042,0.000216,0.000274,0.000281,0.000281,0.016699,0.004138,0.000065,0.022307,0.009725,0.000274,0.000281,0.000409,0.000281,0.016688,0.000375,0.022307,0.000274,0.000064,0.000065,0.003736,0.000420,0.000420,0.000420,0.000420,0.000000,0.000064,0.000065,0.000375,0.004138,0.000375,0.000051,0.016688,0.000274,0.003928,0.000274,0.000064,0.004138,0.004138,0.000065,0.016699,0.000420,0.003970,0.004138,0.004138,0.004138,0.004138,0.000274,0.004138,0.000274,0.000281,0.003928,0.000375,0.003928,0.000375,0.016787,0.009725,0.000281,0.003928,0.000000,0.000000,0.000042,0.000274,0.000375,0.004138,0.004138,0.000375,0.004138,0.000065,0.016756,0.016787,0.000281,0.000420,0.000530,0.000564,0.000458,0.005171,0.005984,0.002688,0.003028,0.006292,0.003100,0.002724,0.003100,0.003075,0.003100,0.003095,0.003411,0.002973,0.000605,0.003212,0.003414,0.000565,0.003981,0.003520,0.003517,0.000514,0.000527,0.003391,0.000532,0.003368,0.008636,0.010972,0.014532,0.002670,0.000181,0.000103,0.000264,0.000204,0.003140,0.000392,0.003167,0.006096,0.000222,0.000262
await,0.000006,0.000159,0.011015,0.000461,0.010747,0.000007,0.000262,1.002613,0.011015,0.006259,0.000012,0.010751,0.000239,0.011015,0.000007,0.000262,0.010747,0.000012,0.000012,0.014479,0.004080,0.006259,0.002466,0.000172,0.004080,0.002466,0.000006,0.000159,0.006259,0.006259,0.000378,0.000461,0.000012,0.000262,0.000107,0.000159,0.006259,0.010747,0.006259,0.000242,0.011015,0.000262,0.000159,0.000012,0.000012,0.000120,0.014479,0.014479,0.014479,0.014479,0.000007,0.000012,0.000012,0.011015,0.000461,0.011015,0.000006,0.000242,0.000159,0.000239,0.000159,0.000012,0.000461,0.000461,0.000012,0.000378,0.014479,0.000093,0.000461,0.000461,0.000461,0.000461,0.000159,0.000461,0.000153,0.006259,0.000239,0.011015,0.000239,0.011015,0.004080,0.000107,0.006259,0.000239,0.000007,0.000007,0.002466,0.000159,0.011015,0.000461,0.000461,0.011015,0.000461,0.000012,0.000368,0.004080,0.006259,0.014479,0.005691,0.003482,0.006738,0.004898,0.003519,0.004946,0.003374,0.000410,0.001709,0.002946,0.001708,0.003504,0.001709,0.003614,0.004132,0.006011,0.003612,0.001922,0.004142,0.005948,0.002421,0.002132,0.002127,0.007041,0.004837,0.004183,0.004846,0.004180,0.003259,0.001442,0.001478,0.000461,0.002170,0.002096,0.001483,0.000111,0.000189,0.000118,0.000151,0.000244,0.000131,0.001688
binary_op,0.000005,0.000200,0.012726,0.003952,0.009330,0.000006,0.000201,0.009479,1.002497,0.002012,0.000010,0.009333,0.000183,0.012726,0.000006,0.000201,0.009330,0.000010,0.000010,0.009479,0.000437,0.002012,0.001791,0.000211,0.000437,0.001791,0.000005,0.000200,0.002012,0.002012,0.000301,0.003952,0.000010,0.000201,0.000492,0.000200,0.002012,0.009330,0.002012,0.000184,0.012726,0.000201,0.000200,0.000010,0.000010,0.000080,0.009479,0.009479,0.009479,0.009479,0.000006,0.000010,0.000010,0.012726,0.003952,0.012726,0.000005,0.000184,0.000200,0.000183,0.000200,0.000010,0.003952,0.003952,0.000010,0.000301,0.009479,0.000480,0.003952,0.003952,0.003952,0.003952,0.000200,0.003952,0.000194,0.002012,0.000183,0.012726,0.000183,0.012726,0.000437,0.000492,0.002012,0.000183,0.000006,0.000006,0.001791,0.000200,0.012726,0.003952,0.003952,0.012726,0.003952,0.000010,0.000292,0.000437,0.002012,0.009479,0.004958,0.003045,0.005871,0.004187,0.003035,0.004322,0.003107,0.000440,0.001534,0.002600,0.001565,0.003072,0.001534,0.006584,0.006961,0.008557,0.006501,0.005214,0.006984,0.008481,0.005521,0.005335,0.005325,0.009377,0.007546,0.007044,0.007554,0.006926,0.003014,0.001301,0.001380,0.000394,0.001672,0.001560,0.001362,0.000145,0.000288,0.000148,0.000157,0.000214,0.000162,0.001546
break,0.000000,0.000107,0.003681,0.000144,0.003626,0.000000,0.000275,0.009855,0.003681,1.004221,0.000002,0.003651,0.000105,0.003681,0.000000,0.000275,0.003626,0.000002,0.000002,0.009855,0.006511,0.022777,0.016904,0.000107,0.006511,0.016904,0.000000,0.000107,0.022777,0.022777,0.000333,0.000144,0.000000,0.000275,0.000063,0.000107,0.022777,0.003626,0.022777,0.000275,0.003681,0.000275,0.000107,0.000002,0.000000,0.000073,0.009855,0.009855,0.009855,0.009855,0.000000,0.000002,0.000000,0.003681,0.000144,0.003681,0.000000,0.000275,0.000107,0.000105,0.000107,0.000002,0.000144,0.000144,0.000000,0.000333,0.009855,0.000063,0.000144,0.000144,0.000144,0.000144,0.000107,0.000144,0.000107,0.022777,0.000105,0.003681,0.000105,0.003681,0.006511,0.000063,0.022777,0.000105,0.000000,0.000000,0.016904,0.000107,0.003681,0.000144,0.000144,0.003681,0.000144,0.000000,0.000307,0.006511,0.022777,0.009855,0.002953,0.002818,0.003428,0.002620,0.002863,0.002606,0.000410,0.000221,0.000283,0.000354,0.000286,0.002788,0.000283,0.000417,0.000469,0.002999,0.000422,0.000286,0.000473,0.002953,0.000354,0.000312,0.000311,0.003443,0.000498,0.000487,0.000502,0.000490,0.000371,0.000260,0.000288,0.006105,0.012969,0.012923,0.000199,0.000052,0.000109,0.000081,0.000101,0.000164,0.000075,0.000227
