source_group,raw_weight,normalized_weight,files
grammar,8.423761,0.061058,src/main/gram.y
eval_promises,21.109187,0.153005,src/main/eval.c;src/main/builtin.c;src/main/apply.c
environment_binding,23.745352,0.172112,src/main/envir.c;src/main/eval.c;src/main/names.c
deparse_language,24.344475,0.176455,src/main/deparse.c;src/main/eval.c;src/main/gram.y
list_pairlist,21.498523,0.155827,src/main/list.c;src/main/eval.c;src/main/envir.c
vector_arithmetic,26.638710,0.193084,src/main/arithmetic.c;src/main/logic.c;src/main/relop.c;src/main/summary.c
logic_relop,19.219260,0.139306,src/main/logic.c;src/main/relop.c;src/main/summary.c
type_coercion,27.872262,0.202025,src/main/coerce.c;src/main/arithmetic.c;src/main/complex.c;src/main/raw.c
array_vector,21.265852,0.154140,src/main/array.c;src/main/bind.c;src/main/seq.c
summary_unique,20.371562,0.147658,src/main/summary.c;src/main/unique.c;src/main/match.c
complex_runtime,14.393859,0.104330,src/main/complex.c;src/main/arithmetic.c
raw_runtime,13.478403,0.097695,src/main/raw.c;src/main/coerce.c
indexing,20.924101,0.151663,src/main/subset.c;src/main/subscript.c;src/main/subassign.c
object_attributes,14.443610,0.104691,src/main/attrib.c;src/main/objects.c
object_dispatch,23.983238,0.173836,src/main/objects.c;src/main/eval.c;src/main/envir.c
methods_package,137.964373,1.000000,src/library/methods/R/addedFunctions.R;src/library/methods/R/as.R;src/library/methods/R/BasicClasses.R;src/library/methods/R/BasicFunsList.R;src/library/methods/R/cbind.R;src/library/methods/R/ClassExtensions.R;src/library/methods/R/ClassUnion.R;src/library/methods/R/debug.R;src/library/methods/R/Defunct.R;src/library/methods/R/fixPrevious.R;src/library/methods/R/is.R;src/library/methods/R/languageEl.R;src/library/methods/R/makeBasicFunsList.R;src/library/methods/R/method.skeleton.R;src/library/methods/R/methods-defunct.R;src/library/methods/R/methods-deprecated.R;src/library/methods/R/Methods.R;src/library/methods/R/MethodsList.R;src/library/methods/R/MethodsListClass.R;src/library/methods/R/methodsTable.R;src/library/methods/R/NextMethod.R;src/library/methods/R/oldClass.R;src/library/methods/R/packageName.R;src/library/methods/R/promptClass.R;src/library/methods/R/rbind.R;src/library/methods/R/RClassUtils.R;src/library/methods/R/refClass.R;src/library/methods/R/RMethodUtils.R;src/library/methods/R/SClasses.R;src/library/methods/R/show.R;src/library/methods/R/substituteDirect.R;src/library/methods/R/trace.R;src/library/methods/R/zzz.R
conditions,22.906362,0.166031,src/main/errors.c;src/main/context.c;src/main/eval.c
context_runtime,14.195518,0.102893,src/main/context.c;src/main/errors.c
memory_copy_gc,28.860995,0.209192,src/main/memory.c;src/main/duplicate.c;src/main/subassign.c;src/main/attrib.c
include_runtime,20.971072,0.152004,src/include/Rinternals.h;src/include/Defn.h;src/include/Rinlinedfuns.h
altrep_runtime,14.011239,0.101557,src/main/altrep.c;src/main/altclasses.c
ffi_dynamic_loading,19.000174,0.137718,src/main/dotcode.c;src/main/Rdynload.c;src/main/registration.c
compiler_bytecode,16.044966,0.116298,src/library/compiler/R/cmp.R;src/main/eval.c
namespace_package,18.942111,0.137297,src/library/base/R/namespace.R;src/library/base/R/library.R;src/main/envir.c
rng_runtime,12.494389,0.090562,src/main/RNG.c;src/main/random.c
