r_semantic_feature,family,source_importance,current_sp_coverage,base_gap,codex_matrix_instruction
r.promise_lazy_argument,evaluation_promises_nse,0.376044,0.292500,0.266051,"Model promises as first-class semantic values/argument thunks with creation, environment, forced/unforced state and memoized forcing."
r.promise_forcing,evaluation_promises_nse,0.276969,0.269000,0.202465,Represent promise forcing as an explicit semantic operation/effect with exact evaluation-once and error propagation.
r.missing_argument,evaluation_promises_nse,0.182361,0.599500,0.073036,Keep missing argument distinct from NULL/NA and preserve missingness through calls/default evaluation.
r.dots_ellipsis,evaluation_promises_nse,0.328985,0.236500,0.251180,Add variadic `...` binding/call semantics including missing/named promises and forwarding without eager materialization.
r.default_argument_lazy,evaluation_promises_nse,0.182361,0.498500,0.091454,"Tie parameter default expressions to lazy promise creation in the callee environment, not eager source-order evaluation."
r.quote_substitute_eval,evaluation_promises_nse,0.427293,0.121000,0.375590,Represent code-as-data / quoted language objects and eval/substitute environments explicitly; never lower them as ordinary calls when semantics are unknown.
r.language_object_pairlist,evaluation_promises_nse,0.413419,0.114000,0.366289,Add language/pairlist/call object representation distinct from ordinary runtime list/tuple.
r.environment,bindings_environments,0.276969,0.139000,0.238471,Model environments as first-class identity-bearing mutable mappings with parent links.
r.lexical_lookup,bindings_environments,0.276969,0.212000,0.218252,Upgrade lexical-candidate evidence to exact R symbol lookup/definition/use across environment chains.
r.superassignment,bindings_environments,0.328985,0.262000,0.242791,"Model `<<-`/`->>` as environment-chain mutation, distinct from local assignment."
r.active_binding,bindings_environments,0.146624,0.031500,0.142005,Represent active bindings as read/write hooks with observable effects and environment identity.
r.delayed_assignment,bindings_environments,0.276969,0.068500,0.257997,Model delayedAssign-style promise installation in an environment.
r.closure_environment_capture,bindings_environments,0.276969,0.356000,0.178368,Make closure environment capture exact with stable environment/binding identity and declaration timing.
r.atomic_vector,vectors_types_indexing,0.467909,0.284500,0.334789,Represent typed atomic vectors (logical/integer/double/complex/character/raw) separately from generic dynamic vectors.
r.list_pairlist,vectors_types_indexing,0.264063,0.135000,0.228415,"Separate list and pairlist semantics, preserving names/attributes and missing elements."
r.vectorized_operation,vectors_types_indexing,0.455272,0.437500,0.256091,Mark operations as scalar/vector dispatch explicitly; preserve elementwise vector semantics.
r.vector_recycling,vectors_types_indexing,0.414479,0.051500,0.393133,Model R recycling length rules and warning conditions; never silently map to scalar broadcasting.
