feature,core_syntax_control,evaluation_promises_nse,vectors_types_indexing,bindings_environments,objects_dispatch,conditions_cleanup,packages_ffi,runtime_memory,compiler_metaprogramming,effects_runtime
abi_calling_convention,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
array_list,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
array_type,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assignment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
atomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attribute_annotation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
await,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_op,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
break,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bytecode_vm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
call,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capture,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cast_conversion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
class,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
closure_lambda,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
code_generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
compile_time_eval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
comprehension,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defer_cleanup,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dynamic_dispatch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
enum,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exception_try,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
