feature,family,abi.ffi,binding.graph,capture.shadowing,compiletime.semantics,concurrency.model,control.flow,conversion.semantics,data.flow,dialect.extension,effect.graph,effects.control,evaluation.order,lowering.pipeline,memory.model,memory.ordering,nodes.declaration,nodes.expression,operations,ownership.lifetime,purity,runtime.contract,scope.binding,synchronization,types.origin,types.structure
java.binary_numeric_promotion,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.primitive_widening_narrowing,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.boxing_unboxing,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.method_invocation_conversion,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
java.overload_resolution,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
java.generic_erasure,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.wildcard_extends_super,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.capture_conversion,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.type_inference_constraints,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.raw_types,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.intersection_types,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.var_local_inference,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.array_covariance_store_check,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.null_reference_semantics,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.unsigned_absence_signed_wrap,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.ieee754_always_strict,types_conversions_generics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
java.class_interface_inheritance,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.records,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.sealed_classes_interfaces,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.enums_semantics,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.annotation_semantics,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.annotation_processing,compiletime_metadata,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
java.inner_local_anonymous_classes,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.default_interface_methods,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
java.field_hiding_method_overriding,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
