semanticprogram_axis,gap_score,rank
abi.ffi,14.760369,17
binding.graph,22.683756,11
capture.shadowing,5.330333,25
compiletime.semantics,19.237688,14
concurrency.model,14.067328,19
control.flow,23.417542,10
conversion.semantics,30.245997,5
data.flow,32.334122,4
dialect.extension,14.067816,18
effect.graph,23.502813,9
effects.control,13.307635,23
evaluation.order,27.369319,8
lowering.pipeline,22.268669,12
memory.model,18.914411,15
memory.ordering,14.067328,20
nodes.declaration,28.129429,6
nodes.expression,13.530553,22
operations,28.006512,7
ownership.lifetime,15.864317,16
purity,7.681904,24
runtime.contract,63.508861,2
scope.binding,36.226274,3
synchronization,14.067328,21
types.origin,21.717783,13
types.structure,70.650590,1
