feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield,java.binary_numeric_promotion,java.primitive_widening_narrowing,java.boxing_unboxing,java.method_invocation_conversion,java.overload_resolution,java.generic_erasure,java.wildcard_extends_super,java.capture_conversion,java.type_inference_constraints,java.raw_types,java.intersection_types,java.var_local_inference,java.array_covariance_store_check,java.null_reference_semantics,java.unsigned_absence_signed_wrap,java.ieee754_always_strict,java.class_interface_inheritance,java.records,java.sealed_classes_interfaces,java.enums_semantics,java.annotation_semantics,java.annotation_processing,java.inner_local_anonymous_classes,java.default_interface_methods,java.field_hiding_method_overriding,java.access_control,java.definite_assignment_unassignment,java.effectively_final_capture,java.static_instance_initialization_order,java.lambda_target_typing,java.method_references,java.virtual_interface_dispatch,java.invokedynamic_bootstrap,java.method_handles_varhandles,java.switch_expression,java.pattern_instanceof,java.record_patterns,java.pattern_switch_exhaustiveness,java.foreach_desugaring,java.labeled_break_continue,java.left_to_right_evaluation,java.short_circuit_boolean,java.checked_unchecked_exceptions,java.try_catch_finally,java.try_with_resources_suppression,java.assert_semantics,java.jpms_modules,java.import_static_resolution,java.package_namespace_resolution,java.reflection_runtime_type,java.class_loading_linking_initialization,java.object_identity_hash_monitor,java.string_interning,java.monitor_synchronized,java.volatile_semantics,java.final_field_memory_semantics,java.happens_before_jmm,java.atomic_varhandle_ordering,java.thread_interruption,java.virtual_threads,java.structured_concurrency,java.classfile_descriptors_signatures,java.bytecode_operand_stack_frames,java.bytecode_verification,java.exception_table_bytecode,java.constant_pool,java.jvm_gc_allocation,java.gc_reachability_reference_types,java.safepoint_deoptimization_osr,java.tiered_jit_compilation,java.escape_analysis_scalar_replacement,java.object_layout_headers_compressed_oops,java.jni_boundary,java.foreign_function_memory_api,java.native_method_resolution,java.compile_time_constants,java.classfile_lowering,java.bridge_synthetic_methods,java.preview_feature_gating,java.value_class_preview
abi_calling_convention,1.007903,0.002697,0.000010,0.000199,0.000010,0.000040,0.000030,0.000010,0.000010,0.000007,0.000238,0.000010,0.000003,0.000010,0.000000,0.001233,0.000010,0.000170,0.000039,0.000010,0.000030,0.000007,0.000007,0.001379,0.000030,0.000007,0.044935,0.000358,0.000007,0.000007,0.000030,0.000199,0.023064,0.000030,0.000199,0.000358,0.000007,0.000010,0.000007,0.000030,0.000010,0.000030,0.000358,0.000149,0.044642,0.000003,0.000010,0.000010,0.000010,0.000010,0.000152,0.000039,0.044129,0.000010,0.000199,0.000010,0.000152,0.000175,0.000307,0.001052,0.000358,0.000202,0.000199,0.000199,0.021270,0.000030,0.000010,0.001510,0.000199,0.000199,0.000199,0.000357,0.000358,0.000491,0.000380,0.000007,0.000003,0.000010,0.000003,0.000010,0.000030,0.000199,0.000007,0.000003,0.000000,0.000059,0.000007,0.000358,0.000010,0.000199,0.000199,0.000010,0.000199,0.021270,0.000030,0.000030,0.000007,0.000010,0.000390,0.000390,0.000390,0.000317,0.000317,0.000390,0.000390,0.000390,0.000390,0.000390,0.000390,0.000390,0.000390,0.000390,0.000390,0.000390,0.000222,0.000222,0.000222,0.000222,0.000222,0.000055,0.000222,0.000317,0.000317,0.000023,0.000016,0.000016,0.000222,0.000317,0.000317,0.000317,0.000256,0.002889,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000009,0.000009,0.000243,0.000243,0.000243,0.000030,0.000023,0.000023,0.000023,0.002888,0.007414,0.007414,0.007962,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000256,0.000256,0.000256,0.000256,0.000256,0.014442,0.014456,0.002924,0.002921,0.002924,0.015682,0.058820,0.045576,0.044679,0.000055,0.000055,0.000055,0.000055,0.001732
allocation,0.001439,1.006117,0.000110,0.000201,0.000110,0.000451,0.000163,0.000110,0.000155,0.000219,0.000293,0.000328,0.000288,0.000169,0.000352,0.002363,0.000297,0.000631,0.000097,0.000110,0.000187,0.000219,0.000908,0.010570,0.000163,0.000969,0.001459,0.011076,0.000219,0.000219,0.000172,0.000234,0.023705,0.000261,0.000219,0.011076,0.000219,0.000110,0.000219,0.000072,0.000110,0.000196,0.011076,0.000920,0.001891,0.000131,0.000110,0.000125,0.000110,0.000110,0.000420,0.000097,0.001439,0.000110,0.000191,0.000297,0.000467,0.000105,0.010284,0.000252,0.011076,0.000846,0.000201,0.000278,0.022914,0.000269,0.000110,0.000771,0.000201,0.000210,0.000214,0.000233,0.011076,0.000776,0.011114,0.000219,0.000048,0.000110,0.000255,0.000110,0.000169,0.000354,0.000219,0.000031,0.000403,0.000499,0.000734,0.011076,0.000110,0.000197,0.000244,0.000110,0.000202,0.022914,0.000382,0.000158,0.000219,0.000110,0.001789,0.001789,0.001789,0.001528,0.001527,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001743,0.001743,0.001743,0.001743,0.001743,0.000116,0.001744,0.001568,0.001567,0.000072,0.000367,0.000367,0.001743,0.001528,0.001527,0.001568,0.001889,0.005007,0.000220,0.000220,0.000220,0.000220,0.000220,0.000220,0.000139,0.000139,0.004208,0.004204,0.028317,0.000220,0.000072,0.000072,0.000072,0.005007,0.002284,0.002284,0.002940,0.003451,0.003451,0.003455,0.003452,0.003451,0.003450,0.003450,0.003450,0.001748,0.001746,0.001747,0.001747,0.001747,0.031167,0.023888,0.002252,0.002251,0.028193,0.023914,0.003211,0.002618,0.002759,0.000116,0.000116,0.000262,0.000116,0.001743
array_list,0.000004,0.000076,1.003512,0.000128,0.017252,0.000121,0.000039,0.017188,0.017367,0.001883,0.000114,0.008304,0.000064,0.017309,0.000094,0.000103,0.008130,0.000057,0.000014,0.017188,0.000054,0.001883,0.001568,0.000412,0.000039,0.001602,0.000004,0.000056,0.001883,0.001883,0.000058,0.000159,0.000004,0.000154,0.000139,0.000056,0.001883,0.017188,0.002117,0.000039,0.017188,0.000077,0.000056,0.000112,0.000004,0.000023,0.017188,0.017207,0.017188,0.017188,0.000103,0.000014,0.000004,0.017188,0.000055,0.008280,0.000116,0.000039,0.000074,0.000345,0.000056,0.000067,0.000128,0.000386,0.000004,0.000356,0.008303,0.000126,0.000392,0.000133,0.000136,0.000126,0.000056,0.000128,0.000063,0.001871,0.000041,0.017188,0.000048,0.017188,0.000079,0.000221,0.001906,0.000023,0.000108,0.000144,0.001604,0.000056,0.017188,0.000126,0.000165,0.017188,0.000128,0.000004,0.000108,0.000039,0.001871,0.008279,0.001534,0.001325,0.001325,0.002326,0.002135,0.001127,0.001127,0.001127,0.001127,0.001127,0.001127,0.001127,0.001155,0.001362,0.001336,0.001336,0.000067,0.000067,0.000067,0.000067,0.000067,0.000035,0.000067,0.002109,0.002135,0.000134,0.001085,0.001164,0.000067,0.002137,0.002188,0.002136,0.001120,0.000955,0.003936,0.004113,0.003937,0.003937,0.003916,0.003922,0.017478,0.017286,0.001235,0.001243,0.001236,0.003938,0.000040,0.000134,0.000040,0.000955,0.000057,0.000057,0.000057,0.000993,0.000993,0.000994,0.000993,0.000993,0.000993,0.000993,0.000993,0.001027,0.001026,0.001026,0.001053,0.001026,0.000034,0.000034,0.000983,0.000982,0.000983,0.000034,0.000036,0.000036,0.000036,0.000035,0.000035,0.000035,0.000035,0.000067
array_type,0.000055,0.000105,0.000097,1.002863,0.000097,0.000011,0.001486,0.000097,0.000457,0.000058,0.000132,0.000279,0.000194,0.000476,0.000000,0.001773,0.000257,0.000073,0.000088,0.000097,0.001480,0.000058,0.000019,0.000341,0.001452,0.000203,0.000065,0.000119,0.000058,0.000058,0.001465,0.013198,0.000052,0.013393,0.013340,0.000119,0.000058,0.000097,0.000060,0.001362,0.000097,0.001488,0.000119,0.000097,0.000065,0.000233,0.000097,0.000217,0.000097,0.000097,0.000018,0.000078,0.000055,0.000097,0.005892,0.000287,0.000018,0.001380,0.000118,0.000252,0.000119,0.000030,0.013197,0.005956,0.000019,0.001461,0.000143,0.013189,0.013213,0.013267,0.013321,0.013205,0.000119,0.013201,0.000125,0.000055,0.000131,0.000097,0.000060,0.000097,0.001464,0.013449,0.000063,0.000114,0.000000,0.000000,0.000026,0.000119,0.000097,0.013162,0.013269,0.000097,0.013198,0.000019,0.001443,0.001474,0.000055,0.000138,0.013253,0.013250,0.013261,0.001868,0.001872,0.013272,0.013272,0.013275,0.013310,0.013246,0.013282,0.013228,0.017051,0.013252,0.013211,0.013213,0.001322,0.001223,0.001322,0.001211,0.001210,0.000968,0.001207,0.001876,0.001955,0.001016,0.000064,0.000064,0.001226,0.002097,0.001846,0.001871,0.000908,0.000984,0.000810,0.000810,0.000826,0.000923,0.000810,0.000810,0.000090,0.000226,0.000215,0.000097,0.000097,0.000941,0.001027,0.001009,0.001008,0.000993,0.001034,0.001014,0.001134,0.000078,0.000078,0.000108,0.000078,0.000078,0.000078,0.000078,0.000078,0.001146,0.000907,0.001037,0.000907,0.000922,0.000110,0.000251,0.000107,0.000107,0.000107,0.000247,0.000967,0.001098,0.000968,0.001231,0.000955,0.001055,0.000968,0.001211
assignment,0.000003,0.000075,0.017003,0.000126,1.003607,0.000119,0.000039,0.017003,0.017201,0.001865,0.000112,0.008267,0.000063,0.017121,0.000093,0.000101,0.008036,0.000056,0.000014,0.017003,0.000053,0.001865,0.001555,0.000406,0.000039,0.001588,0.000003,0.000055,0.001865,0.001865,0.000057,0.000156,0.000003,0.000151,0.000137,0.000055,0.001865,0.017003,0.002096,0.000039,0.017003,0.000076,0.000055,0.000111,0.000003,0.000022,0.017003,0.017021,0.017003,0.017003,0.000102,0.000014,0.000003,0.017003,0.000055,0.008244,0.000114,0.000039,0.000073,0.000340,0.000055,0.000066,0.000126,0.000380,0.000003,0.000351,0.008206,0.000124,0.000386,0.000131,0.000134,0.000124,0.000055,0.000126,0.000062,0.001853,0.000041,0.017003,0.000047,0.017003,0.000078,0.000218,0.001888,0.000022,0.000106,0.000142,0.001590,0.000055,0.017003,0.000124,0.000162,0.017003,0.000127,0.000003,0.000106,0.000039,0.001853,0.008183,0.001515,0.001309,0.001309,0.002298,0.002110,0.001114,0.001114,0.001114,0.001114,0.001114,0.001114,0.001114,0.001142,0.001346,0.001320,0.001320,0.000066,0.000066,0.000066,0.000066,0.000066,0.000035,0.000066,0.002085,0.002110,0.000133,0.001072,0.001150,0.000066,0.002112,0.002162,0.002111,0.001107,0.000944,0.003895,0.004070,0.003896,0.003896,0.003875,0.003882,0.022228,0.017099,0.001224,0.001232,0.001225,0.003897,0.000039,0.000133,0.000039,0.000944,0.000057,0.000057,0.000057,0.000982,0.000982,0.000983,0.000982,0.000982,0.000981,0.000981,0.000981,0.001015,0.001014,0.001014,0.001041,0.001014,0.000034,0.000034,0.000972,0.000971,0.000972,0.000034,0.000036,0.000036,0.000036,0.000035,0.000035,0.000035,0.000035,0.000066
atomic,0.000024,0.000506,0.000197,0.000024,0.000197,1.007255,0.000055,0.000197,0.000197,0.000000,0.000000,0.000197,0.000024,0.000197,0.028092,0.000536,0.000197,0.000000,0.000000,0.000197,0.000055,0.000000,0.000000,0.001037,0.000055,0.000000,0.000024,0.000879,0.000000,0.000000,0.000055,0.000024,0.000024,0.000055,0.000024,0.000879,0.000000,0.000197,0.000000,0.000055,0.000197,0.000055,0.000879,0.000000,0.000024,0.000024,0.000197,0.000197,0.000197,0.000197,0.028511,0.000000,0.000024,0.000197,0.000024,0.000197,0.029068,0.000055,0.000506,0.000024,0.000879,0.000000,0.000024,0.000024,0.000024,0.000055,0.000197,0.000024,0.000024,0.000024,0.000024,0.000024,0.000879,0.000024,0.001037,0.000000,0.000024,0.000197,0.000024,0.000197,0.000055,0.000024,0.000000,0.000024,0.028576,0.029396,0.000000,0.000879,0.000197,0.000024,0.000024,0.000197,0.000024,0.000024,0.000536,0.000055,0.000000,0.000197,0.000230,0.000230,0.000230,0.000217,0.000217,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000019,0.000230,0.000217,0.000217,0.000043,0.000177,0.000177,0.000230,0.000217,0.000217,0.000217,0.000354,0.031305,0.000161,0.000161,0.000161,0.000161,0.000161,0.000161,0.000177,0.000177,0.000393,0.000393,0.000393,0.000161,0.000043,0.000043,0.000043,0.000744,0.000201,0.001558,0.000201,0.028878,0.036930,0.028553,0.037130,0.036930,0.028707,0.028707,0.028707,0.000354,0.000354,0.000354,0.000354,0.000354,0.000423,0.000423,0.000959,0.000333,0.000333,0.000423,0.000201,0.000201,0.000201,0.000019,0.000019,0.000019,0.000019,0.000230
attribute_annotation,0.000010,0.000099,0.000034,0.001733,0.000034,0.000030,1.003802,0.000034,0.000062,0.000070,0.000379,0.000264,0.001887,0.000090,0.000000,0.015516,0.000262,0.000682,0.000953,0.000034,0.015042,0.000070,0.000024,0.000429,0.014975,0.000048,0.000010,0.000137,0.000070,0.000070,0.014946,0.001763,0.000030,0.006979,0.001744,0.000137,0.000070,0.000034,0.000095,0.006962,0.000034,0.015077,0.000137,0.000338,0.000197,0.014633,0.000034,0.000043,0.000034,0.000034,0.000021,0.000811,0.000010,0.000034,0.014760,0.000386,0.000021,0.006988,0.000277,0.001910,0.000137,0.000239,0.001733,0.001736,0.000010,0.006955,0.000088,0.001731,0.001744,0.001738,0.001784,0.001796,0.000137,0.001733,0.000153,0.000067,0.002180,0.000034,0.001700,0.000034,0.015044,0.002136,0.000076,0.001952,0.000000,0.000000,0.000033,0.000137,0.000034,0.001730,0.001770,0.000034,0.001733,0.000010,0.006934,0.015053,0.000067,0.000082,0.001430,0.001430,0.001560,0.002159,0.002190,0.001445,0.001445,0.001484,0.001444,0.001571,0.001434,0.001530,0.001430,0.001430,0.001426,0.001426,0.014985,0.015049,0.014985,0.014973,0.019381,0.017587,0.014987,0.002528,0.002171,0.004795,0.001337,0.001320,0.015060,0.002181,0.002153,0.002460,0.001139,0.002113,0.000958,0.000958,0.001154,0.000970,0.000958,0.000958,0.000036,0.000050,0.000110,0.000097,0.000097,0.000972,0.004849,0.004676,0.004681,0.002236,0.001438,0.001325,0.001208,0.000077,0.000077,0.000322,0.000077,0.000077,0.000077,0.000077,0.000077,0.001209,0.001138,0.001152,0.001138,0.001329,0.000223,0.000238,0.000179,0.000179,0.000179,0.000238,0.000115,0.000128,0.000137,0.003220,0.003014,0.003067,0.017572,0.014975
await,0.000004,0.000076,0.017188,0.000128,0.017252,0.000121,0.000039,1.003512,0.017367,0.001883,0.000114,0.008304,0.000064,0.017309,0.000094,0.000103,0.008130,0.000057,0.000014,0.017188,0.000054,0.001883,0.001568,0.000412,0.000039,0.001602,0.000004,0.000056,0.001883,0.001883,0.000058,0.000159,0.000004,0.000154,0.000139,0.000056,0.001883,0.017188,0.002117,0.000039,0.017188,0.000077,0.000056,0.000112,0.000004,0.000023,0.017188,0.017207,0.017188,0.017188,0.000103,0.000014,0.000004,0.017188,0.000055,0.008280,0.000116,0.000039,0.000074,0.000345,0.000056,0.000067,0.000128,0.000386,0.000004,0.000356,0.008303,0.000126,0.000392,0.000133,0.000136,0.000126,0.000056,0.000128,0.000063,0.001871,0.000041,0.017188,0.000048,0.017188,0.000079,0.000221,0.001906,0.000023,0.000108,0.000144,0.001604,0.000056,0.017188,0.000126,0.000165,0.017188,0.000128,0.000004,0.000108,0.000039,0.001871,0.008279,0.001534,0.001325,0.001325,0.002326,0.002135,0.001127,0.001127,0.001127,0.001127,0.001127,0.001127,0.001127,0.001155,0.001362,0.001336,0.001336,0.000067,0.000067,0.000067,0.000067,0.000067,0.000035,0.000067,0.002109,0.002135,0.000134,0.001085,0.001164,0.000067,0.002137,0.002188,0.002136,0.001120,0.000955,0.003936,0.004113,0.003937,0.003937,0.003916,0.003922,0.017478,0.017286,0.001235,0.001243,0.001236,0.003938,0.000040,0.000134,0.000040,0.000955,0.000057,0.000057,0.000057,0.000993,0.000993,0.000994,0.000993,0.000993,0.000993,0.000993,0.000993,0.001027,0.001026,0.001026,0.001053,0.001026,0.000034,0.000034,0.000983,0.000982,0.000983,0.000034,0.000036,0.000036,0.000036,0.000035,0.000035,0.000035,0.000035,0.000067
binary_op,0.000003,0.000090,0.014648,0.000512,0.014721,0.000102,0.000059,0.014648,1.003807,0.001605,0.000096,0.007127,0.000054,0.014922,0.000080,0.000112,0.006929,0.000048,0.000012,0.014648,0.000071,0.001605,0.001340,0.000373,0.000059,0.001369,0.000003,0.000073,0.001606,0.001606,0.000075,0.000537,0.000003,0.000533,0.000520,0.000073,0.001605,0.014648,0.001866,0.000059,0.014648,0.000091,0.000073,0.000095,0.000003,0.000019,0.014648,0.014664,0.014648,0.014648,0.000087,0.000012,0.000003,0.014648,0.000156,0.007107,0.000098,0.000059,0.000088,0.000291,0.000073,0.000057,0.000512,0.000434,0.000003,0.000326,0.007075,0.000509,0.000804,0.000615,0.000617,0.000509,0.000073,0.000512,0.000079,0.001595,0.000035,0.014648,0.000040,0.014648,0.000093,0.000590,0.001625,0.000019,0.000091,0.000122,0.001370,0.000073,0.014648,0.000509,0.000542,0.014648,0.000512,0.000003,0.000117,0.000059,0.001595,0.007054,0.016769,0.001527,0.001527,0.002065,0.001904,0.001360,0.001360,0.001361,0.001361,0.001361,0.001360,0.001360,0.001384,0.001559,0.016596,0.016596,0.000102,0.000102,0.000102,0.000102,0.000102,0.000050,0.000102,0.001882,0.001903,0.000134,0.000921,0.000988,0.000102,0.001905,0.001948,0.001904,0.000991,0.000879,0.003370,0.003519,0.003370,0.003370,0.003353,0.003358,0.019127,0.018965,0.001075,0.001082,0.001075,0.003371,0.000054,0.000134,0.000054,0.000879,0.000094,0.000094,0.000094,0.000862,0.000862,0.000863,0.000862,0.000862,0.000862,0.000862,0.000862,0.000912,0.000911,0.000912,0.000935,0.000912,0.000049,0.000049,0.000853,0.000853,0.000853,0.000049,0.000076,0.000076,0.000076,0.000050,0.000050,0.000050,0.000050,0.000102
break,0.000003,0.000171,0.002128,0.000087,0.002139,0.000000,0.000090,0.002128,0.002152,1.004000,0.000145,0.002086,0.000060,0.002353,0.000000,0.000101,0.002063,0.000072,0.000018,0.002128,0.000109,0.019431,0.008912,0.000174,0.000090,0.008990,0.000003,0.000048,0.019406,0.019406,0.000101,0.000115,0.000003,0.000107,0.000087,0.000048,0.019431,0.002128,0.019558,0.000090,0.002128,0.000111,0.000048,0.000143,0.000003,0.000019,0.002128,0.002129,0.002128,0.002128,0.000000,0.000018,0.000003,0.002128,0.000087,0.002062,0.000000,0.000090,0.000093,0.000120,0.000048,0.000086,0.000087,0.000188,0.000003,0.000188,0.019503,0.000087,0.000353,0.000087,0.000087,0.000087,0.000048,0.000087,0.000048,0.019333,0.000043,0.002128,0.000051,0.002128,0.000324,0.000442,0.019546,0.000019,0.000000,0.000024,0.009123,0.000048,0.002128,0.000087,0.000116,0.002128,0.000087,0.000003,0.000148,0.000090,0.019333,0.019369,0.000172,0.000154,0.000154,0.001231,0.001215,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000329,0.000157,0.000155,0.000155,0.000102,0.000102,0.000102,0.000102,0.000102,0.000083,0.000102,0.001210,0.001215,0.000096,0.001670,0.001410,0.000102,0.001215,0.001225,0.001215,0.001395,0.000139,0.019470,0.019483,0.019476,0.019476,0.019495,0.025243,0.003574,0.003802,0.005794,0.005852,0.005798,0.019588,0.000078,0.000096,0.000078,0.000139,0.000102,0.000102,0.000102,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.001377,0.001376,0.001376,0.001560,0.001376,0.000040,0.000040,0.001270,0.001269,0.001270,0.000040,0.000027,0.000027,0.000027,0.000083,0.000083,0.000083,0.000083,0.000102
