feature,category,normalized_importance,coverage_score,base_gap
abi_calling_convention,memory,0.824523,0.080000,0.758561
allocation,effect,0.770019,0.200000,0.616015
array_list,expression,0.108742,0.300000,0.076119
array_type,type,0.584916,0.350000,0.380195
assignment,expression,0.493736,0.820000,0.088872
atomic,concurrency,0.712162,0.040000,0.683675
attribute_annotation,declaration,0.869201,0.080000,0.799665
await,expression,0.316643,0.080000,0.291312
binary_op,expression,0.602011,0.840000,0.096322
break,control,0.205139,0.720000,0.057439
bytecode_vm,meta,0.766397,0.030000,0.743405
call,expression,0.141068,0.720000,0.039499
capture,binding,0.595978,0.420000,0.345667
cast_conversion,expression,0.626860,0.360000,0.401190
channel,concurrency,0.695160,0.040000,0.667354
class,declaration,0.897933,0.100000,0.808139
closure_lambda,expression,0.722972,0.520000,0.347026
code_generation,meta,0.541159,0.080000,0.497866
compile_time_eval,meta,0.556639,0.060000,0.523241
comprehension,expression,0.064649,0.420000,0.037496
constant,declaration,0.804124,0.580000,0.337732
continue,control,0.165050,0.720000,0.046214
defer_cleanup,control,0.701638,0.120000,0.617441
dynamic_dispatch,effect,0.578369,0.120000,0.508965
enum,declaration,0.718419,0.180000,0.589104
exception_try,control,0.946969,0.120000,0.833333
ffi,memory,0.882239,0.160000,0.741080
filesystem,effect,0.594891,0.200000,0.475913
for,control,0.176096,0.660000,0.059873
foreach_iteration,control,0.773281,0.550000,0.347977
function,declaration,0.808110,0.620000,0.307082
function_type,type,0.767172,0.340000,0.506333
gc,memory,0.650503,0.050000,0.617978
generic,declaration,0.765952,0.160000,0.643399
generic_constraint,type,0.651472,0.160000,0.547236
global_state,effect,0.361029,0.200000,0.288823
goto_label,control,0.562742,0.360000,0.360155
identifier,expression,0.639319,0.880000,0.076718
if,control,0.276240,0.780000,0.060773
import,declaration,0.962075,0.150000,0.817764
index,expression,0.519648,0.680000,0.166287
interface_trait,declaration,0.794684,0.120000,0.699322
io,effect,0.580444,0.200000,0.464355
ir,meta,0.818581,0.080000,0.753095
layout_alignment,memory,0.803873,0.080000,0.739564
lifetime,binding,0.440951,0.250000,0.330713
literal_boolean,expression,0.914087,0.820000,0.164536
literal_null,expression,0.951692,0.640000,0.342609
literal_numeric,expression,0.215498,0.420000,0.124989
literal_string,expression,0.393252,0.420000,0.228086
lock_mutex,concurrency,0.758365,0.050000,0.720447
macro,meta,0.668441,0.060000,0.628334
manual_memory,memory,0.668341,0.080000,0.614874
map_dict,expression,0.569352,0.240000,0.432708
map_type,type,0.377165,0.180000,0.309275
member_access,expression,0.231949,0.440000,0.129891
memory_model,concurrency,0.322717,0.040000,0.309808
module,declaration,0.870130,0.120000,0.765714
mutation,effect,0.800042,0.620000,0.304016
name_resolution,binding,0.627502,0.300000,0.439251
network,effect,0.753707,0.200000,0.602965
optimizer,meta,0.625779,0.030000,0.607005
optional_nullable,type,0.677691,0.380000,0.420168
overload_resolution,type,0.492803,0.080000,0.453379
ownership,memory,0.589592,0.200000,0.471674
parameter,declaration,0.860560,0.600000,0.344224
pattern,expression,0.834273,0.150000,0.709132
pointer,type,0.445192,0.180000,0.365058
primitive_bool,type,0.273600,0.600000,0.109440
primitive_float,type,0.946991,0.500000,0.473496
primitive_integer,type,0.728963,0.180000,0.597750
primitive_string,type,0.520919,0.550000,0.234414
random,effect,0.724986,0.200000,0.579989
reference,type,0.637277,0.180000,0.522567
reflection,effect,0.703559,0.050000,0.668381
return,control,0.274814,0.760000,0.065955
scope,binding,0.723807,0.580000,0.303999
set,expression,0.219421,0.180000,0.179925
shadowing,binding,0.314779,0.420000,0.182572
slice,expression,0.317907,0.320000,0.216177
struct,declaration,0.863110,0.240000,0.655963
subtyping,type,0.624348,0.150000,0.530696
switch_match,control,0.293074,0.280000,0.211013
symbol_table,binding,0.580878,0.320000,0.394997
task_async,concurrency,0.792021,0.040000,0.760340
thread,concurrency,0.898468,0.050000,0.853545
throw_raise,control,0.819295,0.180000,0.671822
time,effect,0.561444,0.200000,0.449155
tuple,expression,0.562092,0.250000,0.421569
tuple_type,type,0.141068,0.180000,0.115676
type_inference,type,0.481565,0.180000,0.394883
unary_op,expression,0.586883,0.800000,0.117377
union_sum,type,0.484147,0.180000,0.397001
unsafe,memory,0.702045,0.080000,0.645881
variable,declaration,0.958558,0.620000,0.364252
visibility,declaration,1.000000,0.160000,0.840000
while,control,0.088240,0.720000,0.024707
yield,expression,0.688137,0.100000,0.619323
