file,bytes,sha256
00_README_CODEX_MATRIX_FIRST.md,2916,60e8bec46957ddfba0c67549b223995f9ca29eadf7c52daadea498f0bf43ff2d
01_source_trust_weight_matrix.csv,1360,94c3f7a41be72bd8d63041e0f33b5853353ee54b5976b68e9c916186030386ae
02_weighted_file_feature_matrix.csv,24005364,e1ec2317e5ad37646157bca8f9b0f65091286c1e8e1a19c77d10b0a2e82112b3
03_generic_feature_trust_summary.csv,6601,2e32a8d6a757594bf05664f94c3cfbff30687083ec9b6d4d824277888ae313da
04_current_sp_generic_coverage_dimension_matrix.csv,4671,e4a9944e399bc60f121e9347fd66ca2c5948b03a4fbcc482afb0d0c12898bf14
05_generic_feature_gap_vector.csv,4698,034e25001c28f06ef3595e8ce4747117a24a480bd4f955d3afe71e6d578ff513
06_java_specific_feature_source_matrix.csv,19319,36105b1489a53ed5bfd3f5d5045863e30c0ba48b356e3a89f9af7ab9424df578
07_java_specific_source_weight_vector.csv,379,71d112c2b3ea47bdc49711c27e7bbdf6595326955e5d65e89838de0b5df66bdb
08_java_specific_semanticprogram_projection_matrix.csv,8485,a4f70023949211e55dc38eb019aa40f9dec78f59a07e28811fd142136fb167b7
09_java_specific_sp_coverage_dimension_matrix.csv,6989,bd186ef9447f8fb4d9954f825c598308355c830679068b562f9c3ac1466d5c2a
10_java_specific_gap_vector.csv,9475,f0c1ba70c497410e6a46ea9c8fa5275860c4983c0f16be391db7bbff2f5713de
11_combined_feature_family_projection_matrix.csv,15263,8e572df72857a81437317d4d0e9a9edf815d69baf9c5a6594f90d234b59cfe17
12_combined_feature_coupling_matrix.csv,228633,117fe4ba7d06bf4b98320474e7c0429ddd47b9013a99d87256d34ead76c36682
13_gap_propagation_operator.csv,292001,1be5bae0cb0f06f39ea1e3111b327c5855a7f9cb2484c62f21b4005e1c7736fc
14_semanticprogram_axis_gap_vector.csv,759,3349c181ae27156a0e64711e326ccef04915ff4a5caa5dcbd2f0a36b042ef685
15_matrix_derived_clusters.csv,3888,3fe0291002ed715ed5777c088102a6e12b883c0279994d1d68448d2118e21b3d
16_codex_cluster_implementation_matrix.csv,12676,41669e22c6cae62f9fa8633e17aa31aca0212076b3f2fa0acec2a63f2e67a69e
17_javac_frontend_semantics_gap_matrix.csv,9152,8100be795de74da1f15186732c14afe207b82cd1e1ba1fb00d8bb67eb7b8a406
18_jvm_hotspot_runtime_gap_matrix.csv,2438,523427304a5be81a520d104e246b48a52c0dee2db885f8754ec6c2144b793a43
19_detector_fix_matrix.csv,1610,c8db69f3c269151668a11d89002bcd829e21dcc26a0a2942ca4171ee043b5b7b
20_collector_java_ontology_extension_matrix.csv,27329,4f8ab1ee07b3af2f96134eb6f6b0c609c0e54b339c7676cafe4c5302775d89aa
21_java_behavior_test_evidence_matrix.csv,18210,72ee20748d27eef3649de761ea2fedaf292faba6c90e64f44fb14a3e08cb0c5c
22_scan_source_balance_matrix.csv,904,cd1c7f01c3600723ca2c37202a764f00546d35b4fac2a7c272830f41ecbb3bd8
90_original_language_matrix_openjdk.zip,4299133,183c3a958a90cb8d22761a525a1b7e0f6779f4b0a0844e48b5e1b80690aa90e0
