feature,family,gap_score,coverage,why_javac_is_authoritative
java.jpms_modules,bindings_modules,0.856352,0.0600,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.value_class_preview,declarations_object_model,0.803365,0.0100,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.annotation_semantics,declarations_object_model,0.803010,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.static_instance_initialization_order,declarations_object_model,0.760775,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.records,declarations_object_model,0.752322,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.try_with_resources_suppression,exceptions_resources,0.742619,0.0500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.sealed_classes_interfaces,declarations_object_model,0.724736,0.0600,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.preview_feature_gating,compiletime_metadata,0.709328,0.0300,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.annotation_processing,compiletime_metadata,0.700965,0.0500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.classfile_lowering,compiletime_metadata,0.697941,0.0500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.default_interface_methods,calls_resolution_dispatch,0.690677,0.0600,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.definite_assignment_unassignment,bindings_flow,0.684225,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.inner_local_anonymous_classes,declarations_object_model,0.679810,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.array_covariance_store_check,types_conversions_generics,0.678561,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.checked_unchecked_exceptions,exceptions_resources,0.651618,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.bridge_synthetic_methods,compiletime_metadata,0.646058,0.0400,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.effectively_final_capture,bindings_flow,0.645454,0.1400,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.enums_semantics,declarations_object_model,0.644954,0.2000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.raw_types,types_conversions_generics,0.640725,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.wildcard_extends_super,types_conversions_generics,0.638969,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.record_patterns,control_patterns,0.637126,0.0400,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.class_interface_inheritance,declarations_object_model,0.632129,0.1200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.generic_erasure,types_conversions_generics,0.625286,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
