rank,cluster,gap_score,feature_count,top_features
1,types_conversions_generics,21.350733,29,java.array_covariance_store_check;generic;java.raw_types;java.wildcard_extends_super;java.generic_erasure;java.var_local_inference;java.capture_conversion;primitive_integer;java.type_inference_constraints;java.ieee754_always_strict;java.boxing_unboxing;generic_constraint;subtyping;java.null_reference_semantics;java.primitive_widening_narrowing;reference;java.intersection_types;function_type;java.unsigned_absence_signed_wrap;java.binary_numeric_promotion;primitive_float;optional_nullable;type_inference;union_sum;array_type
2,declarations_object_model,16.609861,18,visibility;class;java.value_class_preview;java.annotation_semantics;attribute_annotation;java.static_instance_initialization_order;java.records;java.sealed_classes_interfaces;interface_trait;java.inner_local_anonymous_classes;struct;java.enums_semantics;java.class_interface_inheritance;enum;constant;lifetime;function;map_type
3,concurrency_memory_model,14.067328,14,thread;java.virtual_threads;task_async;java.thread_interruption;java.structured_concurrency;lock_mutex;java.final_field_memory_semantics;atomic;java.atomic_varhandle_ordering;channel;java.monitor_synchronized;java.happens_before_jmm;java.volatile_semantics;memory_model
4,calls_resolution_dispatch,9.339911,14,java.default_interface_methods;java.lambda_target_typing;java.virtual_interface_dispatch;java.overload_resolution;dynamic_dispatch;java.field_hiding_method_overriding;java.method_invocation_conversion;overload_resolution;name_resolution;java.method_references;parameter;closure_lambda;member_access;call
5,control_patterns,8.875446,18,pattern;java.record_patterns;yield;java.pattern_switch_exhaustiveness;java.pattern_instanceof;java.switch_expression;java.assert_semantics;goto_label;foreach_iteration;java.foreach_desugaring;java.labeled_break_continue;switch_match;return;if;for;break;continue;while
6,bytecode_jvm,8.004165,8,ir;bytecode_vm;java.classfile_descriptors_signatures;java.bytecode_operand_stack_frames;java.exception_table_bytecode;java.constant_pool;java.bytecode_verification;java.invokedynamic_bootstrap
7,reflection_dynamic,7.378983,9,java.reflection_runtime_type;reflection;java.method_handles_varhandles;network;random;filesystem;io;time;global_state
8,bindings_modules,7.158027,8,java.jpms_modules;import;module;java.package_namespace_resolution;java.access_control;java.import_static_resolution;symbol_table;scope
9,ffi_abi,7.137164,7,abi_calling_convention;layout_alignment;ffi;java.jni_boundary;java.foreign_function_memory_api;manual_memory;java.native_method_resolution
10,gc_memory_runtime,6.604094,7,java.jvm_gc_allocation;java.gc_reachability_reference_types;java.object_layout_headers_compressed_oops;unsafe;gc;allocation;ownership
11,compiletime_metadata,6.450838,7,java.preview_feature_gating;java.annotation_processing;java.classfile_lowering;macro;java.bridge_synthetic_methods;compile_time_eval;java.compile_time_constants
12,evaluation_operations,6.370627,19,map_dict;cast_conversion;tuple;literal_null;await;literal_string;slice;set;java.left_to_right_evaluation;index;literal_boolean;literal_numeric;java.short_circuit_boolean;unary_op;binary_op;assignment;identifier;array_list;comprehension
13,exceptions_resources,5.499000,6,exception_try;java.try_with_resources_suppression;java.checked_unchecked_exceptions;throw_raise;java.try_catch_finally;defer_cleanup
14,jit_vm_optimization,4.782685,5,java.safepoint_deoptimization_osr;java.escape_analysis_scalar_replacement;java.tiered_jit_compilation;optimizer;code_generation
15,bindings_flow,3.972358,6,java.definite_assignment_unassignment;java.effectively_final_capture;variable;capture;mutation;shadowing
16,jvm_runtime_object_model,3.030981,3,java.class_loading_linking_initialization;java.object_identity_hash_monitor;java.string_interning
