case_id,source_language,input_kind,status,input_bytes,uast_hash,diagnostic
a3b115291a22e6830076488411537bfc35a7d9efcc650b025b47c154e9b2051a,swift,assembly,FAIL,335,,"binary frontend: semantic lifting unavailable for instruction ""push"""
a3b115291a22e6830076488411537bfc35a7d9efcc650b025b47c154e9b2051a,swift,machine_code,FAIL,70,,"binary frontend: semantic lifting unavailable for instruction ""push"""
a3b115291a22e6830076488411537bfc35a7d9efcc650b025b47c154e9b2051a,swift,object,FAIL,165,,"binary frontend: semantic lifting unavailable for instruction ""push"""
a3b115291a22e6830076488411537bfc35a7d9efcc650b025b47c154e9b2051a,swift,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
44c72ef3bb18c078b6947437814e9415310806b25001b9e63764b563e615192d,swift,assembly,FAIL,392,,"binary frontend: semantic lifting unavailable for instruction ""push"""
44c72ef3bb18c078b6947437814e9415310806b25001b9e63764b563e615192d,swift,machine_code,FAIL,76,,"binary frontend: semantic lifting unavailable for instruction ""push"""
44c72ef3bb18c078b6947437814e9415310806b25001b9e63764b563e615192d,swift,object,FAIL,171,,"binary frontend: semantic lifting unavailable for instruction ""push"""
44c72ef3bb18c078b6947437814e9415310806b25001b9e63764b563e615192d,swift,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
74706cf5a13aa5a47284acc2c2763f9ae14ecfaeb8c3944c1fb4a66a8c7a831f,swift,assembly,FAIL,392,,"binary frontend: semantic lifting unavailable for instruction ""push"""
74706cf5a13aa5a47284acc2c2763f9ae14ecfaeb8c3944c1fb4a66a8c7a831f,swift,machine_code,FAIL,76,,"binary frontend: semantic lifting unavailable for instruction ""push"""
74706cf5a13aa5a47284acc2c2763f9ae14ecfaeb8c3944c1fb4a66a8c7a831f,swift,object,FAIL,171,,"binary frontend: semantic lifting unavailable for instruction ""push"""
74706cf5a13aa5a47284acc2c2763f9ae14ecfaeb8c3944c1fb4a66a8c7a831f,swift,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
8b49070693f13e03d1d0ec624c7b955cca57eee99f6b9618fdad0e427391c422,swift,assembly,FAIL,425,,"binary frontend: semantic lifting unavailable for instruction ""push"""
8b49070693f13e03d1d0ec624c7b955cca57eee99f6b9618fdad0e427391c422,swift,machine_code,FAIL,83,,"binary frontend: semantic lifting unavailable for instruction ""push"""
8b49070693f13e03d1d0ec624c7b955cca57eee99f6b9618fdad0e427391c422,swift,object,FAIL,178,,"binary frontend: semantic lifting unavailable for instruction ""push"""
8b49070693f13e03d1d0ec624c7b955cca57eee99f6b9618fdad0e427391c422,swift,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
