language,from_node,relation,to_node,required,multiple,named,evidence
r,argument,FIELD:name,dot_dot_i,False,False,True,node-types.json
r,argument,FIELD:name,dots,False,False,True,node-types.json
r,argument,FIELD:name,identifier,False,False,True,node-types.json
r,argument,FIELD:name,null,False,False,True,node-types.json
r,argument,FIELD:name,string,False,False,True,node-types.json
r,argument,FIELD:value,binary_operator,False,False,True,node-types.json
r,argument,FIELD:value,braced_expression,False,False,True,node-types.json
r,argument,FIELD:value,break,False,False,True,node-types.json
r,argument,FIELD:value,call,False,False,True,node-types.json
r,argument,FIELD:value,complex,False,False,True,node-types.json
r,argument,FIELD:value,dot_dot_i,False,False,True,node-types.json
r,argument,FIELD:value,dots,False,False,True,node-types.json
r,argument,FIELD:value,extract_operator,False,False,True,node-types.json
r,argument,FIELD:value,false,False,False,True,node-types.json
r,argument,FIELD:value,float,False,False,True,node-types.json
r,argument,FIELD:value,for_statement,False,False,True,node-types.json
r,argument,FIELD:value,function_definition,False,False,True,node-types.json
r,argument,FIELD:value,identifier,False,False,True,node-types.json
r,argument,FIELD:value,if_statement,False,False,True,node-types.json
r,argument,FIELD:value,inf,False,False,True,node-types.json
r,argument,FIELD:value,integer,False,False,True,node-types.json
r,argument,FIELD:value,na,False,False,True,node-types.json
r,argument,FIELD:value,namespace_operator,False,False,True,node-types.json
r,argument,FIELD:value,nan,False,False,True,node-types.json
r,argument,FIELD:value,next,False,False,True,node-types.json
r,argument,FIELD:value,null,False,False,True,node-types.json
r,argument,FIELD:value,parenthesized_expression,False,False,True,node-types.json
r,argument,FIELD:value,repeat_statement,False,False,True,node-types.json
r,argument,FIELD:value,string,False,False,True,node-types.json
r,argument,FIELD:value,subset,False,False,True,node-types.json
r,argument,FIELD:value,subset2,False,False,True,node-types.json
r,argument,FIELD:value,true,False,False,True,node-types.json
r,argument,FIELD:value,unary_operator,False,False,True,node-types.json
r,argument,FIELD:value,while_statement,False,False,True,node-types.json
r,arguments,FIELD:argument,argument,False,True,True,node-types.json
r,arguments,FIELD:close,),True,False,False,node-types.json
r,arguments,FIELD:close,],True,False,False,node-types.json
r,arguments,FIELD:close,]],True,False,False,node-types.json
r,arguments,FIELD:open,(,True,False,False,node-types.json
r,arguments,FIELD:open,[,True,False,False,node-types.json
r,arguments,FIELD:open,[[,True,False,False,node-types.json
r,binary_operator,FIELD:lhs,binary_operator,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,braced_expression,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,break,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,call,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,complex,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,dot_dot_i,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,dots,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,extract_operator,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,false,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,float,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,for_statement,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,function_definition,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,identifier,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,if_statement,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,inf,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,integer,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,na,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,namespace_operator,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,nan,True,False,True,node-types.json
