quotient_id,technical_signature,candidate_count,candidate_ids
RQ00001,TENSOR_ML|6|MLIR_TOSA|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,55,TOSA_ABS;TOSA_ADD;TOSA_ARGMAX;TOSA_ARITHMETIC_RIGHT_SHIFT;TOSA_AVG_POOL2_D;TOSA_AVG_POOL2_D_ADAPTIVE;TOSA_BITWISE_AND;TOSA_BITWISE_NOT;TOSA_BITWISE_OR;TOSA_BITWISE_XOR;TOSA_CAST;TOSA_CEIL;TOSA_CLAMP;TOSA_CLZ;TOSA_CONCAT;TOSA_COND_IF;TOSA_CONST;TOSA_COS;TOSA_EQUAL;TOSA_ERF;TOSA_EXP;TOSA_FLOOR;TOSA_GATHER;TOSA_GREATER;TOSA_GREATER_EQUAL;TOSA_IDENTITY;TOSA_INTDIV;TOSA_LOG;TOSA_LOGICAL_LEFT_SHIFT;TOSA_LOGICAL_RIGHT_SHIFT;TOSA_MAXIMUM;TOSA_MAX_POOL2_D;TOSA_MAX_POOL2_D_ADAPTIVE;TOSA_MINIMUM;TOSA_MUL;TOSA_NEGATE;TOSA_PAD;TOSA_POW;TOSA_RECIPROCAL;TOSA_RESCALE;TOSA_RESHAPE;TOSA_RESIZE;TOSA_REVERSE;TOSA_RSQRT;TOSA_SCATTER;TOSA_SELECT;TOSA_SIGMOID;TOSA_SIN;TOSA_SLICE;TOSA_SUB;TOSA_TABLE;TOSA_TANH;TOSA_TILE;TOSA_TRANSPOSE;TOSA_WHILE_LOOP
RQ00002,BITWISE|1|H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,BIT_AND;BIT_NOT;BIT_OR
RQ00003,DISTRIBUTED|6|STABLEHLO_OPS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,10,STABLEHLO_ALL_GATHER;STABLEHLO_ALL_REDUCE;STABLEHLO_ALL_TO_ALL;STABLEHLO_COLLECTIVE_BROADCAST;STABLEHLO_COLLECTIVE_PERMUTE;STABLEHLO_INFEED;STABLEHLO_OUTFEED;STABLEHLO_RECV;STABLEHLO_REDUCE_SCATTER;STABLEHLO_SEND
RQ00004,ARITHMETIC|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,8,IL_ADD_OVERFLOW;IL_ADD_OVERFLOW_UNSIGNED;IL_DIV_UNSIGNED;IL_MUL_OVERFLOW;IL_MUL_OVERFLOW_UNSIGNED;IL_REM_UNSIGNED;IL_SUB_OVERFLOW;IL_SUB_OVERFLOW_UNSIGNED
RQ00005,VECTOR_MEMORY|2|LLVM_VP|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,6,LLVM_VP_GATHER;LLVM_VP_LOAD;LLVM_VP_SCATTER;LLVM_VP_STORE;LLVM_VP_STRIDED_LOAD;LLVM_VP_STRIDED_STORE
RQ00006,ControlFamily|1|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,5,CONTROL_BRANCH;CONTROL_PREDICATED_INSTRUCTION;CONTROL_RETURN_OR_LEAVE;CONTROL_SEQUENCE_OR_LOOP;INDIRECT_BRANCH
RQ00007,BINDING_MEMORY|1|H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,INVARIANT_END;INVARIANT_START;PREFETCH
RQ00008,TENSOR|2|H5_NORMALIZED;SPIRV|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,TENSOR_CONTRACT;TENSOR_LOAD;TENSOR_STORE
RQ00009,EXCEPTION|1|H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,EXCEPTION_DISPATCH;EXCEPTION_RESUME
RQ00010,VECTOR_REDUCTION|12|AARCH64_SVE|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,8,AARCH64_SVE_ADDV;AARCH64_SVE_DIV;AARCH64_SVE_FADDV;AARCH64_SVE_FDIV;AARCH64_SVE_FMAXV;AARCH64_SVE_FMINV;AARCH64_SVE_MAXV;AARCH64_SVE_MINV
RQ00011,TYPE_CONVERSION|2|H5_NORMALIZED;WEBASSEMBLY|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,REFERENCE_CAST;REFERENCE_TEST
RQ00012,BITWISE|2|H5_NORMALIZED;X86_ISA|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,BITFIELD_EXTRACT;BIT_COMPRESS;BIT_DEPOSIT
RQ00013,CONCURRENCY|2|H5_NORMALIZED;NVVM_INTRINSICS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,28,GPU_BARRIER_ARRIVE;GPU_BARRIER_SYNC;GPU_BLOCK_DIM_X;GPU_BLOCK_DIM_Y;GPU_BLOCK_DIM_Z;GPU_BLOCK_ID_X;GPU_BLOCK_ID_Y;GPU_BLOCK_ID_Z;GPU_CLUSTER_BARRIER_ARRIVE;GPU_CLUSTER_BARRIER_WAIT;GPU_GRID_DIM_X;GPU_GRID_DIM_Y;GPU_GRID_DIM_Z;GPU_LANE_ID;GPU_MATCH_ALL;GPU_MATCH_ANY;GPU_SHUFFLE_DOWN;GPU_SHUFFLE_INDEX;GPU_SHUFFLE_UP;GPU_SHUFFLE_XOR;GPU_THREAD_ID_X;GPU_THREAD_ID_Y;GPU_THREAD_ID_Z;GPU_WARP_ALL;GPU_WARP_ANY;GPU_WARP_BALLOT;GPU_WARP_SIZE;GPU_WARP_UNIFORM
RQ00014,FUNCTION|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,6,IL_ARGLIST;IL_CALL_INDIRECT;IL_CONSTRAINED_CALL;IL_LOAD_FUNCTION_PTR;IL_LOAD_VIRTUAL_FUNCTION_PTR;IL_TAILCALL_PREFIX
