candidate_id,family_hint,raw_names
RECOVER_TYPE_NULL_COALESCING_RECOVER,TypeFamily,NullCoalescingTransform
RECOVER_BINDING_FIELD_CTOR_INITIALIZER,BindingFamily,TransformFieldAndConstructorInitializers
CEIL,ARITHMETIC,CEIL;FLOAT_CEIL;LLIL_CEILING;math.ceil
GHIDRA_INT_SBORROW,UNCLASSIFIED,INT_SBORROW
GHIDRA_INT_ADD,UNCLASSIFIED,INT_ADD
RECOVER_CONTROL_REDUCE_NESTING,ControlFamily,ReduceNestingTransform
GHIDRA_INT_EQUAL,UNCLASSIFIED,INT_EQUAL
GHIDRA_EXTRACT,UNCLASSIFIED,EXTRACT
COMPARE_LE,NumericFamily,BVSLE_NODE;BVULE_NODE;COMPARE:LE;INT_SLESS;LLIL_CMP_SLE;LLIL_CMP_ULE;RZ_IL_OP_SLE;RZ_IL_OP_ULE
CALL_DELEGATE_CONSTRUCT,CallFamily,DelegateConstruction
RECOVER_ITERATION_LOOP_RECOVER,IterationFamily,LoopDetection
GHIDRA_FLOAT_LESS,UNCLASSIFIED,FLOAT_LESS
GHIDRA_INSERT,UNCLASSIFIED,INSERT
EXPRESSION_INLINE,ExpressionFamily,ILInlining
RECOVER_METADATA_DOCUMENTATION,CompiletimeFamily,AddXmlDocumentationTransform
GHIDRA_CBRANCH,UNCLASSIFIED,CBRANCH
RECOVER_TYPE_DYNAMIC_RECOVER,TypeFamily,IntroduceDynamicTypeOnLocals
GHIDRA_INT_NEGATE,UNCLASSIFIED,INT_NEGATE
RECOVER_ITERATION_YIELD_RECOVER,IterationFamily,YieldReturnDecompiler
GHIDRA_INT_SUB,UNCLASSIFIED,INT_SUB
GHIDRA_FLOAT_SQRT,UNCLASSIFIED,FLOAT_SQRT
RECOVER_BINDING_ADDRESS_INIT_RECOVER,BindingFamily,LdLocaDupInitObjTransform
SHIFT_LEFT,NumericFamily,BVSHL_NODE;INT_LEFT;LLIL_LSL;shl;RZ_IL_OP_LSHIFT;shli_vec;shls_vec;shlv_vec
RECOVER_CONTROL_CONDITION_RECOVER,ControlFamily,ConditionDetection
SHIFT_RIGHT_LOGIC,NumericFamily,BVLSHR_NODE;LLIL_LSR;shr;RZ_IL_OP_RSHIFT;shri_vec;shrs_vec;shrv_vec
GHIDRA_FLOAT_NEG,UNCLASSIFIED,FLOAT_NEG
EFFECTS_INDIRECT,EffectFamily,INDIRECT
RECOVER_CONTROL_SWITCH_RECOVER,ControlFamily,SwitchDetection
GHIDRA_CALL,UNCLASSIFIED,CALL
GHIDRA_BOOL_AND,UNCLASSIFIED,BOOL_AND
RECOVER_ITERATION_HIGH_LEVEL_LOOP,IterationFamily,HighLevelLoopTransform
RETURN,CONTROL,LLIL_NORET;LLIL_RET;RETURN;RemoveRedundantReturn;RtlReturn;YieldReturn;PrettifyAssignments;RETURN;Rethrow
GHIDRA_INT_SRIGHT,UNCLASSIFIED,INT_SRIGHT
RECOVER_CONTROL_NULLABLE_SWITCH_RECOVER,ControlFamily,SwitchOnNullableTransform
RECOVER_TYPE_NULL_PROPAGATION_RECOVER,TypeFamily,NullPropagationStatementTransform
GHIDRA_INT_NOTEQUAL,UNCLASSIFIED,INT_NOTEQUAL
REM,NumericFamily,BVSMOD_NODE;BVSREM_NODE;BVUREM_NODE;INT_REM;RZ_IL_OP_MOD;rems;remu;INT_SREM;LLIL_MODS;LLIL_MODS_DP;RZ_IL_OP_SMOD;LLIL_MODU;LLIL_MODU_DP;REM;RZ_IL_OP_FMOD
RECOVER_ASYNC_AWAIT_RECOVER,AsyncFamily,AsyncAwaitDecompiler
GHIDRA_BRANCH,UNCLASSIFIED,BRANCH
GHIDRA_RETURN,UNCLASSIFIED,RETURN
GHIDRA_INT_SCARRY,UNCLASSIFIED,INT_SCARRY
OR,LogicFamily,BOOL_OR;BOOL_XOR;BVNOR_NODE;BVOR_NODE;BVXNOR_NODE;BVXOR_NODE;DynamicBinaryOperatorInstruction;DynamicLogicOperatorInstruction;DynamicUnaryOperatorInstruction;FORALL_NODE;INT_OR;INT_XOR;LLIL_FLOOR;LLIL_OR;LLIL_XOR;LOR_NODE;LXOR_NODE;RZ_IL_OP_FORDER;RZ_IL_OP_LOGOR;RZ_IL_OP_LOGXOR;RZ_IL_OP_OR;RZ_IL_OP_XOR;ThreeValuedBoolOr;UserDefinedLogicOperator;nor;or;orc;xor;FLOAT_FLOOR;INT_SBORROW;NormalizeBlockStatements;nor_vec;or_vec;orc_vec;xor_vec
GHIDRA_BOOL_OR,UNCLASSIFIED,BOOL_OR
RECOVER_CONTROL_STRING_SWITCH_RECOVER,ControlFamily,SwitchOnStringTransform
GHIDRA_STORE,UNCLASSIFIED,STORE
AND,LogicFamily,BOOL_AND;BVAND_NODE;BVNAND_NODE;INT_AND;LAND_NODE;LLIL_AND;RZ_IL_OP_AND;RZ_IL_OP_LOGAND;ThreeValuedBoolAnd;and;andc;nand;ExpandNestedConditionals;TryCatchHandler;and_vec;andc_vec;nand_vec
LIFETIME_PIN_REGION,LifetimeFamily,DetectPinnedRegions
COMPARE_EQ,NumericFamily,COMPARE:EQ;CombineQueryExpressions;IntroduceQueryExpressions;RZ_IL_OP_EQ;EQUAL_NODE;INT_EQUAL;INT_LESSEQUAL;INT_NOTEQUAL;LLIL_CMP_E;RZ_IL_OP_FREQUAL;negsetcond;setcond;FLOAT_EQUAL;FLOAT_LESSEQUAL;FLOAT_NOTEQUAL;INT_SLESSEQUAL;RZ_IL_OP_SEQ;eqv;eqv_vec
CONCAT,NumericFamily,CONCAT_NODE;PIECE;RZ_IL_OP_APPEND;SUBPIECE
ROTATE_LEFT,NumericFamily,BVROL_NODE;ControlFlowSimplification;LLIL_ROL;rotl;ROTATE_LEFT;rotli_vec;rotls_vec;rotlv_vec
COPY,RepresentationFamily,COPY;mov;movcond;CopyPropagation;RemoveDeadVariableInit;RtlAssignment;RemoveUnconstrainedGenericReferenceTypeCheck;mov_vec
RECOVER_PATTERN_MATCH_RECOVER,PatternFamily,PatternMatchingTransform
GHIDRA_FLOAT_EQUAL,UNCLASSIFIED,FLOAT_EQUAL
GHIDRA_INT_OR,UNCLASSIFIED,INT_OR
GHIDRA_FLOAT_ABS,UNCLASSIFIED,FLOAT_ABS
GHIDRA_INT_DIV,UNCLASSIFIED,INT_DIV
RECOVER_REPRESENTATION_INDEX_RANGE,RepresentationFamily,IndexRangeTransform
INSERT,RepresentationFamily,INSERT;deposit
