primitive_id,reduction_status,proven_redundant
DYNAMIC_NAME_LOOKUP,UNOBSERVED_KEEP_AUTHORITY,false
D_TYPEINFO_QUERY,UNOBSERVED_KEEP_AUTHORITY,false
INSTANCE_VAR_SET,UNOBSERVED_KEEP_AUTHORITY,false
PERL_POP,UNOBSERVED_KEEP_AUTHORITY,false
SET_CREATE,UNOBSERVED_KEEP_AUTHORITY,false
SPAWN,UNOBSERVED_KEEP_AUTHORITY,false
ASSIGN_DIM,UNOBSERVED_KEEP_AUTHORITY,false
CLOSURE_CELL_LOAD,UNOBSERVED_KEEP_AUTHORITY,false
JS_TDZ_REFERENCE_ERROR,UNOBSERVED_KEEP_AUTHORITY,false
LAZY_BLOCK_CREATE,UNOBSERVED_KEEP_AUTHORITY,false
PERL_UNTIE,UNOBSERVED_KEEP_AUTHORITY,false
SPREAD_ELEMENT,UNOBSERVED_KEEP_AUTHORITY,false
CONTROL_FLOW,UNOBSERVED_KEEP_AUTHORITY,false
BITSTRING_PUT_BINARY,UNOBSERVED_KEEP_AUTHORITY,false
DEFER,UNOBSERVED_KEEP_AUTHORITY,false
PERL_CHR,UNOBSERVED_KEEP_AUTHORITY,false
PERL_COMPARISON_CHAIN,UNOBSERVED_KEEP_AUTHORITY,false
PRE_DECREMENT,UNOBSERVED_KEEP_AUTHORITY,false
SINGLETON_OBJECT_GET,UNOBSERVED_KEEP_AUTHORITY,false
TYPE_TEST_FUNCTION,UNOBSERVED_KEEP_AUTHORITY,false
ADA_TIMED_ENTRY_CALL,UNOBSERVED_KEEP_AUTHORITY,false
COMPLEX_IMAG,UNOBSERVED_KEEP_AUTHORITY,false
PERL_REQUIRE,UNOBSERVED_KEEP_AUTHORITY,false
TYPE_TEST_REFERENCE,UNOBSERVED_KEEP_AUTHORITY,false
CLASS_REFERENCE,UNOBSERVED_KEEP_AUTHORITY,false
DYNAMIC_GLOBAL_LOOKUP,UNOBSERVED_KEEP_AUTHORITY,false
PERL_DIE,UNOBSERVED_KEEP_AUTHORITY,false
STRING_CHILLED_DUP,UNOBSERVED_KEEP_AUTHORITY,false
THREAD_YIELD,UNOBSERVED_KEEP_AUTHORITY,false
MAILBOX_REMOVE_MESSAGE,UNOBSERVED_KEEP_AUTHORITY,false
PANIC,UNOBSERVED_KEEP_AUTHORITY,false
PERL_CASEFOLD,UNOBSERVED_KEEP_AUTHORITY,false
STM_CATCH,UNOBSERVED_KEEP_AUTHORITY,false
COROUTINE_DROP,UNOBSERVED_KEEP_AUTHORITY,false
FILE_LOCK,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_FINDLOC,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_RANDOM_NUMBER,UNOBSERVED_KEEP_AUTHORITY,false
NULL_CHECK,UNOBSERVED_KEEP_AUTHORITY,false
ADA_CONDITIONAL_ENTRY_CALL,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_MINLOC,UNOBSERVED_KEEP_AUTHORITY,false
JS_ARRAY_LITERAL_CREATE,UNOBSERVED_KEEP_AUTHORITY,false
JS_KEYED_PROPERTY_SET,UNOBSERVED_KEEP_AUTHORITY,false
JS_SUPER_NOT_CALLED_ERROR,UNOBSERVED_KEEP_AUTHORITY,false
PERL_REFERENCE_DEREF_CODE,UNOBSERVED_KEEP_AUTHORITY,false
CLOSE_SCOPED_VALUES,UNOBSERVED_KEEP_AUTHORITY,false
CLOSURE_CELL_STORE,UNOBSERVED_KEEP_AUTHORITY,false
D_DELETE_EXPR,UNOBSERVED_KEEP_AUTHORITY,false
PERL_WEAKEN,UNOBSERVED_KEEP_AUTHORITY,false
SPECIAL_VAR_GET,UNOBSERVED_KEEP_AUTHORITY,false
D_MIXIN_EXPR,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_TRAILZ,UNOBSERVED_KEEP_AUTHORITY,false
OBJECT_CLONE,UNOBSERVED_KEEP_AUTHORITY,false
ADA_TASK_ACTIVATION,UNOBSERVED_KEEP_AUTHORITY,false
JS_CONSTRUCT_WITH_SPREAD,UNOBSERVED_KEEP_AUTHORITY,false
JS_REST_PARAMETER_CREATE,UNOBSERVED_KEEP_AUTHORITY,false
PERL_CHOP,UNOBSERVED_KEEP_AUTHORITY,false
YIELD_FROM,UNOBSERVED_KEEP_AUTHORITY,false
JS_FOR_IN_ENUMERATE,UNOBSERVED_KEEP_AUTHORITY,false
COMPARE:LT,OBSERVED_REQUIRED,false
YIELD,UNOBSERVED_KEEP_AUTHORITY,false
ADD,UNOBSERVED_KEEP_AUTHORITY,false
AND,UNOBSERVED_KEEP_AUTHORITY,false
TIME_LOCAL_CONVERT,UNOBSERVED_KEEP_AUTHORITY,false
DYNAMIC_APPLY,UNOBSERVED_KEEP_AUTHORITY,false
IDENTITY_TEST,UNOBSERVED_KEEP_AUTHORITY,false
PERL_INIT_FIELD,UNOBSERVED_KEEP_AUTHORITY,false
PARALLEL_FOR,UNOBSERVED_KEEP_AUTHORITY,false
PERL_REFADDR,UNOBSERVED_KEEP_AUTHORITY,false
PERL_REGEX_SUBSTITUTE,UNOBSERVED_KEEP_AUTHORITY,false
DIV,UNOBSERVED_KEEP_AUTHORITY,false
BIT_NOT,UNOBSERVED_KEEP_AUTHORITY,false
CHECK_FINITE,UNOBSERVED_KEEP_AUTHORITY,false
JS_IN_TEST,UNOBSERVED_KEEP_AUTHORITY,false
PERL_BLESS,UNOBSERVED_KEEP_AUTHORITY,false
ANNOTATION_SETUP,UNOBSERVED_KEEP_AUTHORITY,false
ASSIGN_OBJECT_PROPERTY,UNOBSERVED_KEEP_AUTHORITY,false
ATOMIC_FIELD_LOAD,UNOBSERVED_KEEP_AUTHORITY,false
JS_LOOKUP_SLOT_SET,UNOBSERVED_KEEP_AUTHORITY,false
JS_REFERENCE_EQUAL,UNOBSERVED_KEEP_AUTHORITY,false
PTR_TO_INT,UNOBSERVED_KEEP_AUTHORITY,false
SAFE_BYTES_SET,UNOBSERVED_KEEP_AUTHORITY,false
EQ,UNOBSERVED_KEEP_AUTHORITY,false
ACCESS_BEGIN,UNOBSERVED_KEEP_AUTHORITY,false
CHANNEL_RECEIVE,UNOBSERVED_KEEP_AUTHORITY,false
PARALLEL_REGION,UNOBSERVED_KEEP_AUTHORITY,false
PERL_HASH_VALUES,UNOBSERVED_KEEP_AUTHORITY,false
PERL_QUOTEMETA,UNOBSERVED_KEEP_AUTHORITY,false
BINARY:POW,OBSERVED_REQUIRED,false
FINALLY,UNOBSERVED_KEEP_AUTHORITY,false
LIST_HEAD,UNOBSERVED_KEEP_AUTHORITY,false
MAP_SET,UNOBSERVED_KEEP_AUTHORITY,false
METHOD_SELF_LOOKUP,UNOBSERVED_KEEP_AUTHORITY,false
PATH_RMDIR,UNOBSERVED_KEEP_AUTHORITY,false
RANGE_ITERATE,UNOBSERVED_KEEP_AUTHORITY,false
CALL,OBSERVED_REQUIRED,false
AGGREGATE_MAP,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_PARITY,UNOBSERVED_KEEP_AUTHORITY,false
JS_OBJECT_CLONE,UNOBSERVED_KEEP_AUTHORITY,false
REDUCE,UNOBSERVED_KEEP_AUTHORITY,false
STABLE_PTR_DEREF,UNOBSERVED_KEEP_AUTHORITY,false
MUL,UNOBSERVED_KEEP_AUTHORITY,false
