feature,family,compiler_frontend_core,core_types_descriptors,ir_codegen_backends,stdlib_contract,native_runtime,interop_abi,spec_docs,behavior_tests,plugins_extensions,tools_build,other,weighted_evidence,unique_evidence_files
kotlin.nullable_type,nullability_flow,0,0,18,0,0,8,0,718,27,1,28,335.180000,800
kotlin.null_safety_flow,nullability_flow,0,0,1,0,0,8,0,572,7,27,0,255.080000,615
kotlin.safe_call,nullability_flow,0,0,11,0,0,2,0,188,4,0,1,91.680000,206
kotlin.elvis_operator,nullability_flow,1,0,24,0,0,3,0,161,6,0,1,94.400000,196
kotlin.non_null_assertion,nullability_flow,2,0,0,0,0,0,0,85,0,0,1,37.800000,88
kotlin.smart_cast,nullability_flow,0,0,3,0,0,1,0,1069,6,0,0,454.320000,1079
kotlin.platform_flexible_type,nullability_flow,1,3,0,0,0,0,0,78,1,0,1,37.030000,84
kotlin.definitely_non_null_type,nullability_flow,0,0,0,0,0,0,0,15,0,0,0,6.300000,15
kotlin.intersection_type,types_inference_generics,0,4,0,0,0,0,0,165,0,2,0,73.540000,171
kotlin.captured_type,types_inference_generics,0,3,0,0,0,0,0,137,2,0,0,61.030000,142
kotlin.type_alias,types_inference_generics,0,9,6,3,0,13,0,651,20,38,24,315.750000,764
kotlin.variance_in_out,types_inference_generics,0,1,9,1,0,1,1,141,3,6,1,72.690000,164
kotlin.star_projection,types_inference_generics,0,1,0,0,0,0,0,69,6,5,0,32.950000,81
kotlin.generic_where_constraints,types_inference_generics,0,0,0,0,0,0,0,1,0,0,0,0.420000,1
kotlin.type_inference_constraint_system,types_inference_generics,1,0,0,0,0,0,0,7,0,0,0,3.940000,8
kotlin.builder_inference,types_inference_generics,0,0,0,0,0,0,0,26,0,0,0,10.920000,26
kotlin.reified_type_parameter,types_inference_generics,1,0,13,0,0,0,1,347,7,0,1,161.480000,370
kotlin.function_type,types_inference_generics,0,4,46,0,0,0,0,126,3,2,2,99.720000,183
kotlin.receiver_function_type,types_inference_generics,0,0,0,0,0,0,0,8,0,0,0,3.360000,8
kotlin.suspend_function_type,types_inference_generics,0,1,0,0,0,0,0,28,0,2,1,13.250000,32
kotlin.unit_type,types_inference_generics,0,0,0,0,0,0,0,25,0,0,0,10.500000,25
kotlin.nothing_type,types_inference_generics,0,0,0,0,0,0,0,60,0,0,0,25.200000,60
kotlin.unsigned_integer_types,types_inference_generics,0,1,5,55,2,0,0,528,4,0,1,264.250000,596
kotlin.value_class,declarations_objects,0,3,10,0,0,2,0,175,12,2,1,91.170000,205
kotlin.data_class,declarations_objects,2,0,16,0,0,0,0,276,30,1,2,142.340000,327
kotlin.sealed_class_interface,declarations_objects,0,1,11,0,0,8,1,268,17,57,0,147.850000,363
kotlin.enum_entry_semantics,declarations_objects,0,2,14,12,1,0,0,191,7,25,1,110.780000,253
kotlin.object_singleton,declarations_objects,0,0,4,0,0,0,0,102,26,3,3,55.720000,138
kotlin.companion_object,declarations_objects,0,2,6,2,0,0,0,188,17,27,1,98.980000,243
kotlin.extension_function_property,declarations_objects,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.delegated_property,declarations_objects,0,0,0,0,0,0,0,404,7,14,0,175.000000,425
kotlin.backing_field_accessor,declarations_objects,0,4,14,0,0,8,1,425,28,12,13,214.260000,505
kotlin.constructor_init_order,declarations_objects,0,0,0,0,0,0,0,16,0,0,0,6.720000,16
kotlin.internal_visibility,declarations_objects,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.annotation_use_site,declarations_objects,3,44,33,36,7,11,2,2596,231,155,143,1324.240000,3261
kotlin.context_receivers_parameters,declarations_objects,0,0,0,0,0,0,0,1,14,3,0,5.560000,18
kotlin.operator_overloading,calls_resolution,0,0,0,0,0,0,0,3,0,0,0,1.260000,3
kotlin.infix_function,calls_resolution,0,0,0,0,0,0,0,10,0,0,0,4.200000,10
kotlin.named_arguments,calls_resolution,0,0,1,0,0,0,0,43,0,0,0,18.960000,44
kotlin.default_arguments,calls_resolution,2,0,25,0,0,0,0,291,7,19,1,153.240000,345
kotlin.vararg_spread,calls_resolution,1,0,15,0,0,24,0,493,23,2,2,246.840000,560
kotlin.trailing_lambda,calls_resolution,0,0,0,0,0,0,0,7,0,0,0,2.940000,7
kotlin.implicit_receiver_tower,calls_resolution,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.overload_resolution,calls_resolution,1,0,0,0,0,0,0,24,0,0,0,11.080000,25
kotlin.member_extension_resolution,calls_resolution,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.sam_conversion,calls_resolution,0,3,0,0,0,0,0,116,6,23,0,58.550000,148
kotlin.callable_reference,calls_resolution,1,0,13,1,0,0,0,1264,24,0,0,551.880000,1303
kotlin.reflection_kclass,calls_resolution,2,118,17,27,4,2,0,846,3,12,1,509.720000,1032
kotlin.destructuring_component,calls_resolution,0,0,15,0,0,0,0,409,11,0,0,188.800000,435
kotlin.when_expression,control_patterns,0,0,0,0,0,0,0,9,0,5,0,4.880000,14
kotlin.when_exhaustiveness,control_patterns,0,0,0,0,0,1,1,90,0,0,0,39.220000,92
