feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
kotlin.nullable_type,0.020,0.700,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.null_safety_flow,0.020,0.350,0.050,0.120,0.000,0.080,0.000,0.000,0.200
kotlin.safe_call,0.020,0.300,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.elvis_operator,0.020,0.300,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.non_null_assertion,0.020,0.300,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.smart_cast,0.020,0.300,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.platform_flexible_type,0.020,0.300,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.definitely_non_null_type,0.020,0.300,0.050,0.080,0.000,0.080,0.000,0.000,0.200
kotlin.intersection_type,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.captured_type,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.type_alias,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.variance_in_out,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.star_projection,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.generic_where_constraints,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.type_inference_constraint_system,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.builder_inference,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.reified_type_parameter,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.function_type,0.020,0.820,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.receiver_function_type,0.020,0.450,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.suspend_function_type,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.unit_type,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.nothing_type,0.020,0.420,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.unsigned_integer_types,0.020,0.450,0.050,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.value_class,0.040,0.300,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.data_class,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.sealed_class_interface,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.enum_entry_semantics,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.object_singleton,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.companion_object,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.extension_function_property,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.delegated_property,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.backing_field_accessor,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.constructor_init_order,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.internal_visibility,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.annotation_use_site,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.context_receivers_parameters,0.040,0.350,0.080,0.020,0.000,0.040,0.000,0.000,0.200
kotlin.operator_overloading,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.infix_function,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.named_arguments,0.650,0.180,0.120,0.150,0.000,0.280,0.220,0.000,0.200
kotlin.default_arguments,0.600,0.180,0.120,0.150,0.000,0.180,0.180,0.000,0.200
kotlin.vararg_spread,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.trailing_lambda,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.implicit_receiver_tower,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.overload_resolution,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.member_extension_resolution,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.sam_conversion,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.callable_reference,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.reflection_kclass,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.destructuring_component,0.100,0.180,0.120,0.150,0.000,0.180,0.100,0.000,0.200
kotlin.when_expression,0.120,0.080,0.060,0.180,0.000,0.120,0.080,0.000,0.200
kotlin.when_exhaustiveness,0.120,0.080,0.060,0.180,0.000,0.120,0.080,0.000,0.200
kotlin.range_progression_iteration,0.120,0.200,0.020,0.200,0.000,0.180,0.120,0.000,0.200
kotlin.labeled_control_flow,0.120,0.080,0.060,0.180,0.000,0.120,0.080,0.000,0.200
kotlin.nonlocal_return,0.180,0.100,0.120,0.180,0.000,0.100,0.120,0.000,0.200
kotlin.try_expression,0.020,0.000,0.020,0.060,0.180,0.020,0.000,0.000,0.200
kotlin.exception_throw_catch_finally,0.020,0.000,0.020,0.060,0.350,0.020,0.000,0.000,0.200
kotlin.inline_function,0.180,0.100,0.120,0.180,0.000,0.100,0.120,0.000,0.200
kotlin.crossinline_noinline,0.180,0.100,0.120,0.180,0.000,0.100,0.120,0.000,0.200
kotlin.contracts_dsl,0.000,0.080,0.040,0.040,0.050,0.020,0.000,0.000,0.200
kotlin.calls_in_place_effect,0.000,0.080,0.040,0.040,0.050,0.020,0.000,0.000,0.200
kotlin.returns_implies_effect,0.000,0.080,0.040,0.040,0.050,0.020,0.000,0.000,0.200
kotlin.suspend_resume,0.000,0.000,0.000,0.030,0.050,0.020,0.000,0.000,0.200
kotlin.continuation_state_machine,0.000,0.000,0.000,0.030,0.050,0.020,0.000,0.000,0.200
kotlin.coroutine_suspension_points,0.000,0.000,0.000,0.030,0.050,0.020,0.000,0.000,0.200
kotlin.suspend_lambda,0.000,0.000,0.000,0.030,0.050,0.020,0.000,0.000,0.200
kotlin.expect_actual,0.000,0.100,0.030,0.000,0.000,0.020,0.000,0.000,0.350
