semanticprogram_axis,matrix_gap_score,dominant_features
types.structure,76.464163,visibility;import;module;attribute_annotation;class;kotlin.smart_cast;kotlin.klib_metadata;interface_trait;kotlin.annotation_use_site;kotlin.native_c_objc_interop
scope.binding,59.903852,visibility;import;module;attribute_annotation;class;kotlin.klib_metadata;interface_trait;kotlin.annotation_use_site;kotlin.native_c_objc_interop;kotlin.contracts_dsl
data.flow,49.202452,kotlin.js_backend_lowering;kotlin.suspend_resume;kotlin.ir_semantics;kotlin.fir_data_flow;kotlin.coroutine_suspension_points;kotlin.smart_cast;kotlin.null_safety_flow;kotlin.native_backend_lowering;kotlin.nullable_type;kotlin.contracts_dsl
operations,48.234894,kotlin.js_backend_lowering;kotlin.ir_semantics;kotlin.fir_data_flow;kotlin.smart_cast;kotlin.annotation_use_site;kotlin.null_safety_flow;kotlin.native_backend_lowering;kotlin.nullable_type;kotlin.wasm_backend_lowering;kotlin.callable_reference
evaluation.order,45.485559,kotlin.suspend_resume;kotlin.coroutine_suspension_points;kotlin.smart_cast;exception_try;kotlin.null_safety_flow;kotlin.nullable_type;kotlin.exception_throw_catch_finally;kotlin.callable_reference;kotlin.inline_function;kotlin.safe_call
conversion.semantics,42.502291,kotlin.smart_cast;optional_nullable;kotlin.null_safety_flow;kotlin.nullable_type;kotlin.callable_reference;kotlin.reified_type_parameter;kotlin.type_alias;kotlin.safe_call;kotlin.elvis_operator;kotlin.vararg_spread
binding.graph,37.061493,kotlin.annotation_use_site;kotlin.callable_reference;kotlin.backing_field_accessor;kotlin.reified_type_parameter;kotlin.delegated_property;kotlin.type_alias;kotlin.data_class;kotlin.sealed_class_interface;kotlin.vararg_spread;scope
compiletime.semantics,35.576931,kotlin.js_backend_lowering;code_generation;kotlin.ir_semantics;kotlin.fir_data_flow;ir;kotlin.klib_metadata;kotlin.native_c_objc_interop;kotlin.native_backend_lowering;kotlin.contracts_dsl;kotlin.wasm_backend_lowering
control.flow,32.798664,kotlin.js_backend_lowering;kotlin.suspend_resume;kotlin.ir_semantics;kotlin.fir_data_flow;kotlin.coroutine_suspension_points;kotlin.smart_cast;exception_try;kotlin.null_safety_flow;kotlin.native_backend_lowering;kotlin.nullable_type
nodes.declaration,26.144099,visibility;import;module;attribute_annotation;class;interface_trait;kotlin.annotation_use_site;generic;kotlin.inline_function;kotlin.backing_field_accessor
types.origin,23.999662,optional_nullable;kotlin.reified_type_parameter;kotlin.type_alias;subtyping;primitive_float;primitive_integer;kotlin.variance_in_out;kotlin.unsigned_integer_types;overload_resolution;function_type
lowering.pipeline,21.395972,kotlin.js_backend_lowering;kotlin.suspend_resume;code_generation;kotlin.ir_semantics;kotlin.fir_data_flow;kotlin.coroutine_suspension_points;ir;kotlin.klib_metadata;kotlin.native_c_objc_interop;kotlin.native_backend_lowering
runtime.contract,21.360711,kotlin.suspend_resume;kotlin.coroutine_suspension_points;kotlin.smart_cast;kotlin.null_safety_flow;kotlin.nullable_type;mutation;kotlin.exception_throw_catch_finally;kotlin.safe_call;reflection;kotlin.elvis_operator
abi.ffi,19.862442,kotlin.js_backend_lowering;kotlin.ir_semantics;kotlin.fir_data_flow;kotlin.klib_metadata;abi_calling_convention;kotlin.native_c_objc_interop;ffi;kotlin.native_backend_lowering;unsafe;kotlin.wasm_backend_lowering
memory.model,18.556401,abi_calling_convention;kotlin.annotation_use_site;ffi;unsafe;kotlin.backing_field_accessor;kotlin.delegated_property;kotlin.data_class;kotlin.sealed_class_interface;kotlin.value_class;kotlin.enum_entry_semantics
dialect.extension,17.592702,kotlin.js_backend_lowering;code_generation;kotlin.ir_semantics;kotlin.fir_data_flow;ir;kotlin.klib_metadata;kotlin.native_c_objc_interop;kotlin.native_backend_lowering;kotlin.wasm_backend_lowering;kotlin.expect_actual
nodes.expression,16.329621,kotlin.inline_function;kotlin.nonlocal_return;kotlin.crossinline_noinline;yield;cast_conversion;kotlin.when_exhaustiveness;closure_lambda;pattern;literal_null;kotlin.when_expression
effect.graph,12.112199,kotlin.contracts_dsl;mutation;kotlin.exception_throw_catch_finally;reflection;kotlin.calls_in_place_effect;kotlin.const_evaluation;allocation;random;kotlin.returns_implies_effect;io
purity,10.530010,kotlin.contracts_dsl;mutation;reflection;kotlin.calls_in_place_effect;kotlin.const_evaluation;allocation;random;kotlin.returns_implies_effect;io;filesystem
effects.control,9.629414,exception_try;kotlin.exception_throw_catch_finally;throw_raise;defer_cleanup;kotlin.when_exhaustiveness;kotlin.when_expression;kotlin.try_expression;foreach_iteration;kotlin.labeled_control_flow;goto_label
concurrency.model,8.487454,kotlin.suspend_resume;kotlin.coroutine_suspension_points;atomic;task_async;thread;kotlin.continuation_state_machine;kotlin.suspend_lambda;lock_mutex;channel;memory_model
synchronization,8.487454,kotlin.suspend_resume;kotlin.coroutine_suspension_points;atomic;task_async;thread;kotlin.continuation_state_machine;kotlin.suspend_lambda;lock_mutex;channel;memory_model
ownership.lifetime,7.736151,abi_calling_convention;ffi;unsafe;kotlin.jvm_boxing_unboxing;layout_alignment;manual_memory;kotlin.jvm_signature_mangling;gc;ownership
capture.shadowing,7.106872,kotlin.inline_function;scope;capture;kotlin.nonlocal_return;kotlin.crossinline_noinline;name_resolution;shadowing;symbol_table;lifetime
memory.ordering,4.684184,atomic;task_async;thread;lock_mutex;channel;memory_model
