feature,family,importance,coverage,base_gap,evidence_files,dominant_source_groups,detection_terms
kotlin.smart_cast,nullability_flow,0.868368,0.081400,0.797683,1079,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi,smartcast;smart cast
kotlin.null_safety_flow,nullability_flow,0.829032,0.093500,0.751517,615,behavior_tests;tools_build;interop_abi;plugins_extensions,nullability;null safety;nullcheck
kotlin.annotation_use_site,declarations_objects,0.806389,0.080700,0.741313,3261,behavior_tests;plugins_extensions;core_types_descriptors;tools_build,use-site target;annotation target;annotation
kotlin.nullable_type,nullability_flow,0.847634,0.133400,0.734559,800,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi,nullable;nullabletype;? type
kotlin.contracts_dsl,compiletime_contracts,0.748026,0.039900,0.718180,593,behavior_tests;core_types_descriptors;stdlib_contract;compiler_frontend_core,contract;contracts dsl;kotlin.contracts
kotlin.callable_reference,calls_resolution,0.800637,0.120200,0.704401,1303,behavior_tests;ir_codegen_backends;plugins_extensions;compiler_frontend_core,callable reference;callablereference;property reference
kotlin.reified_type_parameter,types_inference_generics,0.743937,0.083400,0.681893,370,behavior_tests;ir_codegen_backends;plugins_extensions;compiler_frontend_core,reified;reified type
kotlin.safe_call,nullability_flow,0.737066,0.081400,0.677068,206,behavior_tests;ir_codegen_backends;interop_abi;plugins_extensions,safecall;safe call;?.
kotlin.type_alias,types_inference_generics,0.731064,0.083400,0.670094,764,behavior_tests;interop_abi;core_types_descriptors;tools_build,typealias;type alias
kotlin.backing_field_accessor,declarations_objects,0.727163,0.080700,0.668481,505,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi,backing field;property accessor;getter;setter
kotlin.elvis_operator,nullability_flow,0.725543,0.081400,0.666483,196,behavior_tests;ir_codegen_backends;interop_abi;plugins_extensions,elvis;?:
kotlin.delegated_property,declarations_objects,0.722400,0.080700,0.664103,425,behavior_tests;tools_build;plugins_extensions,delegatedproperty;delegated property;providedelegate
kotlin.vararg_spread,calls_resolution,0.754796,0.120200,0.664070,560,behavior_tests;interop_abi;ir_codegen_backends;plugins_extensions,vararg;spread operator;spreadargument
