feature,normalized_importance,coverage_score,base_gap,dominant_source_groups
abi_calling_convention,0.795281,0.021000,0.778580,behavior_tests;interop_abi;core_types_descriptors;tools_build
allocation,0.646612,0.111000,0.574838,native_runtime;interop_abi;stdlib_contract;tools_build
array_list,0.282174,0.021000,0.276249,spec_docs;behavior_tests;ir_codegen_backends;other
array_type,0.504716,0.133000,0.437589,core_types_descriptors;native_runtime;behavior_tests;compiler_frontend_core
assignment,0.630647,0.469500,0.334558,behavior_tests;spec_docs;plugins_extensions;ir_codegen_backends
atomic,0.749854,0.079500,0.690240,plugins_extensions;stdlib_contract;native_runtime;behavior_tests
attribute_annotation,0.863189,0.021000,0.845062,behavior_tests;core_types_descriptors;plugins_extensions;tools_build
await,0.446605,0.021000,0.437226,interop_abi;behavior_tests;tools_build;ir_codegen_backends
binary_op,0.474409,0.577500,0.200438,behavior_tests;compiler_frontend_core;ir_codegen_backends;other
break,0.089666,0.483500,0.046312,ir_codegen_backends;spec_docs;other
bytecode_vm,0.581776,0.021000,0.569559,behavior_tests;spec_docs;plugins_extensions;tools_build
call,0.318542,0.577500,0.134584,interop_abi;spec_docs;behavior_tests;plugins_extensions
capture,0.643216,0.057000,0.606552,behavior_tests;core_types_descriptors;stdlib_contract;plugins_extensions
cast_conversion,0.655720,0.077000,0.605229,behavior_tests;stdlib_contract;spec_docs;compiler_frontend_core
channel,0.414124,0.021000,0.405428,behavior_tests;stdlib_contract;ir_codegen_backends;tools_build
class,0.941107,0.133000,0.815940,behavior_tests;plugins_extensions;ir_codegen_backends;interop_abi
closure_lambda,0.768689,0.266000,0.564218,behavior_tests;plugins_extensions;spec_docs;stdlib_contract
code_generation,0.812802,0.021000,0.795734,behavior_tests;compiler_frontend_core;plugins_extensions;spec_docs
compile_time_eval,0.609672,0.021000,0.596869,stdlib_contract;native_runtime;behavior_tests;spec_docs
comprehension,0.000000,0.021000,0.000000,
constant,0.806905,0.266000,0.592268,behavior_tests;core_types_descriptors;compiler_frontend_core;plugins_extensions
continue,0.000000,0.483500,0.000000,
defer_cleanup,0.651052,0.021000,0.637380,behavior_tests;stdlib_contract;ir_codegen_backends;tools_build
dynamic_dispatch,0.450637,0.079500,0.414811,compiler_frontend_core;native_runtime;interop_abi;behavior_tests
enum,0.731399,0.133000,0.634123,behavior_tests;tools_build;plugins_extensions;interop_abi
exception_try,0.845012,0.021000,0.827266,behavior_tests;stdlib_contract;native_runtime;spec_docs
ffi,0.795010,0.079500,0.731807,interop_abi;behavior_tests;stdlib_contract;native_runtime
filesystem,0.483834,0.111000,0.430129,compiler_frontend_core;stdlib_contract;tools_build;behavior_tests
for,0.175606,0.483500,0.090700,spec_docs;stdlib_contract;plugins_extensions;behavior_tests
foreach_iteration,0.777951,0.483500,0.401812,behavior_tests;stdlib_contract;interop_abi;native_runtime
function,0.913737,0.469500,0.484737,behavior_tests;plugins_extensions;compiler_frontend_core;stdlib_contract
function_type,0.711190,0.133000,0.616602,core_types_descriptors;behavior_tests;compiler_frontend_core;plugins_extensions
gc,0.478910,0.021000,0.468852,native_runtime;spec_docs;behavior_tests;plugins_extensions
generic,0.809732,0.133000,0.702038,behavior_tests;core_types_descriptors;plugins_extensions;spec_docs
generic_constraint,0.699428,0.133000,0.606404,behavior_tests;tools_build;spec_docs;compiler_frontend_core
global_state,0.273468,0.111000,0.243113,native_runtime;spec_docs;compiler_frontend_core;ir_codegen_backends
goto_label,0.330197,0.021000,0.323263,native_runtime;plugins_extensions;behavior_tests;tools_build
identifier,0.645187,0.547500,0.291947,behavior_tests;core_types_descriptors;tools_build;plugins_extensions
if,0.587078,0.483500,0.303226,behavior_tests;spec_docs;ir_codegen_backends;plugins_extensions
import,0.932510,0.021000,0.912927,behavior_tests;tools_build;plugins_extensions;core_types_descriptors
index,0.424390,0.577500,0.179305,native_runtime;interop_abi;stdlib_contract;other
interface_trait,0.863745,0.133000,0.748867,behavior_tests;interop_abi;ir_codegen_backends;native_runtime
io,0.494251,0.111000,0.439389,behavior_tests;interop_abi;native_runtime;tools_build
ir,0.772962,0.021000,0.756730,behavior_tests;plugins_extensions;tools_build;stdlib_contract
layout_alignment,0.612016,0.077000,0.564891,native_runtime;compiler_frontend_core;tools_build;plugins_extensions
lifetime,0.442030,0.113000,0.392080,compiler_frontend_core;behavior_tests;stdlib_contract;ir_codegen_backends
literal_boolean,0.886335,0.469500,0.470201,behavior_tests;stdlib_contract;plugins_extensions;compiler_frontend_core
literal_null,0.949777,0.469500,0.503856,behavior_tests;plugins_extensions;core_types_descriptors;stdlib_contract
literal_numeric,0.675438,0.469500,0.358320,behavior_tests;core_types_descriptors;other;plugins_extensions
literal_string,0.665765,0.469500,0.353188,behavior_tests;compiler_frontend_core;spec_docs;plugins_extensions
lock_mutex,0.519490,0.079500,0.478190,native_runtime;tools_build;behavior_tests;stdlib_contract
macro,0.485377,0.021000,0.475184,interop_abi;behavior_tests;other;tools_build
manual_memory,0.558393,0.021000,0.546667,native_runtime;stdlib_contract;tools_build;interop_abi
map_dict,0.443397,0.021000,0.434086,interop_abi;native_runtime;behavior_tests;other
map_type,0.386232,0.133000,0.334863,compiler_frontend_core;core_types_descriptors;plugins_extensions;behavior_tests
member_access,0.193406,0.266000,0.141960,tools_build;plugins_extensions;spec_docs;behavior_tests
memory_model,0.223721,0.021000,0.219022,native_runtime;stdlib_contract;compiler_frontend_core;core_types_descriptors
module,0.916542,0.021000,0.897295,behavior_tests;interop_abi;tools_build;core_types_descriptors
mutation,0.814000,0.079500,0.749287,behavior_tests;interop_abi;stdlib_contract;plugins_extensions
name_resolution,0.587127,0.099000,0.529001,core_types_descriptors;plugins_extensions;tools_build;behavior_tests
network,0.447983,0.111000,0.398257,tools_build;other;stdlib_contract;ir_codegen_backends
optimizer,0.594742,0.021000,0.582253,behavior_tests;compiler_frontend_core;spec_docs;core_types_descriptors
optional_nullable,0.860336,0.133000,0.745911,behavior_tests;interop_abi;core_types_descriptors;other
overload_resolution,0.676934,0.077000,0.624810,behavior_tests;stdlib_contract;interop_abi;spec_docs
ownership,0.454146,0.077000,0.419177,behavior_tests;stdlib_contract;compiler_frontend_core;native_runtime
parameter,0.913947,0.547500,0.413561,behavior_tests;core_types_descriptors;interop_abi;plugins_extensions
pattern,0.585252,0.021000,0.572961,stdlib_contract;behavior_tests;tools_build;plugins_extensions
pointer,0.447112,0.133000,0.387646,compiler_frontend_core;interop_abi;behavior_tests;native_runtime
primitive_bool,0.535622,0.147000,0.456886,behavior_tests;plugins_extensions;interop_abi;compiler_frontend_core
primitive_float,0.761204,0.147000,0.649307,behavior_tests;stdlib_contract;native_runtime;interop_abi
primitive_integer,0.724589,0.105000,0.648507,interop_abi;native_runtime;behavior_tests;compiler_frontend_core
primitive_string,0.568405,0.147000,0.484850,behavior_tests;plugins_extensions;ir_codegen_backends;spec_docs
random,0.592183,0.111000,0.526450,stdlib_contract;other;native_runtime;tools_build
reference,0.386946,0.133000,0.335482,compiler_frontend_core;behavior_tests;other;interop_abi
reflection,0.747668,0.079500,0.688229,behavior_tests;core_types_descriptors;plugins_extensions;stdlib_contract
return,0.257889,0.483500,0.133200,spec_docs;compiler_frontend_core;behavior_tests;plugins_extensions
scope,0.730320,0.099000,0.658018,behavior_tests;plugins_extensions;core_types_descriptors;compiler_frontend_core
set,0.023685,0.021000,0.023187,other
shadowing,0.474061,0.057000,0.447040,behavior_tests;spec_docs;plugins_extensions;stdlib_contract
slice,0.101478,0.021000,0.099347,compiler_frontend_core
struct,0.644221,0.133000,0.558539,native_runtime;behavior_tests;interop_abi;tools_build
subtyping,0.709068,0.077000,0.654470,behavior_tests;core_types_descriptors;interop_abi;plugins_extensions
switch_match,0.186250,0.021000,0.182339,other;spec_docs;plugins_extensions
symbol_table,0.444893,0.099000,0.400849,compiler_frontend_core;native_runtime;plugins_extensions;spec_docs
task_async,0.730381,0.079500,0.672316,tools_build;interop_abi;native_runtime;behavior_tests
thread,0.692790,0.079500,0.637713,native_runtime;behavior_tests;compiler_frontend_core;stdlib_contract
throw_raise,0.748184,0.079500,0.688703,behavior_tests;stdlib_contract;core_types_descriptors;native_runtime
time,0.482575,0.111000,0.429009,native_runtime;stdlib_contract;behavior_tests;plugins_extensions
tuple,0.419003,0.021000,0.410204,native_runtime;behavior_tests;interop_abi;stdlib_contract
tuple_type,0.225510,0.133000,0.195517,interop_abi
type_inference,0.541472,0.077000,0.499779,core_types_descriptors;spec_docs;behavior_tests;compiler_frontend_core
unary_op,0.418973,0.577500,0.177016,behavior_tests;ir_codegen_backends;other;core_types_descriptors
union_sum,0.296993,0.133000,0.257493,tools_build;core_types_descriptors;spec_docs;ir_codegen_backends
unsafe,0.728666,0.021000,0.713364,interop_abi;behavior_tests;stdlib_contract;plugins_extensions
variable,0.871896,0.344000,0.571964,behavior_tests;interop_abi;plugins_extensions;native_runtime
visibility,0.983756,0.021000,0.963097,behavior_tests;plugins_extensions;interop_abi;stdlib_contract
while,0.103727,0.483500,0.053575,plugins_extensions;ir_codegen_backends;other
yield,0.632762,0.021000,0.619474,compiler_frontend_core;plugins_extensions;interop_abi;stdlib_contract
