feature,nullability_flow,types_inference_generics,declarations_objects,calls_resolution,control_patterns,closures_inline,exceptions_cleanup,coroutines_concurrency,multiplatform_interop,memory_abi,compiletime_contracts,ir_backends,collections_iteration,core_runtime_effects
abi_calling_convention,0,0,0,1,0,0,0,0,0,0,0,0,0,0
allocation,0,0,0,0,0,0,0,0,0,0,0,0,0,1
array_list,0,0,0,0,0,0,0,0,0,0,0,0,1,0
array_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
assignment,0,0,0,0,0,0,0,0,0,0,0,0,0,1
atomic,0,0,0,0,0,0,0,1,0,0,0,0,0,0
attribute_annotation,0,0,1,0,0,0,0,0,0,0,0,0,0,0
await,0,0,0,0,0,0,0,1,0,0,0,0,0,0
binary_op,0,0,0,0,0,0,0,0,0,0,0,0,0,1
break,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bytecode_vm,0,0,0,0,0,0,0,0,0,0,1,0,0,0
call,0,0,0,1,0,0,0,0,0,0,0,0,0,0
capture,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cast_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,1
channel,0,0,0,0,0,0,0,1,0,0,0,0,0,0
class,0,0,1,0,0,0,0,0,0,0,0,0,0,0
closure_lambda,0,0,0,0,0,1,0,0,0,0,0,0,0,0
code_generation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
compile_time_eval,0,0,0,0,0,0,0,0,0,0,1,0,0,0
comprehension,0,0,0,0,0,0,0,0,0,0,0,0,0,1
constant,0,0,0,0,0,0,0,0,0,0,0,0,0,1
continue,0,0,0,0,1,0,0,0,0,0,0,0,0,0
defer_cleanup,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dynamic_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0
enum,0,0,1,0,0,0,0,0,0,0,0,0,0,0
exception_try,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ffi,0,0,0,0,0,0,0,0,0,1,0,0,0,0
filesystem,0,0,0,0,0,0,0,0,0,0,0,0,0,1
for,0,0,0,0,1,0,0,0,0,0,0,0,0,0
foreach_iteration,0,0,0,0,1,0,0,0,0,0,0,0,0,0
function,0,0,0,0,0,1,0,0,0,0,0,0,0,0
function_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gc,0,0,0,0,0,0,0,0,0,1,0,0,0,0
generic,0,1,0,0,0,0,0,0,0,0,0,0,0,0
generic_constraint,0,1,0,0,0,0,0,0,0,0,0,0,0,0
global_state,0,0,0,0,0,0,0,0,0,0,0,0,0,1
goto_label,0,0,0,0,1,0,0,0,0,0,0,0,0,0
identifier,0,0,0,0,1,0,0,0,0,0,0,0,0,0
if,0,0,0,0,1,0,0,0,0,0,0,0,0,0
import,0,0,1,0,0,0,0,0,0,0,0,0,0,0
index,0,0,0,0,0,0,0,0,0,0,0,0,1,0
interface_trait,0,0,1,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ir,0,0,0,0,0,0,0,0,0,0,1,0,0,0
layout_alignment,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lifetime,0,0,0,0,1,0,0,0,0,0,0,0,0,0
literal_boolean,0,0,0,0,0,0,0,0,0,0,0,0,0,1
literal_null,1,0,0,0,0,0,0,0,0,0,0,0,0,0
literal_numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,1
literal_string,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lock_mutex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
macro,0,0,0,0,0,0,0,0,0,0,1,0,0,0
manual_memory,0,0,0,0,0,0,0,0,0,1,0,0,0,0
map_dict,0,0,0,0,0,0,0,0,0,0,0,0,1,0
map_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
member_access,0,0,0,1,0,0,0,0,0,0,0,0,0,0
memory_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0
module,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mutation,0,0,0,0,0,0,0,0,0,0,0,0,0,1
name_resolution,0,0,0,1,0,0,0,0,0,0,0,0,0,0
network,0,0,0,0,0,0,0,0,0,0,0,0,0,1
optimizer,0,0,0,0,0,0,0,0,0,0,1,0,0,0
optional_nullable,1,0,0,0,0,0,0,0,0,0,0,0,0,0
overload_resolution,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ownership,0,0,0,0,0,0,0,0,0,1,0,0,0,0
parameter,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pattern,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pointer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
primitive_bool,0,1,0,0,0,0,0,0,0,0,0,0,0,0
primitive_float,0,1,0,0,0,0,0,0,0,0,0,0,0,0
primitive_integer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
primitive_string,0,1,0,0,0,0,0,0,0,0,0,0,0,0
random,0,0,0,0,0,0,0,0,0,0,0,0,0,1
reference,0,1,0,0,0,0,0,0,0,0,0,0,0,0
reflection,0,0,0,1,0,0,0,0,0,0,0,0,0,0
return,0,0,0,0,1,0,0,0,0,0,0,0,0,0
scope,0,0,0,0,0,0,0,0,0,0,0,0,0,1
set,0,0,0,0,0,0,0,0,0,0,0,0,1,0
shadowing,0,0,0,0,0,0,0,0,0,0,0,0,0,1
slice,0,0,0,0,0,0,0,0,0,0,0,0,1,0
struct,0,0,1,0,0,0,0,0,0,0,0,0,0,0
subtyping,0,1,0,0,0,0,0,0,0,0,0,0,0,0
switch_match,0,0,0,0,1,0,0,0,0,0,0,0,0,0
symbol_table,0,0,0,0,0,0,0,0,0,0,0,0,0,1
task_async,0,0,0,0,0,0,0,1,0,0,0,0,0,0
thread,0,0,0,0,0,0,0,1,0,0,0,0,0,0
throw_raise,0,0,0,0,0,0,1,0,0,0,0,0,0,0
