file,size_bytes,sha256
00_README_CODEX_MATRIX_FIRST.md,4947,f8f7223711dc58aafcad15e0768b328a5cdb54f5a0b294bd11890fdc142f77b2
01_source_trust_weight_matrix.csv,9123721,6f773fc9b19d949d849d4939a829f6889ab0f699ee3267ed7db18fbdf04109d1
02_weighted_file_feature_matrix.csv,21903805,53921b2f9fe995fbd3bf7c91d4c46cde8bd00154e226ec7fef4be8583d3cf1e2
03_generic_feature_trust_summary.csv,10202,e47f40de259f03b2d9b059ffb57e0ce11389faf85de3c1407c4f57fdae5f4404
04_current_sp_generic_coverage_dimension_matrix.csv,6615,af07653f5220a2e367fd66e4042b538951cfbf248329a06365ea878b9509592c
05_generic_feature_gap_vector.csv,9749,f8e3c6bae37bcfb929058f9b9374a8af0074723d12b24b28e3b89ae21ea07eb6
06_kotlin_specific_feature_source_matrix.csv,7202,dae37890e751fcb71f3936011249abbbb0da18f75b225186eebe8599c5361e48
07_kotlin_specific_source_weight_vector.csv,595,20b771178d06ea0e1791b38ab8f0e240cfc3c74b95c058dbbfb6ab8a7252d87a
08_kotlin_specific_semanticprogram_projection_matrix.csv,6743,61dcc56fdbb92188a3667ec8f17c85ce3cba3cbac0fe40c88c8310486711fa9b
09_kotlin_specific_sp_coverage_dimension_matrix.csv,6854,b2ba2aae2452af7f62d8947dcd8f9cf8c70f884be06abd60653eb46e8eb56055
10_kotlin_specific_gap_vector.csv,10282,497e9855dc82ccbe7e022d84e04b8f1b10e18ac65234fd5cd42a8ac7b5a5a9c4
11_combined_feature_family_projection_matrix.csv,8710,3cd795b32127a41701e34c63bb2759d0a77bc7c143c63f27fd9536b1d8ddc0a7
12_combined_feature_coupling_matrix.csv,265818,39efa09d826810553c7c07520811aa5714c7d8d310e97d65583f8491a4f77600
13_gap_propagation_operator.csv,298218,eaceb9f07b64accb4bbc7eb01238c280ef0f81888ea35ac2d73e5cef1278a747
14_semanticprogram_axis_gap_vector.csv,5490,1ad85f3249af8180d2ff70eee1ab0acac78d879d1424f8002712a27fd5f74702
15_matrix_derived_clusters.csv,4996,040a3c80596bcf08d2c5f965d2dbf39e873eceae5dcc8302970167d5353f00f9
16_codex_cluster_implementation_matrix.csv,12902,39b36db1cf2d71e2e05a7485d37373929e2bbae74f9abe4a7a239eb9bb7763b5
17_kotlin_frontend_fir_gap_matrix.csv,9334,481c33bb1262c770eadb843a2798c0dace8e877b790fe9e19e7d43132c376806
18_kotlin_ir_backend_gap_matrix.csv,3416,cfa3d1e1d5d2dd8cb0dd0acd3b3d7b6667661d6ccde87f48ee42ddcca4b907f4
19_detector_fix_matrix.csv,1768,ddd358e1ca7a466bc7768eea4330770fa10e16f7711fd7b9097a3a2ac367b91b
20_collector_kotlin_ontology_extension_matrix.csv,20313,51d53464d937a00ab0d4ddfd86a5a28cd0de4289e4df2a312f7f0ee2d88c3c04
21_kotlin_behavior_test_evidence_matrix.csv,6166,4ca3cf46fdb5f08c25a1b618296ce4be0e8ad37d770870de1ca08d18ee8bb15b
22_scan_source_balance_matrix.csv,663,50568bd3f1e886b0fdf417891c4bf24614a22601ed4753fd94de724782267ee8
90_original_language_matrix_kotlin.zip,3229402,fa97e5273162d6306ddb424d1b1e792e51724b828e4782b6df49017e39d77083
