case_id,source_language,input_kind,status,input_bytes,uast_hash,diagnostic
88f472ad047ee8bd033bc287de7d32dfa68b73a2e531f57e06007482c5eb6102,csharp,assembly,FAIL,358,,"binary frontend: semantic lifting unavailable for instruction ""push"""
88f472ad047ee8bd033bc287de7d32dfa68b73a2e531f57e06007482c5eb6102,csharp,machine_code,FAIL,69,,"binary frontend: semantic lifting unavailable for instruction ""push"""
88f472ad047ee8bd033bc287de7d32dfa68b73a2e531f57e06007482c5eb6102,csharp,object,FAIL,164,,"binary frontend: semantic lifting unavailable for instruction ""push"""
88f472ad047ee8bd033bc287de7d32dfa68b73a2e531f57e06007482c5eb6102,csharp,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
b53f85bb21b8e0521a0e22dd28d9a55e71d2bf0c7e947653a809b57cf8427652,csharp,assembly,FAIL,425,,"binary frontend: semantic lifting unavailable for instruction ""push"""
b53f85bb21b8e0521a0e22dd28d9a55e71d2bf0c7e947653a809b57cf8427652,csharp,machine_code,FAIL,86,,"binary frontend: semantic lifting unavailable for instruction ""push"""
b53f85bb21b8e0521a0e22dd28d9a55e71d2bf0c7e947653a809b57cf8427652,csharp,object,FAIL,181,,"binary frontend: semantic lifting unavailable for instruction ""push"""
b53f85bb21b8e0521a0e22dd28d9a55e71d2bf0c7e947653a809b57cf8427652,csharp,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
41b5e3bbd04225e4331a6d3371c5b1a1da9e2274e56f5d259ad5d242fd0b8bf7,csharp,assembly,FAIL,559,,"binary frontend: semantic lifting unavailable for instruction ""push"""
41b5e3bbd04225e4331a6d3371c5b1a1da9e2274e56f5d259ad5d242fd0b8bf7,csharp,machine_code,FAIL,114,,"binary frontend: semantic lifting unavailable for instruction ""push"""
41b5e3bbd04225e4331a6d3371c5b1a1da9e2274e56f5d259ad5d242fd0b8bf7,csharp,object,FAIL,209,,"binary frontend: semantic lifting unavailable for instruction ""push"""
41b5e3bbd04225e4331a6d3371c5b1a1da9e2274e56f5d259ad5d242fd0b8bf7,csharp,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
5d6ea951ab0a93b5f9de156b7b00611b5cdfb2944901c6ac37d4ee862b44307d,csharp,assembly,FAIL,392,,"binary frontend: semantic lifting unavailable for instruction ""push"""
5d6ea951ab0a93b5f9de156b7b00611b5cdfb2944901c6ac37d4ee862b44307d,csharp,machine_code,FAIL,76,,"binary frontend: semantic lifting unavailable for instruction ""push"""
5d6ea951ab0a93b5f9de156b7b00611b5cdfb2944901c6ac37d4ee862b44307d,csharp,object,FAIL,171,,"binary frontend: semantic lifting unavailable for instruction ""push"""
5d6ea951ab0a93b5f9de156b7b00611b5cdfb2944901c6ac37d4ee862b44307d,csharp,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
e0d72d9ff4d40c02ad8f6ce64c8fea53c1da53738383ed12785fdc56bc33a965,csharp,assembly,FAIL,392,,"binary frontend: semantic lifting unavailable for instruction ""push"""
e0d72d9ff4d40c02ad8f6ce64c8fea53c1da53738383ed12785fdc56bc33a965,csharp,machine_code,FAIL,76,,"binary frontend: semantic lifting unavailable for instruction ""push"""
