case_id,source_language,input_kind,status,input_bytes,uast_hash,diagnostic
1eaddc2c4f4ea92bebb5dba90ca7b2bbdad8c66a466a600aa1f324e63939a97c,kotlin,assembly,FAIL,335,,"binary frontend: semantic lifting unavailable for instruction ""push"""
1eaddc2c4f4ea92bebb5dba90ca7b2bbdad8c66a466a600aa1f324e63939a97c,kotlin,machine_code,FAIL,70,,"binary frontend: semantic lifting unavailable for instruction ""push"""
1eaddc2c4f4ea92bebb5dba90ca7b2bbdad8c66a466a600aa1f324e63939a97c,kotlin,object,FAIL,165,,"binary frontend: semantic lifting unavailable for instruction ""push"""
1eaddc2c4f4ea92bebb5dba90ca7b2bbdad8c66a466a600aa1f324e63939a97c,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
bca89159ea572040889a61d59e66646a11e1aa99017b58b4b7b309f9c55d67e1,kotlin,assembly,FAIL,301,,"binary frontend: semantic lifting unavailable for instruction ""push"""
bca89159ea572040889a61d59e66646a11e1aa99017b58b4b7b309f9c55d67e1,kotlin,machine_code,FAIL,63,,"binary frontend: semantic lifting unavailable for instruction ""push"""
bca89159ea572040889a61d59e66646a11e1aa99017b58b4b7b309f9c55d67e1,kotlin,object,FAIL,158,,"binary frontend: semantic lifting unavailable for instruction ""push"""
bca89159ea572040889a61d59e66646a11e1aa99017b58b4b7b309f9c55d67e1,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4dbc8bf91751796a492603814ea0e7ef9b03401f67024249b0ef7f0af99e6e60,kotlin,assembly,FAIL,358,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4dbc8bf91751796a492603814ea0e7ef9b03401f67024249b0ef7f0af99e6e60,kotlin,machine_code,FAIL,69,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4dbc8bf91751796a492603814ea0e7ef9b03401f67024249b0ef7f0af99e6e60,kotlin,object,FAIL,164,,"binary frontend: semantic lifting unavailable for instruction ""push"""
4dbc8bf91751796a492603814ea0e7ef9b03401f67024249b0ef7f0af99e6e60,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
58ee8730fdd132fc9fa8bca60319eab373f4ac483db6986078a6a5624a22ffc9,kotlin,assembly,FAIL,358,,"binary frontend: semantic lifting unavailable for instruction ""push"""
58ee8730fdd132fc9fa8bca60319eab373f4ac483db6986078a6a5624a22ffc9,kotlin,machine_code,FAIL,69,,"binary frontend: semantic lifting unavailable for instruction ""push"""
58ee8730fdd132fc9fa8bca60319eab373f4ac483db6986078a6a5624a22ffc9,kotlin,object,FAIL,164,,"binary frontend: semantic lifting unavailable for instruction ""push"""
58ee8730fdd132fc9fa8bca60319eab373f4ac483db6986078a6a5624a22ffc9,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
393ba82120dbb6353a9a68f124dc03307616536b44c698cb408b6b234f568b15,kotlin,assembly,FAIL,380,,"binary frontend: semantic lifting unavailable for instruction ""push"""
393ba82120dbb6353a9a68f124dc03307616536b44c698cb408b6b234f568b15,kotlin,machine_code,FAIL,81,,"binary frontend: semantic lifting unavailable for instruction ""push"""
393ba82120dbb6353a9a68f124dc03307616536b44c698cb408b6b234f568b15,kotlin,object,FAIL,176,,"binary frontend: semantic lifting unavailable for instruction ""push"""
393ba82120dbb6353a9a68f124dc03307616536b44c698cb408b6b234f568b15,kotlin,executable,FAIL,2048,,"binary frontend: semantic lifting unavailable for instruction ""push"""
