family_id,failure_id,case_id,source_language,target,kind,stage,class
Q0001,72b2691c5fa81d10bb250f858080957b61018da95fcd0078181c135558f91474,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,f158a162cae1217897cc09d2cac8923e2f00ec708f54755b5c642247f5474892,1bbdf9aa65eaf971eba16b71ed1d50cdf60d6510225f0197c3a868dc63ea51b3,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,ab93aaad355a8afd99a589c4c9e5349d82f51f01ae0853573cf4f2819a2c8431,3d5a8c128b6a8ef845a6a11569d52e14bda01184ccda68e3d00b0916e1ea5e03,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,1b05732587a8e4f34fab05507a56a474196ca135f68acf3b969960942e8df3c0,fd76daed5ef1b026d5a48f3920e3e1ae46fe1d6739c8c0932f50530a12651b81,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,9428ef940c24a6b12ea4d4c50273e802e328aac9dfa23c3c46bfee093ea6c732,5ac4e3494be8f03dfe199b086f15ec2c097098790a82517494254cb4b2efa530,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,376b8f7b2b9d7ad609fcdae17284f93dfb76d3ee4526d30a400976cf01165276,ab51093cbbba0f3b07d9d5283a67d8c17b00ef0df0653d56ce54faaf367bdd55,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,1128334eeedb32b221893c0b4fdc9387f58698957d929483a983772c0baa0c04,061cd8b119c60e2e23383fb6157d3ec4a65f3f73d75dd7e824ab450c101027a4,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,107b2cf78e86cd9007f141c917fa8ca56c81c71f71fa266cee9daf9594ee882d,2483047e793fa67a8e5d815a510fadb9ec26783cb6edcfd50f1a91ce7f50d246,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,7f884cc5a59c080a3ecbb03b7955fed87a880c3eb4e64698f7e703075bb7cb9f,f2e42a8c27837bc43fcdba4832525a9182b252596b1f1464d0ffd22a720bc14f,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,0ff0f0cb1df5cca1c1310770ac50276136765d4d4f756f051d6080e810ee4d6e,dc8b502a2b967edc132b8bfb035ab04f79abaec589f9ec8a6ab667a327ad9bf9,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,704480640e956436885462fa75c2f859101e266e036c94eddc206bdc4ad8d424,995be36d1c65470f75d64b1b90ba620be3ef2c92336b8708b0e5e9d6d096dbcc,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,9665cf8093986192605ef91a5d5cd18a5eb7a9512c0a7b02d4cfc68f23dfda2a,4d03704823d015116aaa74f6800c0641e1972fa6b855f4c6ed896b6f097a4203,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,52afbf0d856b7f60d9240bf99d5ee798b4152d57016a4390f3fa8c32c8e9efe1,348cf3ea38d555ff3c6b61695e74f3599a216fc0bc1e37534c88f465e5b5c2e8,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,dda9b1fb108c64cbd2edf6681f36dee99d77328fe6d3f7317b4d00c5baa8d110,4a28c90f3e947a9003b3d1bc1d5a4318e04f7c020732f714ee46ca03a44ebcf6,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,2c652d87cf5eb73d5f9e386e312e89bd77cc0266d1b4b9605531ec4ca1de05d8,a35ceb7274a1f61c3d037a4ffdca4e3f0d994a719669b67be9d115786008fe8b,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,0c73d2350a272962af229f3a50ed4e8720d35b8dc8eb7742bfbf513e665eaafc,112236a37bba911fabfbb151c809d54679ffc3fef06aa6733acd64f54c3bba01,r,,native,N0_SOURCE_PARSE,FRONTEND
Q0001,edc9e882f7cffc9a7e6026b73550218684a047f2d4b72a8f3106bbb86ba3f587,11d5f2282276ecca0f11aad2f178851953385d88201143f7e653b703e76ae37a,r,,native,N0_SOURCE_PARSE,FRONTEND
