language,external_symbol,external_symbol_id
r,ts_external_token__start,0
r,ts_external_token__newline,1
r,ts_external_token__semicolon,2
r,ts_external_token__raw_string_open,3
r,ts_external_token__raw_string_content,4
r,ts_external_token__raw_string_close,5
r,ts_external_token__external_else,6
r,ts_external_token__external_open_parenthesis,7
r,ts_external_token__external_close_parenthesis,8
r,ts_external_token__external_open_brace,9
r,ts_external_token__external_close_brace,10
r,ts_external_token__external_open_bracket,11
r,ts_external_token__external_close_bracket,12
r,ts_external_token__external_open_bracket2,13
r,ts_external_token__external_close_bracket2,14
r,ts_external_token__error_sentinel,15
rust,ts_external_token_string_content,0
rust,ts_external_token_string_close,1
rust,ts_external_token__raw_string_literal_start,2
rust,ts_external_token_raw_string_literal_content,3
rust,ts_external_token__raw_string_literal_end,4
rust,ts_external_token_float_literal,5
rust,ts_external_token__outer_block_doc_comment_marker,6
rust,ts_external_token__inner_block_doc_comment_marker,7
rust,ts_external_token__block_comment_content,8
rust,ts_external_token__line_doc_content,9
rust,ts_external_token__error_sentinel,10
cpp,ts_external_token_raw_string_delimiter,0
cpp,ts_external_token_raw_string_content,1
python,ts_external_token__newline,0
python,ts_external_token__indent,1
python,ts_external_token__dedent,2
python,ts_external_token_string_start,3
python,ts_external_token__string_content,4
python,ts_external_token_escape_interpolation,5
python,ts_external_token_string_end,6
python,ts_external_token_comment,7
python,ts_external_token_RBRACK,8
python,ts_external_token_RPAREN,9
python,ts_external_token_RBRACE,10
python,ts_external_token_except,11
julia,ts_external_token__block_comment_rest,0
julia,ts_external_token__immediate_paren,1
julia,ts_external_token__immediate_bracket,2
julia,ts_external_token__immediate_brace,3
julia,ts_external_token__immediate_string_start,4
julia,ts_external_token__immediate_command_start,5
julia,ts_external_token__content_cmd_1,6
julia,ts_external_token__content_cmd_1_raw,7
julia,ts_external_token__content_cmd_3,8
julia,ts_external_token__content_cmd_3_raw,9
julia,ts_external_token__content_str_1,10
julia,ts_external_token__content_str_1_raw,11
julia,ts_external_token__content_str_3,12
julia,ts_external_token__content_str_3_raw,13
julia,ts_external_token__end_cmd,14
julia,ts_external_token__end_str,15
nim,ts_external_token__block_comment_content,0
nim,ts_external_token__block_documentation_comment_content,1
nim,ts_external_token_comment_content,2
nim,ts_external_token__long_string_quote,3
nim,ts_external_token__layout_start,4
nim,ts_external_token__layout_end,5
nim,ts_external_token__layout_terminator,6
nim,ts_external_token__layout_empty,7
nim,ts_external_token__inhibit_layout_end,8
nim,ts_external_token__inhibit_keyword_termination,9
nim,ts_external_token_COMMA,10
nim,ts_external_token__synchronize,11
nim,ts_external_token__invalid_layout,12
nim,ts_external_token__sigil_operator,13
nim,ts_external_token__prefix_operator,14
nim,ts_external_token__want_export_marker,15
nim,ts_external_token__case_of,16
csharp,ts_external_token__optional_semi,0
csharp,ts_external_token_interpolation_regular_start,1
csharp,ts_external_token_interpolation_verbatim_start,2
csharp,ts_external_token_interpolation_raw_start,3
csharp,ts_external_token_interpolation_start_quote,4
csharp,ts_external_token_interpolation_end_quote,5
csharp,ts_external_token_interpolation_open_brace,6
csharp,ts_external_token_interpolation_close_brace,7
csharp,ts_external_token_interpolation_string_content,8
csharp,ts_external_token_raw_string_start,9
csharp,ts_external_token_raw_string_end,10
csharp,ts_external_token_raw_string_content,11
csharp,ts_external_token__lambda_paren_open,12
kotlin,ts_external_token__automatic_semicolon,0
kotlin,ts_external_token_multiline_comment,1
kotlin,ts_external_token__string_start,2
kotlin,ts_external_token__string_end,3
kotlin,ts_external_token_string_content,4
kotlin,ts_external_token__primary_constructor_keyword,5
kotlin,ts_external_token__import_dot,6
kotlin,ts_external_token__interpolation_expression_start,7
kotlin,ts_external_token__interpolation_identifier_start,8
kotlin,ts_external_token__by_delegation_hint,9
