file,sha256,size_bytes
README.md,4299dbd79818429e3dc942a59d6a9730e3abdbfdc7ca657c4986359da82d472c,1724
external_semantic_models.csv,fda9bfddcc12505526eb40e1c4a08f7cfd241c0358b1a0965c03f6a88518d350,2561
language_semantic_profile.csv,2de9b85a81aa97f04acebfb8dc31fca3725c74c006fb4afdcdb1c2144ead1690,18879
matrix_summary.json,12b674037adf2d6a4401ee1b10a78e8ec73e5771142eaa3e009e33af06f9e31b,507
semantic_atom_dictionary.csv,91069b5e3b40addfb341b4d99399b97fe97a52cc844d5f32df6364ba9845637c,4072
semantic_atom_known.csv,e2caab10bbe1e7e33b646ec0ea7db14111dc346d8e5203ab8cf139fac5c4cf68,2766
semantic_atom_status.csv,425da3fd0a19efff65f8d9318f01728b8350ef00a9d7611d9c726c41df7802fa,6870
semantic_atom_value.csv,d0fd25354ce9222697ed2ebee63e3af8b0a4f4524bbe360de7ed075e1a2e401b,2766
semantic_evidence_long.csv,1bf4bc79dcfcbc0fcdecf5674689fe2a76a735e70012a4bce191347506af2eab,92963
semantic_language_matrix_13.xlsx,e8aa46260c424d8585f0ab2689f891b6f98010b6e1b454df5b0618078ba29686,54865
source_catalog.csv,fb3b916151a33aa14add603edc1f1ab465d211f4eda9f72e53b695fb687315b6,8226
