language_id,language_name,typing_discipline,type_identity_and_subtyping,type_inference,null_absence_model,value_reference_model,parameter_passing,scoping,evaluation_order,dispatch_model,generics_parametric,pattern_matching,error_exception_model,cleanup_resource_model,memory_management,ownership_aliasing,lifetime_model,concurrency_model,async_coroutine_model,atomics_memory_model,metaprogramming,reflection_introspection,module_namespace_model,ffi_model,object_model,sum_variant_model,operator_overloading,lazy_evaluation,undefined_unspecified_behavior,iteration_generator_model,numeric_overflow_model
c,C,static,nominal tags + standardized compatibility rules,limited; C23 adds more inference facilities,null pointer; no type-level null safety,values plus explicit pointers,by value; pointers model indirect mutation,lexical/block/file scope,partially ordered; many operand orders unspecified/indeterminately sequenced,static calls + function pointers,no parametric generics; _Generic selection,"switch only, no general structural patterns",no language exceptions; return codes/errno/setjmp-style mechanisms,manual cleanup,manual allocation/free,unrestricted pointer aliasing with qualifiers such as restrict,storage duration/lifetime rules in standard,C threads/atomics library and abstract-machine memory model,no async/await,C atomics + happens-before/ordering,preprocessor macros,very limited runtime reflection,"translation units, linkage, headers",native C ABI / foreign interfaces,struct/union/enum; no class inheritance,union/enum can encode variants but no native algebraic tagged union,no,strict eager evaluation except special sequencing operators,extensive undefined/unspecified/implementation-defined behavior,no language iterator/generator protocol,unsigned wrap; signed overflow can be undefined
cpp,C++,static,nominal class/type identity + templates/concepts,auto/decltype/template deduction,null pointers; no universal type-level null safety,"value, pointer and reference semantics",by value or explicit reference,lexical/block/namespace/class scope,sequencing is specified in many contexts but some operand/argument ordering remains unspecified,overload resolution + static dispatch + virtual single-receiver dynamic dispatch,templates/concepts; compile-time parametric polymorphism,no general language pattern matching in current core model,exceptions with stack unwinding,RAII/destructors; scope-based cleanup,manual + RAII/smart-pointer library patterns,references/pointers; ownership mostly conventional/library-based,object lifetime + deterministic destructors,"standard threads, locks, atomics",coroutines/co_await,formal C++ memory model and atomics,preprocessor + templates + constexpr/consteval,RTTI; reflection capabilities are version-dependent/limited,namespaces + modules + translation units,native ABI/C interop and extern linkage,"classes, inheritance, virtual methods, structs/unions",union; std::variant is library-level tagged sum,yes,eager by default,extensive undefined/unspecified behavior,iterators are library protocol; coroutines are language-level,unsigned wrap; signed overflow undefined
csharp,C#,static with explicit dynamic-binding feature,nominal; distinct value and reference types,local/general type inference in defined contexts,nullable value types + nullable reference analysis,explicit value types and reference types,by value by default; ref/out/in forms,lexical/block/type/namespace scope,left-to-right expression/argument evaluation in specified constructs,overload resolution + virtual/interface single-receiver dynamic dispatch,reified .NET generics,rich type/property/list/relational patterns,exceptions; generally unchecked,"try/finally, using, await using",managed GC; stack/ref-struct/unsafe regions also exist,managed references; ref semantics available,managed object lifetime; IDisposable gives explicit resource lifetime,threads/tasks/locks; async ecosystem,async/await + async iterators,volatile/lock/interlocked + CLR memory semantics,attributes/expression trees; source generators are tooling,strong runtime reflection,namespaces + assemblies,"P/Invoke, unmanaged function pointers, COM interop","classes, structs, records, interfaces, delegates",no native algebraic DU; enums/sealed hierarchies approximate,yes,eager by default,safe managed code highly defined; unsafe code can escape guarantees,IEnumerable/yield + async streams,default integral overflow context is unchecked except constants; checked contexts available
go,Go,static,named types + structural interface satisfaction,short declaration/generic inference,nil for pointers/interfaces/maps/slices/channels/functions; no type-level null safety,values plus pointers/interfaces,by value; pointers share mutable storage,lexical/block/package scope,calls/method calls/receives/logical operations have lexical left-to-right constraints; some operand order remains unspecified,static calls + structural interface dynamic dispatch,type parameters with interface constraints,no general pattern matching,explicit error values; panic/defer/recover for exceptional control,defer,garbage collected,pointers without pointer arithmetic; interface/reference-like descriptors,GC-managed lifetime plus lexical variables,"goroutines, channels, sync primitives",no async/await; concurrency via goroutines,official Go memory model + atomics,no macros; go:generate/tooling and reflection instead,runtime reflect package,packages + modules,cgo / syscall / plugin mechanisms,structs + interfaces; embedding rather than inheritance,no native algebraic tagged union; interfaces/type sets model alternatives,no,eager by default,unsafe/races weaken guarantees but no C-style pervasive UB model,range iteration; modern range-over-function iterator convention,integer overflow is defined by integer representation; compiler may not assume it cannot occur
java,Java,static,nominal classes/interfaces,local/generic inference,null reference; no general type-level null safety,primitive values + object references,always by value (including reference values),lexical/block/class/module scope,left-to-right operand and argument evaluation,overload resolution + virtual/interface single-receiver dispatch,erased generics with bounded type variables,instanceof/switch patterns and records/sealed types,checked and unchecked exceptions,try/finally + try-with-resources,garbage collected JVM objects,references; no ownership/borrow checker,GC-managed object lifetime; finalization is not deterministic resource management,"threads, synchronized, monitors",no language async/await; concurrency APIs/virtual threads are library/runtime features,Java Memory Model + volatile/final/synchronization semantics,annotations/processors; no core macros,runtime reflection,packages + modules,JNI / foreign-function APIs outside core language,classes/interfaces/records/enums/sealed hierarchies,sealed hierarchies + enums approximate sums; no native algebraic DU,no general user operator overloading,eager by default,safe Java avoids C-style UB; behavior constrained by JLS/JMM,Iterable/Iterator enhanced-for; no language generators,integer overflow wraps in two's-complement arithmetic
julia,Julia,dynamic,nominative + parametric type hierarchy,compiler performs aggressive inference; annotations optional,nothing/missing are ordinary values/types rather than universal nullability,bindings to values; mutable vs immutable types,pass-by-sharing,lexical local/global scopes,not summarized here as a universal left-to-right guarantee; use construct-specific rules,multiple dispatch on argument-type tuples,parametric types and methods,no built-in general match construct,exceptions,try/finally; do-block resource idioms,garbage collected,mutable values can be shared/aliased; immutable values value-like,GC-managed objects; finalizers exist,"Tasks, Channels, threads",Tasks/@async and cooperative suspension; not async/await syntax,"atomics/threading facilities exist, but detailed model is implementation/reference specific","AST macros, quoting, generated functions",strong runtime introspection/reflection,modules + imports,ccall/@ccall and C/Fortran interoperability,abstract/concrete types; no class-owned-method model,Union types model alternatives; no dedicated algebraic data declaration,operators are generic functions and thus overloadable,eager generally; selected defaults/generated constructs are conditional,far less UB-oriented than C/C++; low-level unsafe/ccall code can escape guarantees,iteration protocol + Tasks/Channels,fixed-width integer arithmetic can overflow/wrap according to primitive operation semantics; checked arithmetic available separately
kotlin,Kotlin,static with flow/gradual elements,nominal subtyping + mixed-site variance,local/bidirectional inference,explicit nullable vs non-nullable types,values/objects on target platform; primitive representation is platform-dependent,arguments are values; references are object values,lexical scope + receivers,function arguments evaluated left-to-right at call site; defaults after supplied arguments,overload resolution + virtual single-receiver dispatch + extensions,bounded parametric polymorphism,when/type checks/destructuring provide pattern-like control,exceptions are unchecked in Kotlin/Core,try/finally; use is library idiom,platform-dependent managed memory,object references; no ownership borrow checker in Kotlin/Core,platform-dependent,platform-dependent threads; coroutines are language/library ecosystem,suspend functions/coroutines (no await keyword),platform-dependent memory model/atomics,no general core macro system,runtime reflection is platform-specific,packages + modules,platform-specific interop (JVM/Native/JS),"classes, objects, interfaces, data classes, sealed hierarchies",sealed classes/interfaces approximate closed sums,operator conventions map syntax to functions,eager by default,platform-dependent low-level behavior; core spec avoids C-style UB,Iterable/Sequence + coroutine-based flows,"platform-specific primitive overflow behavior, commonly wrapping for Int/Long"
nim,Nim,static,nominal object/enum types plus structural concepts/generic constraints,strong local/generic inference,nil references/pointers; no universal null-safe type system,value types plus ref/ptr types,by value by default; var parameters provide reference semantics,lexical scope,"strict left-to-right, inside-out after normalization/template expansion",overloading + methods for dynamic dispatch,generics + concepts,case/variant objects; macros can extend case semantics,exceptions with effect/exception tracking,try/finally + defer,ORC default in Nim 2.x; ARC/GC/manual strategies available,move semantics and destructors under ARC/ORC; refs/pointers available,deterministic destructors/moves in ARC/ORC model,threads + async libraries,async is macro/library-driven rather than a primitive async/await core syntax,atomic/thread support exists; detailed behavior depends on runtime/backend,templates + AST macros + compile-time execution,compile-time reflection and some runtime type info,modules/imports,importc/exportc and C/C++/ObjC interop,"objects, inheritance, distinct types, concepts",variant objects/enums,yes,eager after macro/template normalization,low-level ptr/backend interactions can inherit target-language hazards,inline/closure/first-class iterators,overflow checks depend on compiler/runtime options
python,Python,dynamic,runtime nominal classes plus duck typing/structural behavior,runtime typing; static annotations are optional metadata for external checkers,None is ordinary singleton; no runtime type-level null safety,object references with immutable/mutable object behavior,pass-by-sharing/object-sharing,lexical scopes with global/nonlocal rules,expressions evaluate left-to-right; assignment RHS before LHS,dynamic attribute/method dispatch; multiple inheritance/MRO,no runtime parametric generics; typing generics are annotation-level,structural pattern matching,exceptions,try/finally + with/context managers,implementation-managed memory (CPython RC + cyclic GC; language spec abstracts implementation),shared object references; no ownership checker,implementation-managed object lifetime; context managers handle resources,threads/processes/asyncio libraries; language has async constructs,"async/await, async generators",no language-wide user-visible atomics memory model in the reference,decorators/metaclasses/runtime code generation; no hygienic AST macro system,very strong runtime reflection/introspection,modules/packages/import system,C API/ctypes/cffi ecosystem,"classes, descriptors, metaclasses",no native algebraic DU; pattern matching works over classes/sequences/mappings,operator special methods,eager except generators and other explicit lazy constructs,safe language semantics largely avoid C-style UB; C extensions can escape,"iterators, generators, async generators","integers are arbitrary precision, so normal integer overflow does not occur"
r,R,dynamic,runtime object/class attributes; S3/S4 systems,runtime,NULL plus NA/NaN/missing-value conventions,objects with copy-on-modify behavior; environments are reference-like,lazy promises / call-by-need-like argument semantics,lexical environments + search path,construct-specific; function arguments are promises and may never be evaluated,S3/S4 generic dispatch; S4 can dispatch on multiple arguments,no core parametric generics,no general pattern matching,condition/exception system with stop/warning/handlers,on.exit + condition handlers,garbage collected,most values copy-on-modify; environments are not copied,GC-managed,no core language concurrency model,no core async/await,no language memory model/atomics,quote/substitute/eval and language objects,strong introspection and computing-on-the-language,namespaces/packages/environments,native .C/.Call/.Fortran interfaces,S3/S4/reference classes; functions are objects,no native algebraic DU,operators are functions/generics and can be extended in class systems,function arguments are lazy promises,implementation/native extensions can have low-level hazards; language definition emphasizes higher-level semantics,vectorized iteration + apply-family; no core generator syntax,integer overflow can yield NA/warnings; numeric semantics include IEEE double and NA propagation
