language_id,language_name,EXTSEM_STATIC_TYPING,EXTSEM_DYNAMIC_TYPING,EXTSEM_NOMINAL_TYPE_IDENTITY,EXTSEM_STRUCTURAL_CONFORMANCE,EXTSEM_PARAMETRIC_POLYMORPHISM,EXTSEM_TYPE_INFERENCE,EXTSEM_FLOW_SENSITIVE_TYPING,EXTSEM_TYPE_LEVEL_NULL_SAFETY,EXTSEM_VALUE_TYPES,EXTSEM_REFERENCE_TYPES,EXTSEM_EXPLICIT_POINTER_REFERENCE,EXTSEM_LEXICAL_SCOPING,EXTSEM_FIRST_CLASS_FUNCTIONS,EXTSEM_CLOSURES,EXTSEM_LAZY_ARGUMENTS,EXTSEM_LEFT_TO_RIGHT_GENERAL_EVAL,EXTSEM_PARTIAL_UNSPECIFIED_EVAL,EXTSEM_SHORT_CIRCUIT_BOOL,EXTSEM_PASS_BY_VALUE_CORE,EXTSEM_BYREF_PARAMETER_FORM,EXTSEM_SINGLE_RECEIVER_DYNAMIC_DISPATCH,EXTSEM_MULTIPLE_DISPATCH,EXTSEM_STRUCTURAL_INTERFACE_CONFORMANCE,EXTSEM_NOMINAL_INHERITANCE,EXTSEM_OPERATOR_OVERLOADING,EXTSEM_GENERICS,EXTSEM_PATTERN_MATCHING,EXTSEM_EXCEPTIONS,EXTSEM_CHECKED_ERROR_EFFECT,EXTSEM_ERROR_VALUES_UNIONS,EXTSEM_STRUCTURED_CLEANUP,EXTSEM_RAII_DESTRUCTORS,EXTSEM_GARBAGE_COLLECTION,EXTSEM_REFERENCE_COUNTING,EXTSEM_OWNERSHIP_BORROWING,EXTSEM_MANUAL_MEMORY,EXTSEM_UNSAFE_ESCAPE,EXTSEM_CONCURRENCY_PRIMITIVES,EXTSEM_ATOMICS_MEMORY_MODEL,EXTSEM_CHANNELS,EXTSEM_ASYNC_AWAIT,EXTSEM_ACTORS,EXTSEM_STRUCTURED_CONCURRENCY,EXTSEM_MACROS,EXTSEM_COMPILETIME_META,EXTSEM_RUNTIME_REFLECTION,EXTSEM_FFI,EXTSEM_MODULE_SYSTEM,EXTSEM_UNDEFINED_BEHAVIOR,EXTSEM_ITERATORS_GENERATORS,EXTSEM_SUM_VARIANTS
c,C,PRESENT,ABSENT,PRESENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,ABSENT,UNRESOLVED,UNRESOLVED,PRESENT,PRESENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,ABSENT,PRESENT,PRESENT,PRESENT,ABSENT,UNRESOLVED,ABSENT,UNRESOLVED,UNRESOLVED,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,UNRESOLVED,UNRESOLVED,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT
cpp,C++,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,UNRESOLVED,UNRESOLVED,PRESENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT
csharp,C#,PRESENT,ABSENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT
go,Go,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT
java,Java,PRESENT,ABSENT,PRESENT,ABSENT,PRESENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT
julia,Julia,ABSENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,UNRESOLVED,ABSENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,PRESENT,ABSENT,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,UNRESOLVED,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED
kotlin,Kotlin,PRESENT,ABSENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,UNRESOLVED,UNRESOLVED,ABSENT,ABSENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,ABSENT,PRESENT,ABSENT,UNRESOLVED,ABSENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT
nim,Nim,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,ABSENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,ABSENT,UNRESOLVED,PRESENT,PRESENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,ABSENT,ABSENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,ABSENT,PRESENT,PRESENT
python,Python,ABSENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,ABSENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,PRESENT,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,UNRESOLVED,UNRESOLVED,ABSENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,ABSENT,PRESENT,ABSENT
r,R,ABSENT,PRESENT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,ABSENT,UNRESOLVED,PRESENT,UNRESOLVED,PRESENT,PRESENT,PRESENT,PRESENT,UNRESOLVED,UNRESOLVED,PRESENT,ABSENT,ABSENT,PRESENT,PRESENT,UNRESOLVED,UNRESOLVED,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,ABSENT,PRESENT,ABSENT,PRESENT,ABSENT,ABSENT,ABSENT,UNRESOLVED,UNRESOLVED,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,UNRESOLVED,ABSENT
