language_id,language_name,atom_id,known,value,status
c,C,EXTSEM_ACTORS,1,0,ABSENT
c,C,EXTSEM_ASYNC_AWAIT,1,0,ABSENT
c,C,EXTSEM_ATOMICS_MEMORY_MODEL,1,1,PRESENT
c,C,EXTSEM_BYREF_PARAMETER_FORM,1,0,ABSENT
c,C,EXTSEM_CHANNELS,1,0,ABSENT
c,C,EXTSEM_CHECKED_ERROR_EFFECT,1,0,ABSENT
c,C,EXTSEM_CLOSURES,0,0,UNRESOLVED
c,C,EXTSEM_COMPILETIME_META,0,0,UNRESOLVED
c,C,EXTSEM_CONCURRENCY_PRIMITIVES,1,1,PRESENT
c,C,EXTSEM_DYNAMIC_TYPING,1,0,ABSENT
c,C,EXTSEM_ERROR_VALUES_UNIONS,0,0,UNRESOLVED
c,C,EXTSEM_EXCEPTIONS,1,0,ABSENT
c,C,EXTSEM_EXPLICIT_POINTER_REFERENCE,1,1,PRESENT
c,C,EXTSEM_FFI,1,1,PRESENT
c,C,EXTSEM_FIRST_CLASS_FUNCTIONS,0,0,UNRESOLVED
c,C,EXTSEM_FLOW_SENSITIVE_TYPING,0,0,UNRESOLVED
c,C,EXTSEM_GARBAGE_COLLECTION,1,0,ABSENT
c,C,EXTSEM_GENERICS,1,0,ABSENT
c,C,EXTSEM_ITERATORS_GENERATORS,1,0,ABSENT
c,C,EXTSEM_LAZY_ARGUMENTS,0,0,UNRESOLVED
c,C,EXTSEM_LEFT_TO_RIGHT_GENERAL_EVAL,1,0,ABSENT
c,C,EXTSEM_LEXICAL_SCOPING,1,1,PRESENT
c,C,EXTSEM_MACROS,1,1,PRESENT
c,C,EXTSEM_MANUAL_MEMORY,1,1,PRESENT
c,C,EXTSEM_MODULE_SYSTEM,1,0,ABSENT
c,C,EXTSEM_MULTIPLE_DISPATCH,1,0,ABSENT
c,C,EXTSEM_NOMINAL_INHERITANCE,0,0,UNRESOLVED
c,C,EXTSEM_NOMINAL_TYPE_IDENTITY,1,1,PRESENT
c,C,EXTSEM_OPERATOR_OVERLOADING,1,0,ABSENT
c,C,EXTSEM_OWNERSHIP_BORROWING,1,0,ABSENT
c,C,EXTSEM_PARAMETRIC_POLYMORPHISM,0,0,UNRESOLVED
c,C,EXTSEM_PARTIAL_UNSPECIFIED_EVAL,1,1,PRESENT
c,C,EXTSEM_PASS_BY_VALUE_CORE,1,1,PRESENT
c,C,EXTSEM_PATTERN_MATCHING,1,0,ABSENT
c,C,EXTSEM_RAII_DESTRUCTORS,1,0,ABSENT
c,C,EXTSEM_REFERENCE_COUNTING,1,0,ABSENT
c,C,EXTSEM_REFERENCE_TYPES,0,0,UNRESOLVED
c,C,EXTSEM_RUNTIME_REFLECTION,1,0,ABSENT
c,C,EXTSEM_SHORT_CIRCUIT_BOOL,1,1,PRESENT
c,C,EXTSEM_SINGLE_RECEIVER_DYNAMIC_DISPATCH,0,0,UNRESOLVED
c,C,EXTSEM_STATIC_TYPING,1,1,PRESENT
c,C,EXTSEM_STRUCTURAL_CONFORMANCE,0,0,UNRESOLVED
c,C,EXTSEM_STRUCTURAL_INTERFACE_CONFORMANCE,0,0,UNRESOLVED
c,C,EXTSEM_STRUCTURED_CLEANUP,0,0,UNRESOLVED
c,C,EXTSEM_STRUCTURED_CONCURRENCY,1,0,ABSENT
c,C,EXTSEM_SUM_VARIANTS,1,0,ABSENT
c,C,EXTSEM_TYPE_INFERENCE,0,0,UNRESOLVED
c,C,EXTSEM_TYPE_LEVEL_NULL_SAFETY,1,0,ABSENT
c,C,EXTSEM_UNDEFINED_BEHAVIOR,1,1,PRESENT
c,C,EXTSEM_UNSAFE_ESCAPE,1,1,PRESENT
c,C,EXTSEM_VALUE_TYPES,0,0,UNRESOLVED
cpp,C++,EXTSEM_ACTORS,1,0,ABSENT
cpp,C++,EXTSEM_ASYNC_AWAIT,1,1,PRESENT
cpp,C++,EXTSEM_ATOMICS_MEMORY_MODEL,1,1,PRESENT
cpp,C++,EXTSEM_BYREF_PARAMETER_FORM,1,1,PRESENT
cpp,C++,EXTSEM_CHANNELS,1,0,ABSENT
cpp,C++,EXTSEM_CHECKED_ERROR_EFFECT,1,0,ABSENT
cpp,C++,EXTSEM_CLOSURES,1,1,PRESENT
cpp,C++,EXTSEM_COMPILETIME_META,1,1,PRESENT
cpp,C++,EXTSEM_CONCURRENCY_PRIMITIVES,1,1,PRESENT
cpp,C++,EXTSEM_DYNAMIC_TYPING,1,0,ABSENT
cpp,C++,EXTSEM_ERROR_VALUES_UNIONS,0,0,UNRESOLVED
cpp,C++,EXTSEM_EXCEPTIONS,1,1,PRESENT
cpp,C++,EXTSEM_EXPLICIT_POINTER_REFERENCE,1,1,PRESENT
cpp,C++,EXTSEM_FFI,1,1,PRESENT
