language_id,canonical_semantic_id,present,evidence_basis
c,UASF_0001,1,proof_compression_67bit
c,UASF_0002,0,proof_compression_67bit
c,UASF_0003,0,proof_compression_67bit
c,UASF_0004,0,proof_compression_67bit
c,UASF_0005,0,proof_compression_67bit
c,UASF_0006,1,proof_compression_67bit
c,UASF_0007,0,proof_compression_67bit
c,UASF_0008,0,proof_compression_67bit
c,UASF_0009,0,proof_compression_67bit
c,UASF_0010,0,proof_compression_67bit
c,UASF_0011,0,proof_compression_67bit
c,UASF_0012,0,proof_compression_67bit
c,UASF_0013,0,proof_compression_67bit
c,UASF_0014,0,proof_compression_67bit
c,UASF_0015,0,proof_compression_67bit
c,UASF_0016,1,proof_compression_67bit
c,UASF_0017,0,proof_compression_67bit
c,UASF_0018,0,proof_compression_67bit
c,UASF_0019,0,proof_compression_67bit
c,UASF_0020,0,proof_compression_67bit
c,UASF_0021,0,proof_compression_67bit
c,UASF_0022,1,proof_compression_67bit
c,UASF_0023,1,proof_compression_67bit
c,UASF_0024,1,proof_compression_67bit
c,UASF_0025,1,proof_compression_67bit
c,UASF_0026,1,proof_compression_67bit
c,UASF_0027,0,proof_compression_67bit
c,UASF_0028,0,proof_compression_67bit
c,UASF_0029,0,proof_compression_67bit
c,UASF_0030,0,proof_compression_67bit
c,UASF_0031,1,proof_compression_67bit
c,UASF_0032,1,proof_compression_67bit
c,UASF_0033,0,proof_compression_67bit
c,UASF_0034,1,proof_compression_67bit
c,UASF_0035,1,proof_compression_67bit
c,UASF_0036,1,proof_compression_67bit
c,UASF_0037,1,proof_compression_67bit
c,UASF_0038,1,proof_compression_67bit
c,UASF_0039,1,proof_compression_67bit
c,UASF_0040,1,proof_compression_67bit
c,UASF_0041,0,proof_compression_67bit
c,UASF_0042,0,proof_compression_67bit
c,UASF_0043,0,proof_compression_67bit
c,UASF_0044,0,proof_compression_67bit
c,UASF_0045,0,proof_compression_67bit
c,UASF_0046,0,proof_compression_67bit
c,UASF_0047,1,proof_compression_67bit
c,UASF_0048,1,proof_compression_67bit
c,UASF_0049,1,proof_compression_67bit
c,UASF_0050,1,proof_compression_67bit
c,UASF_0051,0,proof_compression_67bit
c,UASF_0052,0,proof_compression_67bit
c,UASF_0053,0,proof_compression_67bit
c,UASF_0054,0,proof_compression_67bit
c,UASF_0055,0,proof_compression_67bit
c,UASF_0056,0,proof_compression_67bit
c,UASF_0057,0,proof_compression_67bit
c,UASF_0058,0,proof_compression_67bit
c,UASF_0059,0,proof_compression_67bit
c,UASF_0060,0,proof_compression_67bit
c,UASF_0061,0,proof_compression_67bit
c,UASF_0062,0,proof_compression_67bit
c,UASF_0063,0,proof_compression_67bit
c,UASF_0064,0,proof_compression_67bit
c,UASF_0065,0,proof_compression_67bit
c,UASF_0066,0,proof_compression_67bit
c,UASF_0067,0,proof_compression_67bit
c,UASF_0068,0,proof_compression_67bit
c,UASF_0069,0,proof_compression_67bit
c,UASF_0070,0,proof_compression_67bit
c,UASF_0071,0,proof_compression_67bit
c,UASF_0072,0,proof_compression_67bit
c,UASF_0073,0,proof_compression_67bit
c,UASF_0074,0,proof_compression_67bit
c,UASF_0075,0,proof_compression_67bit
c,UASF_0076,0,proof_compression_67bit
c,UASF_0077,0,proof_compression_67bit
c,UASF_0078,0,proof_compression_67bit
c,UASF_0079,0,proof_compression_67bit
c,UASF_0080,0,proof_compression_67bit
c,UASF_0081,0,proof_compression_67bit
c,UASF_0082,0,proof_compression_67bit
c,UASF_0083,0,proof_compression_67bit
c,UASF_0084,1,proof_compression_67bit
c,UASF_0085,0,proof_compression_67bit
c,UASF_0086,0,proof_compression_67bit
c,UASF_0087,1,proof_compression_67bit
c,UASF_0088,0,proof_compression_67bit
c,UASF_0089,0,proof_compression_67bit
c,UASF_0090,0,proof_compression_67bit
c,UASF_0091,1,proof_compression_67bit
c,UASF_0092,0,proof_compression_67bit
c,UASF_0093,0,proof_compression_67bit
c,UASF_0094,0,proof_compression_67bit
c,UASF_0095,0,proof_compression_67bit
c,UASF_0096,0,proof_compression_67bit
c,UASF_0097,0,proof_compression_67bit
c,UASF_0098,0,proof_compression_67bit
c,UASF_0099,0,proof_compression_67bit
c,UASF_0100,0,proof_compression_67bit
c,UASF_0101,0,proof_compression_67bit
c,UASF_0102,0,proof_compression_67bit
c,UASF_0103,0,proof_compression_67bit
c,UASF_0104,0,proof_compression_67bit
c,UASF_0105,0,proof_compression_67bit
c,UASF_0106,1,proof_compression_67bit
c,UASF_0107,1,proof_compression_67bit
c,UASF_0108,1,proof_compression_67bit
c,UASF_0109,0,proof_compression_67bit
c,UASF_0110,0,proof_compression_67bit
c,UASF_0111,0,proof_compression_67bit
c,UASF_0112,0,proof_compression_67bit
c,UASF_0113,0,proof_compression_67bit
c,UASF_0114,0,proof_compression_67bit
c,UASF_0115,0,proof_compression_67bit
c,UASF_0116,0,proof_compression_67bit
c,UASF_0117,0,proof_compression_67bit
