language_id,canonical_semantic_id,external_status,existing,classification,operation
c,UASF_0001,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0002,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0003,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0004,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0005,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0006,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0007,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0008,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0009,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0010,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0011,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0012,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0013,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0014,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0015,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0016,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0017,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0018,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0019,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0020,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0021,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0022,PRESENT,true,CONFIRMED,XOR
c,UASF_0023,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0024,PRESENT,true,CONFIRMED,XOR
c,UASF_0025,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0026,ABSENT,true,CONFLICT,XOR
c,UASF_0027,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0028,PRESENT,false,NEW_EXTERNAL_EVIDENCE,XOR
c,UASF_0029,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0030,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0031,PRESENT,true,CONFIRMED,XOR
c,UASF_0032,ABSENT,true,CONFLICT,XOR
c,UASF_0033,UNRESOLVED,false,UNRESOLVED,XOR
c,UASF_0034,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0035,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0036,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0037,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0038,UNRESOLVED,true,UNRESOLVED,XOR
c,UASF_0039,UNRESOLVED,true,UNRESOLVED,XOR
