language_id,language_name,semantic_axis,summary_value,evidence_status,source_ids,notes
c,C,typing_discipline,static,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,type_identity_and_subtyping,nominal tags + standardized compatibility rules,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,type_inference,limited; C23 adds more inference facilities,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,null_absence_model,null pointer; no type-level null safety,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,value_reference_model,values plus explicit pointers,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,parameter_passing,by value; pointers model indirect mutation,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,scoping,lexical/block/file scope,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,evaluation_order,partially ordered; many operand orders unspecified/indeterminately sequenced,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,dispatch_model,static calls + function pointers,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,generics_parametric,no parametric generics; _Generic selection,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,pattern_matching,"switch only, no general structural patterns",SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,error_exception_model,no language exceptions; return codes/errno/setjmp-style mechanisms,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,cleanup_resource_model,manual cleanup,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,memory_management,manual allocation/free,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,ownership_aliasing,unrestricted pointer aliasing with qualifiers such as restrict,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,lifetime_model,storage duration/lifetime rules in standard,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,concurrency_model,C threads/atomics library and abstract-machine memory model,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,async_coroutine_model,no async/await,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,atomics_memory_model,C atomics + happens-before/ordering,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,metaprogramming,preprocessor macros,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,reflection_introspection,very limited runtime reflection,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,module_namespace_model,"translation units, linkage, headers",SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,ffi_model,native C ABI / foreign interfaces,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,object_model,struct/union/enum; no class inheritance,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,sum_variant_model,union/enum can encode variants but no native algebraic tagged union,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
