language_id,language_name,EXTSEM_STATIC_TYPING,EXTSEM_DYNAMIC_TYPING,EXTSEM_NOMINAL_TYPE_IDENTITY,EXTSEM_STRUCTURAL_CONFORMANCE,EXTSEM_PARAMETRIC_POLYMORPHISM,EXTSEM_TYPE_INFERENCE,EXTSEM_FLOW_SENSITIVE_TYPING,EXTSEM_TYPE_LEVEL_NULL_SAFETY,EXTSEM_VALUE_TYPES,EXTSEM_REFERENCE_TYPES,EXTSEM_EXPLICIT_POINTER_REFERENCE,EXTSEM_LEXICAL_SCOPING,EXTSEM_FIRST_CLASS_FUNCTIONS,EXTSEM_CLOSURES,EXTSEM_LAZY_ARGUMENTS,EXTSEM_LEFT_TO_RIGHT_GENERAL_EVAL,EXTSEM_PARTIAL_UNSPECIFIED_EVAL,EXTSEM_SHORT_CIRCUIT_BOOL,EXTSEM_PASS_BY_VALUE_CORE,EXTSEM_BYREF_PARAMETER_FORM,EXTSEM_SINGLE_RECEIVER_DYNAMIC_DISPATCH,EXTSEM_MULTIPLE_DISPATCH,EXTSEM_STRUCTURAL_INTERFACE_CONFORMANCE,EXTSEM_NOMINAL_INHERITANCE,EXTSEM_OPERATOR_OVERLOADING,EXTSEM_GENERICS,EXTSEM_PATTERN_MATCHING,EXTSEM_EXCEPTIONS,EXTSEM_CHECKED_ERROR_EFFECT,EXTSEM_ERROR_VALUES_UNIONS,EXTSEM_STRUCTURED_CLEANUP,EXTSEM_RAII_DESTRUCTORS,EXTSEM_GARBAGE_COLLECTION,EXTSEM_REFERENCE_COUNTING,EXTSEM_OWNERSHIP_BORROWING,EXTSEM_MANUAL_MEMORY,EXTSEM_UNSAFE_ESCAPE,EXTSEM_CONCURRENCY_PRIMITIVES,EXTSEM_ATOMICS_MEMORY_MODEL,EXTSEM_CHANNELS,EXTSEM_ASYNC_AWAIT,EXTSEM_ACTORS,EXTSEM_STRUCTURED_CONCURRENCY,EXTSEM_MACROS,EXTSEM_COMPILETIME_META,EXTSEM_RUNTIME_REFLECTION,EXTSEM_FFI,EXTSEM_MODULE_SYSTEM,EXTSEM_UNDEFINED_BEHAVIOR,EXTSEM_ITERATORS_GENERATORS,EXTSEM_SUM_VARIANTS
c,C,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0
cpp,C++,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
csharp,C#,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
go,Go,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
java,Java,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
julia,Julia,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0
kotlin,Kotlin,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
nim,Nim,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1
python,Python,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
r,R,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
rust,Rust,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1
swift,Swift,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
zig,Zig,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1
