case_id,source_language,status,bytes,format,executed,exit_code,diagnostic
e32230edb2b4a8c290d7c9e89d3cc1e9ebe51641b0964ff932ad70b7d05736fa,csharp,FAIL,0,PE32+,false,,"native call ""nameof"" requires linked implementation"
119ac5e5f9fdd08567de99262f2cc236d2dbb12f3566b79015e624d30a0ed3b6,csharp,FAIL,0,PE32+,false,,native node 1 missing operand [expression]
c82d8f24f56d59c84ccfd6c2a618053fb9026e4d53cfca42b5fcccc1517d661b,csharp,FAIL,0,PE32+,false,,"native unresolved binding ""MyFunction"" node=1"
88f472ad047ee8bd033bc287de7d32dfa68b73a2e531f57e06007482c5eb6102,csharp,PASS,2048,PE32+,false,,
fa7b3aad759c75bcdc992fdb7e9216c416d343847dfde5b1c1f7db9bcc22f8ed,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP function binding node=1
2bc2d6cd0673ef7f01d0b4cb8e67985791940d024e5443a01ac1286e18d3ad6b,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP function binding node=1
b53f85bb21b8e0521a0e22dd28d9a55e71d2bf0c7e947653a809b57cf8427652,csharp,PASS,2048,PE32+,false,,
41b5e3bbd04225e4331a6d3371c5b1a1da9e2274e56f5d259ad5d242fd0b8bf7,csharp,PASS,2048,PE32+,false,,
2550605944ff67e4798d96f252fceb64a5b226776024015e4d991963d8241e59,csharp,FAIL,0,PE32+,false,,"native unresolved binding ""p1"" node=2"
d79575d775edc807737015b58dfe2f0737fa96e15d856383a302c962ddc41f41,csharp,FAIL,0,PE32+,false,,"native unresolved binding ""p1"" node=2"
03a67adba64e601612e5fe9848f26cb67df9a6f2fe05165dee6f7f17dbbc0f12,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP expression node=3 kind=aggregate
432928f6b3c3934063a185b4d0bf45689f8ca1862d03603387e3db4515741d98,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP expression node=2 kind=aggregate
778b9c74025080311ca41a9770c7184f5ce71055c45201764e9b56ff6babf773,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP expression node=5 kind=aggregate
c6fc9bcb4826a19a10bc44febb49ce18d7883bef0c58b5b9d50e8ed942884573,csharp,FAIL,0,PE32+,false,,native node 1 missing operand [expression]
9f188422dc2fc80a5557767337bc14b01bb593f25e4e111d670f01b2f6b0f072,csharp,FAIL,0,PE32+,false,,native node 1 missing operand [expression]
c403ed9c6c0d4af39622c5a2a54953bc1980b6f61e136c31892ec765a590be87,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP expression node=6 kind=aggregate
3ca55df4536f9a62f3f46d7cf8cc77228dd732949ff93b47703647ea0d339077,csharp,FAIL,0,PE32+,false,,"native call ""SomeMethod"" requires linked implementation"
98cce922b5a7d80737d5ae7f64592230296645ae2a140d3ae8a8358c41f6dbe4,csharp,FAIL,0,PE32+,false,,"native call ""SomeMethod"" requires linked implementation"
424cb945b6d5d1527efe0ed6ec2edec380a0f7f630d15168102fa5bdd857095d,csharp,FAIL,0,PE32+,false,,native node 1 missing operand [expression]
8d57bfd8b29c1f129e8c7901e57122c8e616a7eccc9f29ac7a4eafccb0028d00,csharp,FAIL,0,PE32+,false,,native assignment binding unavailable at 11
a859a71894394c7c74db47f0bf927e64c61f954099d8211dea43592f69c74586,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP function binding node=1
5d6ea951ab0a93b5f9de156b7b00611b5cdfb2944901c6ac37d4ee862b44307d,csharp,PASS,2048,PE32+,false,,
e0d72d9ff4d40c02ad8f6ce64c8fea53c1da53738383ed12785fdc56bc33a965,csharp,PASS,2048,PE32+,false,,
7447b4384f68050594dc1ba37896fc1d7c1ece85a7e705488f5b08b5984d641a,csharp,FAIL,0,PE32+,false,,"native unresolved binding ""y"" node=2"
b57ee182299a9284c711efa23327dd12142fe82fbc74d4e25247f617d235f18b,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP function binding node=1
76cc898c831c91551202526b2d2479c4afa88c9446cbdcb64b1b91adfe41bf05,csharp,FAIL,0,PE32+,false,,"native unresolved binding ""if"" node=1"
a9ad5b1f0f9310d702a8d2088262d89cd6ecf6403e065d72a61ec72d1ee65fdb,csharp,FAIL,0,PE32+,false,,"native unresolved binding ""if"" node=1"
80e163f2b71d7eb5402d91ed3c1393a6ff6d6894bb8d72171dbda4efdc42aa8d,csharp,FAIL,0,PE32+,false,,native node 1 missing operand [expression]
237c06686cca73607027dbf44c9e19ffce8541aa59e771293ce874b71fbda925,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP function binding node=1
b004f55d9ff6bdd7c11c18baaf6a4b80c0b194d1dad8636b5219c9e6a04504d4,csharp,FAIL,0,PE32+,false,,UNIMPLEMENTED_NATIVE_GAP function binding node=1
