feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
abi_calling_convention,8276,1482,8,45,115,469,2149,11,37,2,208,7,169,274,528,1366,86,176,947,0,902,1,559,42,1716,2236,3429,351,4,921,2476,342,66,1520,370,55,49,2881,11,7825,79,2352,461,1955,1822,140,1076,2346,8,27,691,1660,984,43,14,4,22,2510,1220,84,840,163,517,103,262,1556,201,79,14,1006,2323,21,488,131,208,4,330,4,10,12,5039,233,9,86,972,1177,523,591,111,10,10,19,35,155,4235,4051,3,91
allocation,1482,2343,11,38,77,277,702,12,28,3,127,6,121,128,291,470,47,156,416,1,496,1,617,58,809,918,1205,220,6,434,1164,196,42,547,113,43,60,877,7,2152,37,906,208,1065,986,97,785,1288,13,52,393,541,1424,28,8,3,17,948,744,58,404,101,366,39,257,750,130,57,9,337,649,18,314,23,113,4,259,2,7,6,1677,127,5,71,586,736,300,293,85,11,7,10,28,97,1667,1019,5,90
array_list,8,11,16,9,3,4,4,1,4,0,1,3,6,5,0,1,5,8,13,0,16,0,5,2,10,7,13,1,0,4,16,5,1,11,2,5,0,4,3,16,3,3,2,8,11,2,12,12,3,8,2,1,7,0,0,2,0,7,8,1,0,2,10,1,2,10,3,6,0,6,3,1,1,2,1,0,6,0,1,3,14,1,0,0,3,4,5,0,7,2,0,2,2,1,14,4,1,0
array_type,45,38,9,66,14,22,33,1,15,3,11,6,13,22,1,22,7,24,53,0,49,1,34,4,46,48,44,3,5,24,57,22,4,43,20,9,4,29,8,64,6,22,4,39,50,4,47,49,5,20,6,20,38,0,0,3,1,32,38,4,4,11,42,2,18,41,20,35,4,29,22,2,2,4,5,4,26,0,5,6,57,8,3,1,15,29,25,0,28,10,1,5,13,12,56,26,5,3
assignment,115,77,3,14,155,22,87,1,6,2,11,5,18,30,20,66,10,21,61,0,66,0,34,4,74,89,87,13,3,48,96,28,4,77,29,12,7,98,6,147,10,86,13,84,86,21,77,94,5,18,31,57,51,1,1,2,0,76,64,4,32,15,40,9,15,83,17,14,1,46,43,1,20,6,12,5,30,0,3,2,134,28,2,2,42,40,23,16,16,3,2,3,5,14,124,83,4,7
atomic,469,277,4,22,22,676,231,6,15,2,51,4,38,51,41,122,21,69,160,0,151,1,149,21,260,322,306,74,4,148,349,54,15,193,48,22,19,325,6,654,15,197,81,280,338,36,280,359,3,15,206,155,210,1,5,1,13,243,338,17,105,54,110,9,84,234,48,33,2,125,278,2,106,9,42,3,100,3,5,3,452,24,7,13,164,347,103,105,38,7,6,1,14,50,475,309,4,20
attribute_annotation,2149,702,4,33,87,231,3201,8,33,2,103,6,92,162,222,1209,42,86,838,1,527,1,308,28,773,1770,1149,201,5,610,1307,233,32,1267,364,34,28,1867,8,2945,46,1377,250,930,881,81,717,1031,7,34,317,882,447,30,8,3,17,1775,676,57,326,106,302,77,121,733,124,53,8,490,650,11,301,121,109,4,198,4,6,5,1941,154,6,27,492,543,200,254,81,9,14,19,26,115,1889,1444,4,68
await,11,12,1,1,1,6,8,16,1,0,1,1,1,1,2,1,4,3,6,0,6,0,9,4,7,13,12,4,0,6,12,1,1,7,1,0,0,5,1,16,2,9,2,13,9,0,9,13,1,1,10,7,10,1,0,1,0,2,7,1,7,3,2,1,2,8,3,1,0,3,9,1,4,1,1,0,6,0,0,0,14,2,0,0,10,8,7,4,0,0,0,1,0,0,15,10,0,1
binary_op,37,28,4,15,6,15,33,1,46,1,6,4,5,8,0,31,4,21,39,0,21,0,24,4,21,44,25,0,2,33,36,11,1,37,17,4,1,33,5,46,2,17,3,21,24,1,26,29,6,9,1,26,21,0,0,3,0,33,20,2,0,6,28,3,15,19,10,16,4,15,11,1,9,4,2,1,15,0,3,3,32,4,1,2,6,21,16,0,14,4,0,16,8,7,32,12,3,4
break,2,3,0,3,2,2,2,0,1,5,1,1,2,3,0,1,1,4,5,0,3,1,4,0,3,4,3,0,2,2,5,2,0,3,2,1,1,2,3,5,0,0,0,2,3,0,5,5,1,3,0,2,3,0,0,0,0,1,3,0,0,1,4,0,2,2,2,3,0,3,2,0,0,0,0,2,1,0,2,0,5,0,1,0,0,2,3,0,3,1,0,0,0,2,5,1,2,0
bytecode_vm,208,127,1,11,11,51,103,1,6,1,289,2,29,27,58,59,19,32,46,0,85,0,72,10,152,131,155,21,1,51,160,52,9,87,21,4,4,138,1,275,12,138,26,140,165,16,93,171,1,5,62,71,63,3,9,0,5,97,121,19,54,24,53,8,23,129,33,12,3,81,121,1,40,6,29,0,41,0,2,3,252,18,0,12,123,95,45,55,16,6,1,1,8,15,180,145,1,12
call,7,6,3,6,5,4,6,1,4,1,2,8,3,4,0,3,3,2,7,0,8,0,5,2,7,7,7,1,1,5,7,5,1,7,3,2,1,7,4,8,4,3,2,6,7,1,7,6,3,6,1,2,5,0,0,2,0,7,5,1,0,2,5,1,2,7,3,5,0,5,3,1,0,2,1,1,4,0,2,3,6,2,0,0,2,5,5,0,3,2,1,2,1,2,7,6,2,0
capture,169,121,6,13,18,38,92,1,5,2,29,3,286,19,76,75,20,40,55,0,66,0,82,8,139,98,158,32,2,59,147,44,9,103,24,7,4,97,3,223,12,137,20,135,113,17,97,159,2,8,71,57,84,0,3,1,0,129,107,16,58,15,57,7,35,114,40,19,2,64,84,3,40,7,31,0,49,4,2,3,195,36,2,3,82,95,40,60,25,7,0,2,10,20,181,141,2,21
cast_conversion,274,128,5,22,30,51,162,1,8,3,27,4,19,402,38,99,16,32,120,0,141,1,69,10,152,188,191,36,3,84,222,44,5,132,51,11,10,149,6,365,17,151,43,177,200,20,142,182,7,22,41,149,83,6,6,3,3,148,156,5,58,33,70,16,31,167,31,22,1,159,146,7,34,11,34,4,40,1,6,5,237,26,3,1,75,79,51,41,29,9,4,6,8,29,298,187,3,11
channel,528,291,0,1,20,41,222,2,0,0,58,0,76,38,668,194,24,15,24,0,112,0,115,8,364,111,428,41,0,68,222,83,10,185,31,3,5,256,0,604,35,452,12,418,215,30,115,340,0,1,120,250,202,15,4,0,0,364,181,14,181,16,104,12,37,245,55,2,2,140,201,14,88,18,59,0,56,2,2,0,563,70,0,2,245,117,35,122,12,1,1,0,6,25,393,452,0,28
class,1366,470,1,22,66,122,1209,1,31,1,59,3,75,99,194,1832,47,61,751,0,376,1,178,32,546,1230,648,99,5,528,744,139,20,1119,328,17,12,1259,6,1757,34,1142,112,589,510,66,544,687,4,14,188,693,335,15,5,2,3,1435,391,25,203,67,198,41,85,433,91,37,10,263,372,14,231,119,74,4,142,4,1,3,1281,133,4,28,238,310,104,140,56,3,3,20,16,66,1307,1000,2,45
closure_lambda,86,47,5,7,10,21,42,4,4,1,19,3,20,16,24,47,101,10,30,0,24,0,35,8,43,53,49,8,2,32,65,25,6,52,22,2,0,54,3,84,9,64,4,62,40,11,40,55,3,5,23,26,27,0,1,2,0,52,43,5,18,9,20,5,10,49,19,10,0,33,42,2,20,8,5,0,24,2,2,1,87,10,0,0,39,29,13,22,10,4,0,2,4,7,75,74,1,7
