component,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
ast,45,58,0,26,8,0,33,0,52,0,0,0,9,4,0,26,0,467,470,0,204,0,61,0,33,72,133,0,0,17,538,0,0,43,9,0,0,210,0,140,0,5,3,30,68,0,220,606,0,13,0,43,65,0,0,0,0,10,23,0,0,0,273,0,11,33,22,39,0,17,1,0,0,3,0,0,10,0,19,0,310,1,0,0,2,33,6,0,40,1,0,0,0,6,2487,16,0,0
binding,7,3,0,0,0,8,6,0,0,0,0,0,0,0,0,3,0,3,60,0,2,0,1,0,15,2,9,0,0,1,70,0,0,5,0,0,0,4,0,43,0,41,0,4,2,0,98,19,0,0,0,9,2,0,0,0,0,3,9,6,0,0,5,0,0,0,0,1,0,0,15,0,0,0,0,0,265,0,0,0,81,0,0,2,2,11,1,0,5,0,0,0,0,0,196,5,0,0
codegen,2514,871,0,54,60,529,249,0,303,0,1820,0,7,37,8,564,0,1182,634,0,1502,0,819,0,118,425,1823,0,0,557,4073,48,1,283,8703,2,4,108,0,10242,0,52,1,1687,2651,8,7361,28553,0,40,2,22,525,0,0,0,12,1034,940,13,0,17,537,0,41,1248,5717,83,7,542,134,0,74,6,2,0,326,0,0,1,2043,1,0,20,60,182,387,6,183,3,0,31,21,9,17156,86,0,21
docs,8,33,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,28,0,22,0,27,0,10,40,13,0,1,1,302,0,0,3,0,1,0,36,0,136,0,2,15,5,10,0,64,84,0,0,0,1,39,0,0,0,0,96,2,0,0,2,32,0,0,2,5,1,0,1,1,0,0,0,0,0,153,0,0,0,54,0,0,0,5,1,37,0,6,0,0,0,0,1,634,10,0,0
grammar,115,356,20,18,96,131,390,0,2,0,10,13,9,146,100,78,0,3,388,0,487,0,344,0,110,125,255,3,1,113,837,10,0,172,8,4,24,288,9,399,4,494,7,144,352,1,943,1262,2,59,0,143,393,0,0,0,0,37,114,0,51,0,250,0,29,176,7,22,1,49,387,4,0,2,6,2,31,0,1,2,1358,13,1,0,6,42,5,7,47,0,9,6,3,6,3865,57,8,0
ir,203,105,0,16,2,42,98,0,0,0,58,0,179,3,0,71,9,40,139,0,65,0,99,0,64,71,116,1,0,22,344,5,0,59,17,0,7,15,0,516,3,8,1,1291,107,0,104,353,0,3,6,10,82,0,0,0,0,73,191,0,44,4,81,0,0,53,22,20,0,209,588,0,23,1,1,0,18,0,1,0,519,0,0,0,24,60,12,10,22,2,0,0,3,33,1399,151,0,1
lexer,155,126,0,0,2,53,102,0,0,0,0,0,3,0,12,36,0,2,41,0,655,0,41,0,25,120,98,0,0,9,257,0,0,41,3,0,3,161,0,277,0,22,1,43,14,1,200,176,6,43,1,98,94,0,0,0,1,127,12,0,0,0,15,0,4,8,13,0,0,905,70,0,0,0,0,0,2,0,0,0,53,0,0,0,3,58,0,4,9,0,0,0,2,0,483,34,0,0
optimizer,77,2,0,0,0,0,90,0,28,0,0,0,1,0,2,134,0,20,76,0,0,0,0,0,12,40,40,0,0,244,16,0,0,71,50,0,0,10,0,179,0,48,0,32,3,0,20,3,0,0,1,27,0,0,0,0,0,48,1,0,1,6,8,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,22,2,0,0,4,0,0,0,0,0,0,20,0,0,81,22,0,0
other,65656,22943,15,85,287,11916,72561,27,153,4,3206,13,3473,1136,33141,21540,820,1307,11883,1,9013,4,10396,419,53556,20551,34661,2254,13,14047,36901,5616,157,16744,2037,80,820,6798,18,82297,2049,112098,2028,53158,26820,693,60569,30892,82,322,12066,11973,17802,957,87,11,49,24529,15593,1019,13069,468,4156,5394,1070,16934,6013,237,13,44960,203227,237,4354,731,2511,10,7339,51,36,12,127619,2486,9,1048,17707,42165,3249,8499,1300,23,434,69,167,583,254949,41792,13,402
runtime,1200,1474,2,10,1,560,1834,0,44,0,141,0,28,41,35,315,2,183,467,0,1384,0,266,10,375,336,543,6,0,111,2928,272,4,149,19,3,25,273,0,2097,0,2063,19,525,868,7,4805,1894,0,18,173,217,1230,703,0,0,2,1456,374,86,84,19,487,145,67,345,44,21,3,189,2768,1,55,0,5,0,247,0,1,0,3749,65,3,640,478,299,81,95,65,0,21,0,3,31,8085,427,0,112
