semanticprogram_axis,evidence_weight,normalized_share
abi.ffi,167856,0.026761918792078565
binding.graph,16580,0.00264341229132508
capture.shadowing,16580,0.00264341229132508
compiletime.semantics,103685,0.016530892848373998
concurrency.model,120984,0.019288938037012874
control.flow,61445,0.009796409423430007
conversion.semantics,289372,0.04613567560707606
data.flow,185553,0.029583418630412698
dialect.extension,103685,0.016530892848373998
effect.graph,80743,0.012873162764684011
effects.control,61445,0.009796409423430007
evaluation.order,246998,0.03937982805384271
lowering.pipeline,103685,0.016530892848373998
memory.model,167856,0.026761918792078565
memory.ordering,120984,0.019288938037012874
nodes.declaration,1002663,0.15985836539546916
nodes.expression,185553,0.029583418630412698
operations,185553,0.029583418630412698
ownership.lifetime,167856,0.026761918792078565
purity,80743,0.012873162764684011
runtime.contract,80743,0.012873162764684011
scope.binding,1019243,0.16250177768679422
synchronization,120984,0.019288938037012874
types.origin,289372,0.04613567560707606
types.structure,1292035,0.2059940410025452
