component,attribute_annotation,class,constant,enum,function,generic,import,interface_trait,module,parameter,struct,variable,visibility
ast,33,26,204,33,538,43,140,5,10,33,310,2487,16
binding,6,3,2,15,70,5,43,41,3,0,81,196,5
codegen,249,564,1502,118,4073,283,10242,52,1034,1248,2043,17156,86
docs,13,0,22,10,302,3,136,2,96,2,54,634,10
grammar,390,78,487,110,837,172,399,494,37,176,1358,3865,57
ir,98,71,65,64,344,59,516,8,73,53,519,1399,151
lexer,102,36,655,25,257,41,277,22,127,8,53,483,34
optimizer,90,134,0,12,16,71,179,48,48,0,22,81,22
other,72561,21540,9013,53556,36901,16744,82297,112098,24529,16934,127619,254949,41792
runtime,1834,315,1384,375,2928,149,2097,2063,1456,345,3749,8085,427
tests,119,7,528,397,5521,162,8340,121,1145,252,2300,13586,90
types,215,155,187,149,1805,403,1488,87,427,240,657,9182,355
