feature,category,file,line,snippet
abi_calling_convention,memory,bootstrap.c,88,static const char *get_host_abi(void) {
abi_calling_convention,memory,bootstrap.c,89,"const char *host_abi = getenv(""ZIG_HOST_TARGET_ABI"");"
abi_calling_convention,memory,bootstrap.c,90,"return (host_abi == NULL) ? """" : host_abi;"
abi_calling_convention,memory,bootstrap.c,97,"sprintf(global_buffer, ""%s-%s%s"", get_host_arch(), get_host_os(), get_host_abi());"
abi_calling_convention,memory,build.zig,560,"test_step.dependOn(tests.addCAbiTests(b, .{"
abi_calling_convention,memory,build.zig,630,".arch_os_abi = ""wasm32-wasi"","
abi_calling_convention,memory,build.zig,659,// * We lose the ability to perform trivial renames on certain `std.builtin` types without
abi_calling_convention,memory,build.zig,663,// * We gain the ability to add and remove fields to and from `std.builtin` types without
allocation,effect,build.zig,178,"const tracy_allocation = b.option(bool, ""tracy-allocation"", ""Include allocation information with Tracy data. Does nothing if -Dtracy is not provided"") orelse (tracy != null);"
allocation,effect,build.zig,180,"const debug_gpa = b.option(bool, ""debug-allocator"", ""Force the compiler to use DebugAllocator"") orelse false;"
allocation,effect,build.zig,302,"const version = try b.allocator.dupeZ(u8, version_slice);"
allocation,effect,build.zig,308,"const file_contents = fs.cwd().readFileAlloc(config_h_path, b.allocator, .limited(max_config_h_bytes)) catch unreachable;"
allocation,effect,build.zig,355,"exe_options.addOption(bool, ""enable_tracy_allocation"", tracy_allocation);"
allocation,effect,build.zig,650,"exe_options.addOption(bool, ""enable_tracy_allocation"", false);"
allocation,effect,build.zig,910,var args = std.array_list.Managed([]const u8).init(b.allocator);
allocation,effect,build.zig,1000,"b.allocator,"
array_list,expression,doc/langref/test_arrays.zig,5,// array literal
array_list,expression,lib/libcxxabi/src/demangle/ItaniumDemangle.h,2262,class InitListExpr : public Node {
array_list,expression,lib/libcxxabi/src/demangle/ItaniumDemangle.h,2266,"InitListExpr(const Node *Ty_, NodeArray Inits_)"
array_list,expression,lib/libcxxabi/src/demangle/ItaniumDemangle.h,2267,": Node(KInitListExpr), Ty(Ty_), Inits(Inits_) {}"
array_list,expression,lib/libcxxabi/src/demangle/ItaniumDemangle.h,5355,"return make<InitListExpr>(nullptr, popTrailingNodeArray(InitsBegin));"
array_list,expression,lib/libcxxabi/src/demangle/ItaniumDemangle.h,5411,"return make<InitListExpr>(Ty, popTrailingNodeArray(InitsBegin));"
array_list,expression,lib/libcxxabi/src/demangle/ItaniumNodes.def,85,NODE(InitListExpr)
array_list,expression,lib/std/static_string_map.zig,272,"test ""list literal of list literals"" {"
array_type,type,lib/compiler/aro/aro/Parser.zig,3706,// array type from here.
array_type,type,lib/compiler/aro/aro/Tree.zig,2962,// be a pure array type.
array_type,type,lib/compiler/aro/aro/TypeStore.zig,519,// msvc ignores array type alignment.
array_type,type,lib/compiler/aro/aro/Parser/Diagnostic.zig,397,".fmt = ""type qualifier in non parameter array type"","
array_type,type,lib/compiler/aro/aro/Parser/Diagnostic.zig,432,".fmt = ""'static' used in non-outermost array type"","
array_type,type,lib/compiler/aro/aro/Parser/Diagnostic.zig,437,".fmt = ""type qualifier used in non-outermost array type"","
array_type,type,lib/compiler/aro/aro/Parser/Diagnostic.zig,576,".fmt = ""generic association array type cannot be matched with"","
array_type,type,lib/compiler/aro/aro/Parser/Diagnostic.zig,819,".fmt = ""_Atomic cannot be applied to array type {qt}"","
assignment,expression,lib/compiler/aro/aro/Parser.zig,1839,const first_expr = try p.expect(assignExpr);
assignment,expression,lib/compiler/aro/aro/Parser.zig,1850,const arg_expr = try p.expect(assignExpr);
assignment,expression,lib/compiler/aro/aro/Parser.zig,3640,/// : '[' typeQual* assignExpr? ']' directDeclarator?
assignment,expression,lib/compiler/aro/aro/Parser.zig,3641,/// | '[' keyword_static typeQual* assignExpr ']' directDeclarator?
assignment,expression,lib/compiler/aro/aro/Parser.zig,3642,/// | '[' typeQual+ keyword_static assignExpr ']' directDeclarator?
assignment,expression,lib/compiler/aro/aro/Parser.zig,3647,/// : '[' typeQual* assignExpr? ']'
assignment,expression,lib/compiler/aro/aro/Parser.zig,3648,/// | '[' keyword_static typeQual* assignExpr ']'
assignment,expression,lib/compiler/aro/aro/Parser.zig,3649,/// | '[' typeQual+ keyword_static assignExpr ']'
atomic,concurrency,build.zig,1328,"""LLVMFrontendAtomic"","
atomic,concurrency,CMakeLists.txt,220,lib/compiler_rt/atomics.zig
atomic,concurrency,CMakeLists.txt,419,lib/std/atomic.zig
atomic,concurrency,CMakeLists.txt,440,lib/std/fs/AtomicFile.zig
atomic,concurrency,cmake/Findllvm.cmake,340,FIND_AND_ADD_LLVM_LIB(LLVMFrontendAtomic)
atomic,concurrency,doc/langref/not_atomic_cmpxchgStrong.zig,1,"fn cmpxchgStrongButNotAtomic(comptime T: type, ptr: *T, expected_value: T, new_value: T) ?T {"
atomic,concurrency,lib/compiler_rt.zig,253,"if (builtin.zig_backend != .stage2_aarch64) _ = @import(""compiler_rt/atomics.zig"");"
atomic,concurrency,lib/compiler_rt.zig,258,"if (builtin.zig_backend != .stage2_aarch64) _ = @import(""compiler_rt/aarch64_outline_atomics.zig"");"
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/bug.yml,6,attributes:
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/bug.yml,14,attributes:
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/bug.yml,22,attributes:
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/bug.yml,29,attributes:
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/error_message.yml,7,attributes:
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/error_message.yml,15,attributes:
attribute_annotation,declaration,.forgejo/ISSUE_TEMPLATE/error_message.yml,22,attributes:
attribute_annotation,declaration,doc/langref/result_type_propagation.zig,6,// .{ .x = @intCast(val) } has result type `S` due to the type annotation
await,expression,lib/libc/include/any-darwin-any/pthread.h,583,"__PTHREAD_SWIFT_UNAVAILABLE_FROM_ASYNC(""Use Task.yield(), or await a condition instead of spinning"")"
await,expression,lib/libc/include/any-darwin-any/zlib.h,791,await more bits to join them in order to fill out a full byte. If pending
