component,array_list,assignment,await,binary_op,call,cast_conversion,closure_lambda,comprehension,identifier,index,literal_boolean,literal_null,literal_numeric,literal_string,map_dict,member_access,pattern,set,slice,tuple,unary_op,yield
ast,0,206,0,0,1,23,500,34,237,0,797,468,1,6,0,0,61,0,0,476,0,97
binding,0,38,0,0,0,5,158,0,17,0,445,46,0,0,4,0,13,0,0,17,0,0
codegen,0,253,0,0,0,33,690,35,326,3,2147,1174,0,1,22,0,58,0,0,786,0,119
docs,14,151,0,1,8,86,104,37,73,7,789,484,31,62,32,0,82,0,5,607,1,64
grammar,0,65,0,0,0,7,38,27,249,1,510,53,2,8,4,0,2,0,0,193,0,84
ir,0,6,0,0,0,6,22,0,2,1,620,43,0,0,1,0,5,0,0,127,0,6
lexer,0,12,0,0,0,0,0,0,109,0,164,8,0,0,1,0,0,0,0,5,0,2
optimizer,0,6,0,0,0,2,1,0,0,0,387,282,0,0,0,0,4,0,0,121,0,3
other,2,104,3,17,27,175,648,13,152,48,8480,5650,0,9,106,0,294,0,4,3744,18,218
runtime,0,17,1,46,9,29,142,36,74,13,816,1011,1,1,1,7,14,0,0,184,7,37
tests,2,53,0,1,15,86,270,29,27,8,7588,2172,1,14,28,0,160,0,2,4097,1,96
types,0,5,0,0,1,0,22,0,0,2,58,536,0,0,0,0,5,0,0,2129,0,2
