component,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
ast,23,29,0,6,206,39,24,0,0,0,1,1,37,23,1,4,500,3,1,34,210,0,111,7,5,405,55,2,0,76,1480,23,8,33,4,6,30,237,1,691,0,21,5,267,34,0,797,468,1,6,6,626,1,0,1,0,0,583,112,0,5,15,18,0,0,541,61,0,0,160,395,2,50,0,2,0,317,0,4,0,184,10,0,0,26,5,11,0,476,0,5,0,4,34,939,65,0,97
binding,6,2,0,0,38,0,2,0,0,0,0,0,29,5,1,0,158,0,0,0,11,0,5,0,0,12,0,0,0,8,263,1,0,2,0,11,3,17,0,130,0,0,0,8,0,0,445,46,0,0,0,72,0,4,0,0,0,55,17,0,0,2,0,0,2,66,13,0,0,18,4,0,0,0,0,0,746,0,4,0,33,6,0,1,18,8,3,0,17,0,0,0,0,0,207,3,0,0
codegen,151,118,0,18,253,322,591,0,0,0,8,0,246,33,0,8,690,128,8,35,692,0,242,1,43,663,104,0,0,83,2593,176,62,140,0,6,167,326,1,1879,3,7,4,397,422,38,2147,1174,0,1,9,782,41,22,0,0,0,811,461,3,2,40,31,3,3,584,58,134,0,162,436,7,10,0,2,1,499,0,14,0,311,25,0,2,126,33,28,0,786,8,31,0,24,70,1879,91,0,119
docs,156,287,14,39,151,276,69,0,1,0,0,8,94,86,198,15,104,88,15,37,453,0,96,9,66,462,354,77,0,295,2994,108,129,382,53,98,4,73,0,2649,7,154,101,389,55,6,789,484,31,62,72,575,26,32,0,0,3,1693,428,1,152,90,147,24,11,1554,82,7,1,641,790,8,324,5,53,0,326,0,6,5,313,154,1,1,739,779,55,6,607,44,31,1,10,115,901,257,0,64
grammar,0,0,0,0,65,0,2,0,0,0,0,0,12,7,1,0,38,0,0,27,88,0,46,0,3,181,46,0,0,7,586,12,0,18,0,0,7,249,0,428,1,5,2,35,22,0,510,53,2,8,0,530,0,4,0,0,0,70,27,0,0,2,8,1,0,189,2,0,0,47,144,0,0,0,0,0,9,0,0,0,73,20,0,0,3,0,16,0,193,0,1,0,0,7,325,48,0,84
ir,29,34,0,2,6,3,21,0,0,0,0,0,6,6,0,1,22,10,0,0,48,0,5,2,4,122,30,0,0,53,577,28,2,22,51,0,32,2,0,188,1,2,3,1345,10,0,620,43,0,0,0,15,0,1,0,0,0,18,57,2,0,61,1,0,2,141,5,0,0,113,258,0,131,0,2,0,80,0,0,0,130,2,0,0,78,5,16,0,127,0,3,0,1,13,119,2,0,6
lexer,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,1,14,16,0,0,9,139,1,0,9,0,0,0,109,0,22,0,1,0,2,2,0,164,8,0,0,0,4,0,1,0,0,0,10,11,0,0,0,0,0,0,1,0,0,0,91,46,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,5,0,0,0,0,0,23,2,0,2
optimizer,9,69,0,0,6,135,88,0,0,0,0,0,35,2,0,13,1,74,2,0,39,0,24,1,45,58,59,0,0,6,391,2,45,27,3,2,4,0,0,187,0,6,5,251,19,26,387,282,0,0,0,5,14,0,0,0,0,106,299,0,0,122,1,0,1,107,4,1,0,262,207,0,0,0,1,1,114,0,0,0,89,0,0,0,101,22,21,0,121,1,1,0,1,41,185,13,0,3
other,1637,985,2,68,104,3969,1037,3,17,0,35,27,226,175,347,137,648,821,47,13,990,0,762,54,406,2692,1437,104,1,1335,11151,542,281,1551,53,38,221,152,1,7154,48,413,538,1476,3013,28,8480,5650,0,9,843,868,676,106,5,0,10,4411,2170,2,313,494,283,38,98,3261,294,74,0,2080,12158,12,1185,18,211,3,595,0,27,4,2320,332,0,56,4447,3153,355,93,3744,162,208,18,233,1242,7053,1253,0,218
runtime,178,645,0,17,17,796,219,1,46,0,30,9,15,29,18,48,142,90,12,36,178,0,45,5,78,107,365,1,30,121,1218,61,445,153,3,16,29,74,0,1224,13,69,17,236,534,53,816,1011,1,1,118,52,352,1,20,7,0,531,479,0,0,115,61,10,55,265,14,66,0,351,1156,0,45,4,16,2,39,0,0,0,482,6,0,0,645,1011,25,2,184,7,6,7,13,201,2050,125,0,37
tests,316,231,2,9,53,1297,179,0,1,0,1,15,95,86,185,8,270,92,10,29,251,0,431,9,79,2117,282,146,0,650,3036,79,65,352,49,8,46,27,0,2707,8,149,730,714,1070,0,7588,2172,1,14,44,602,86,28,0,0,0,2547,714,0,243,74,50,20,1,1804,160,1,0,3233,7218,2,781,1,178,1,184,0,49,2,1644,130,0,0,1543,1014,121,17,4097,26,33,1,33,426,3197,334,0,96
types,9,45,0,0,5,327,7,0,0,0,0,1,3,0,53,20,22,1,0,0,5,0,16,0,167,24,13,0,0,8,47,5,17,36,33,0,6,0,0,124,2,0,0,97,395,0,58,536,0,0,16,10,51,0,1,0,0,36,86,0,0,1,0,0,1,124,5,1,0,351,953,0,0,1,2,0,35,0,1,0,125,477,0,0,61,1,1,34,2129,10,0,0,204,5,495,4,0,2
