component,break,continue,defer_cleanup,exception_try,for,foreach_iteration,goto_label,if,return,switch_match,throw_raise,while
ast,0,0,111,405,0,76,30,1,0,0,11,0
binding,0,0,5,12,0,8,3,0,0,0,3,0
codegen,0,0,242,663,0,83,167,1,1,0,28,0
docs,0,0,96,462,0,295,4,0,0,1,55,0
grammar,0,0,46,181,0,7,7,0,0,0,16,0
ir,0,0,5,122,0,53,32,0,0,0,16,0
lexer,0,0,3,14,0,9,0,0,0,0,1,0
optimizer,0,0,24,58,0,6,4,0,1,0,21,0
other,0,0,762,2692,1,1335,221,1,3,0,355,0
runtime,0,0,45,107,30,121,29,0,2,0,25,0
tests,0,0,431,2117,0,650,46,0,1,0,121,0
types,0,0,16,24,0,8,6,0,0,0,1,0
