feature,category,file,line,snippet
abi_calling_convention,memory,HISTORY.md,667,"* `tput` is no longer called to check terminal capabilities, it has been replaced with a pure-Julia terminfo parser ([#50797])."
abi_calling_convention,memory,HISTORY.md,1007,"* Sorting is now always stable by default, as `QuickSort` was stabilized ([#45222])."
abi_calling_convention,memory,HISTORY.md,1170,providing for greater clarity and optimization ability of these objects ([#43305]).
abi_calling_convention,memory,HISTORY.md,1191,"to mitigate the [""trojan source""](https://www.trojansource.codes) vulnerability ([#42918])."
abi_calling_convention,memory,HISTORY.md,1739,* `readdlm` now defaults to `use_mmap=false` on all OSes for consistent reliability in abnormal
abi_calling_convention,memory,HISTORY.md,2256,interoperability with C or other languages) might need to be updated; for
abi_calling_convention,memory,HISTORY.md,2296,"* The `@ccall` macro has been added to Base. It is a near drop-in replacement for `ccall` with more Julia-like syntax. It also wraps the new `foreigncall` API for varargs of different types, though it lacks the capability to specify an LLVM calling convention "
abi_calling_convention,memory,HISTORY.md,4364,* The ability of `reinterpret` to yield `Array`s of different type than the underlying storage
allocation,effect,HISTORY.md,475,* Code coverage and malloc tracking is no longer generated during the package precompilation stage.
allocation,effect,HISTORY.md,486,* Updated GC heuristics to count allocated pages instead of individual objects ([#50144]).
allocation,effect,HISTORY.md,771,* Updated GC heuristics to count allocated pages instead of object sizes ([#50144]). This should help
allocation,effect,HISTORY.md,985,* New macro `@allocations` which is similar to `@allocated` except reporting the total number of allocations
allocation,effect,HISTORY.md,986,rather than the total size of memory allocated ([#47367]).
allocation,effect,HISTORY.md,1313,"* The new `Profile.Allocs` module allows memory allocations to be profiled. The stack trace, type, and size of each"
allocation,effect,HISTORY.md,1314,"allocation is recorded, and a `sample_rate` argument allows a tunable amount of allocations to be skipped,"
allocation,effect,HISTORY.md,2252,* Immutable structs (including tuples) that contain references can now be allocated
array_list,expression,base/docs/basedocs.jl,677,"[array literals](@ref man-array-literals) ([`Base.vect`](@ref)),"
array_list,expression,base/docs/basedocs.jl,1323,"In array literals, arguments separated by semicolons have their contents"
array_list,expression,base/docs/basedocs.jl,2438,"For array literals and comprehensions, the element type can be specified before"
array_list,expression,doc/src/base/punctuation.md,37,"| `;` | semicolons separate statements, begin a list of keyword arguments in function declarations or calls, or are used to separate array literals for vertical concatenation |"
array_list,expression,doc/src/manual/arrays.md,96,## [Array literals](@id man-array-literals)
array_list,expression,doc/src/manual/arrays.md,106,where no arguments are given. [Array literals can be typed](@ref man-array-typed-literal) with
array_list,expression,doc/src/manual/arrays.md,334,### [Typed array literals](@id man-array-typed-literal)
array_list,expression,doc/src/manual/arrays.md,393,The resulting array type depends on the types of the computed elements just like [array literals](@ref man-array-literals) do. In order to control the
array_type,type,HISTORY.md,321,Custom array types may specialize this function to return an appropriate result ([#55252]).
array_type,type,HISTORY.md,1945,* The `nextprod` function now accepts tuples and other array types for its first argument ([#35791]).
array_type,type,HISTORY.md,2980,"or a higher-dimensional array, for consistency with other array types."
array_type,type,HISTORY.md,3563,to control the array type ([#22723]).
array_type,type,HISTORY.md,5622,"The array types are expected to be defined in packages, but now"
array_type,type,HISTORY.md,6203,"`1:end`. Instead, the `:` identifier is passed directly. Custom array types"
array_type,type,HISTORY.md,6614,* Expanded array type hierarchy to include an abstract `DenseArray` for
array_type,type,HISTORY.md,6904,* Faster performance on `fill!` and `copy!` for array types not supporting
assignment,expression,HISTORY.md,97,"* Code introspection macros such as `@code_lowered` and `@code_typed` now have a much better support for broadcasting expressions, including broadcasting assignments of the form `x .+= f(y)` ([#58349])."
assignment,expression,HISTORY.md,170,"* The `@atomic` macro family now supports reference assignment syntax, e.g. `@atomic :monotonic v[3] += 4`,"
assignment,expression,HISTORY.md,816,* The `initialized=true` keyword assignment for `sortperm!` and `partialsortperm!`
assignment,expression,HISTORY.md,917,* Slurping in assignments is now also allowed in non-final position. This is handled via `Base.split_rest` ([#42902]).
assignment,expression,HISTORY.md,1194,"* Every assignment to a global variable now first goes through a call to `convert(Any, x)` (or `convert(T, x)`"
