case_id,source_language,status,bytes,instruction_count,diagnostic
fba6c45370b109b20609996eb266d10c70c1004080f5857a4eb7cc9d5aab4db3,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP function binding node=21
97316f3385c9a3dd1c6645a5673e49686224fd016876d92998550724b41d14f0,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP expression node=3 kind=aggregate
8c4ee3144dcd37799e043bd27da1ae9a2c2cf94e29499e7d9240dd403e0b76ad,python,FAIL,0,0,native node 1 missing operand [expression]
78e52d3105e1e8f5d9378a6d9551378ae140c3228d59253ef63ab88d76130783,python,FAIL,0,0,native node 1 missing operand [expression]
de2c9d27a8477d7722053942899f8650055e536fc1d0693b592b68263bd9c279,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP expression node=3 kind=aggregate
d3e516faaf481d7fdac05b95e9491445e830b440b6f8f6d3f5255086cc46bf23,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
9cae56277f431d736e0883a9719644d71f8e9aab1751d24918159f0bb84619e0,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
d0a51e18205921b6664fd2f6adb48f5a9912ed235ba938cd032350335662e977,python,FAIL,0,0,"native call ""match"" requires linked implementation"
2e24b6e8c1e62b4ada1bd34af879821c7a69e09384dea62a5e2c0e97cfec54b6,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
e423a6ad93d67ee7aaeae1326966094f68dd25cac7c01f1667b8144a0999f87b,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
35a51be97676009b5eaeb5f83fb8d06351fee83edb4fdc5ca07a220728e060a6,python,FAIL,0,0,"native unresolved binding ""case"" node=2"
ee62902259844a159cc8bdb429907dd0517e8c426843539d8a414bf8e699a1d9,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
a2883e2314e9b4b1b98d2c771c73a3545c634592558b2380fbb08c4d61a8e23c,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
a7dedaf1bf2bf78277dbdac084958c69ff91378960a7c1f9b34911716db4c9b0,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
694c3b5f203fc75d99fce8113fe6536d75c51d8abfe9531fa75f80bebd4ddc27,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP node=3 kind=for operation=
19c096cf69781a3fde534e5b2f06db30e9eef7261fe07e8d60d7ff5f9132e90b,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP node=3 kind=for operation=
6dec37f660a2be08bda6d24d5d5728e3407f254fa2d35f8dc087de18c5299636,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
b990fbb19b29809bc91d55b983c6f2590d12884ca3a11379536201f0670e0773,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
9fb3b005ff31ae9de0d9b1909f88e7232b102b02fb763d6c334e2e5daf7ee806,python,FAIL,0,0,"native unresolved binding ""match"" node=1"
ffece1934cf3808101585384e34edbacb0d121d35c08e77570be97a96850405b,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
41409c8a7683973c12c3ae36dd678ea252888188716c9da91f0ae0d5de286343,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
3236ea6038c9145267f3aae752befb61eb5eb7ca2d3f50607033bc83767b0c3a,python,FAIL,0,0,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
8b4899ded6d68f4d5b93603796ac193bfb2d9ea0cb1bdc65ca6a59587e9c992a,python,FAIL,0,0,"native unresolved binding ""print"" node=1"
7dd4bc4b1f2bf4e8847ec2ff3c677ae8c490edb557a383e71add09e821264e18,python,FAIL,0,0,native node 1 missing operand [expression]
bc0fd3116dba86137ff215ff4dab9bc1e86fe67840fee99ce5575148046ba6a1,python,FAIL,0,0,"native unresolved binding ""assert"" node=1"
f513b871a4162a833151cc2c289d584e21429d26e0cd6d87ec2c1b6eb1518c7c,python,FAIL,0,0,"native unresolved binding ""a"" node=1"
12242b04e85598dbd518dfc844fff601b1dc542be895c9a60183f6ced1627f04,python,FAIL,0,0,"native unresolved binding ""del"" node=1"
fddb2c05fa5c29b55eaedea4f2fb2f1ee052adb1b25169d099d3643d5c8139f0,python,FAIL,0,0,native node 1 missing operand [expression]
93cf95013fc6f64e919b796c38bb7536ee0769f9e4bb153ba1846829c615301f,python,FAIL,0,0,"native unresolved binding ""a"" node=2"
f322c089350ef24fe30cd42613307393a0374b0b3cf20de15fc0221e784a971c,python,FAIL,0,0,"native unresolved binding ""a"" node=1"
f669f47f6adafa59867cd0fd2c4a4ed88b8bda3dcdad16f4ccae35b99026d1fd,python,FAIL,0,0,"native unresolved binding ""a"" node=1"
61f7f25e3a2f98ed54a49e51d81154fbdc142ae5ae4954ba7cc21b96817c3a16,python,FAIL,0,0,"native unresolved binding ""a"" node=1"
18011c4aad5da090439ab0aa6e64310e748527da6850980edbd68fb29e4fef9f,python,FAIL,0,0,native node 1 missing operand [expression]
