Language,SemanticFeature,EvidenceState,ProofClass,EvidenceCount,EvidenceIDs
Python,annotation,OBSERVED,EMPIRICALLY_PROVEN,1,E0007
Python,async,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,await,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,binding,OBSERVED,EMPIRICALLY_PROVEN,3,E0002;E0003;E0006
Python,boolean_short_circuit,OBSERVED,EMPIRICALLY_PROVEN,1,E0004
Python,calls,OBSERVED,EMPIRICALLY_PROVEN,1,E0004
Python,capture,OBSERVED,EMPIRICALLY_PROVEN,1,E0006
Python,class_scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0006
Python,classes,OBSERVED,EMPIRICALLY_PROVEN,1,E0004
Python,cleanup,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,compiletime_future,OBSERVED,EMPIRICALLY_PROVEN,1,E0002
Python,compiletime_vs_runtime,OBSERVED,EMPIRICALLY_PROVEN,1,E0007
Python,control_flow,OBSERVED,EMPIRICALLY_PROVEN,2,E0002;E0004
Python,desugaring,OBSERVED,EMPIRICALLY_PROVEN,1,E0004
Python,evaluation_order,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,exception,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,free_variable,OBSERVED,EMPIRICALLY_PROVEN,1,E0003
Python,future_feature,OBSERVED,EMPIRICALLY_PROVEN,1,E0007
Python,global,OBSERVED,EMPIRICALLY_PROVEN,1,E0003
Python,module_scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0006
Python,node_kind,OBSERVED,EMPIRICALLY_PROVEN,1,E0001
Python,nonlocal,OBSERVED,EMPIRICALLY_PROVEN,1,E0003
Python,resource_scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,scope,OBSERVED,EMPIRICALLY_PROVEN,2,E0003;E0006
Python,source_structure,OBSERVED,EMPIRICALLY_PROVEN,1,E0001
Python,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0001
