language_id,canonical_semantic_id,corpus_observed,previous_baseline_present,delta_new_observation,package_count,occurrences
julia,UASF_0022,1,0,1,3,6
julia,UASF_0051,1,0,1,6,199
julia,UASF_0119,1,0,1,6,24402
julia,UASF_0151,1,0,1,3,23
julia,UASF_0182,1,0,1,6,6132
julia,UASF_0183,1,0,1,6,810
julia,UASF_0217,1,0,1,6,2655
julia,UASF_0218,1,0,1,6,538
julia,UASF_0302,1,0,1,6,386
julia,UASF_0304,1,0,1,6,1818
julia,UASF_0305,1,0,1,6,512
julia,UASF_0306,1,0,1,6,13359
julia,UASF_0308,1,0,1,6,357
nim,UASF_0026,1,0,1,5,10
nim,UASF_0118,1,0,1,6,1173
nim,UASF_0119,1,0,1,6,590
nim,UASF_0151,1,0,1,4,447
nim,UASF_0183,1,0,1,6,704
nim,UASF_0207,1,0,1,6,572
nim,UASF_0217,1,0,1,6,160
nim,UASF_0223,1,0,1,6,137
nim,UASF_0304,1,0,1,6,1865
nim,UASF_0305,1,0,1,6,1982
nim,UASF_0306,1,0,1,6,4767
nim,UASF_0308,1,0,1,6,401
nim,UASF_0309,1,0,1,6,123
swift,UASF_0048,1,0,1,6,66
swift,UASF_0151,1,0,1,6,2664
swift,UASF_0182,1,0,1,6,1327
swift,UASF_0183,1,0,1,6,11105
swift,UASF_0208,1,0,1,6,5243
swift,UASF_0217,1,0,1,6,3538
swift,UASF_0219,1,0,1,6,6111
swift,UASF_0222,1,0,1,4,4069
swift,UASF_0301,1,0,1,6,3634
swift,UASF_0304,1,0,1,6,3492
swift,UASF_0305,1,0,1,6,3529
swift,UASF_0306,1,0,1,6,10463
swift,UASF_0307,1,0,1,6,188
swift,UASF_0308,1,0,1,6,1340
swift,UASF_0309,1,0,1,6,360
swift,UASF_0311,1,0,1,6,838
zig,UASF_0022,1,0,1,5,2218
zig,UASF_0024,1,0,1,5,4815
zig,UASF_0118,1,0,1,5,5093
zig,UASF_0153,1,0,1,4,6
zig,UASF_0154,1,0,1,5,68
zig,UASF_0178,1,0,1,5,5857
zig,UASF_0183,1,0,1,5,77948
zig,UASF_0206,1,0,1,5,587
zig,UASF_0208,1,0,1,5,11885
zig,UASF_0219,1,0,1,5,18345
zig,UASF_0305,1,0,1,5,769
zig,UASF_0306,1,0,1,5,23722
zig,UASF_0308,1,0,1,5,6443
zig,UASF_0309,1,0,1,5,1280
