demand_id,earliest_stage,root_cause_kind,required_semantic_facts,semantic_operations,primitive_demand,minimal_witness_case,violated_truths
RC0001,V0_SOURCE_PARSE,SEMANTIC_ROOT_CAUSE,PARSE_WITHOUT_CANONICAL_UAST,,,04963a27fcb254e9c27d3ed7d84b1eadcfbfe825174ad3eb058e51093d61d9f9,
RC0002,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET,UNSUPPORTED.ASSIGN.TARGET,,06beed9f0d4ce09c0d919126ec6c18fd9da326ea7bb968edbfad6297a4cde790,
RC0003,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET+UNSUPPORTED.BINARY.LEFT,ASSIGNMENT|LITERAL|LOAD|UNSUPPORTED.ASSIGN.TARGET|UNSUPPORTED.BINARY.LEFT,ASSIGNMENT()|LITERAL(number)|LOAD(),72d07b730daa8d6df99a8de7dfb49911f0974627e15483b39a49b5951c979bca,
RC0004,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET+UNSUPPORTED.EXPRESSION.OPERAND,UNSUPPORTED.ASSIGN.TARGET|UNSUPPORTED.EXPRESSION.OPERAND,,08a1bb8b1e94f5b7bacdab1686d7d403ad2b3e7fa31dd83a125d856d653f8d2f,
RC0005,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET+UNSUPPORTED.EXPRESSION.OPERAND+UNSUPPORTED.IF.CONDITION,ASSIGNMENT|LOAD|UNSUPPORTED.ASSIGN.TARGET|UNSUPPORTED.EXPRESSION.OPERAND|UNSUPPORTED.IF.CONDITION,ASSIGNMENT()|LOAD(),89cd50a3c0c7796a620c0037fe75013fed43d877388f75c91faefa44f2bae5fb,
RC0006,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET+UNSUPPORTED.EXPRESSION.OPERAND+UNSUPPORTED.WHILE.CONDITION,ADD|ASSIGNMENT|LOAD|UNSUPPORTED.ASSIGN.TARGET|UNSUPPORTED.EXPRESSION.OPERAND|UNSUPPORTED.WHILE.CONDITION,ADD()|ASSIGNMENT()|LOAD(),77aa6e978e6139abcb5b8464755320c96a9dccbfb74e421d89dd0f397db90855,
RC0007,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET+UNSUPPORTED.IF.CONDITION,UNSUPPORTED.ASSIGN.TARGET|UNSUPPORTED.IF.CONDITION,,380fca17fd1e1b18152731c68ae9af96c2745855e1464b628ebf842c55ff9dd7,
RC0008,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.ASSIGN.TARGET+UNSUPPORTED.WHILE.CONDITION,ASSIGNMENT|CALL|LOAD|UNSUPPORTED.ASSIGN.TARGET|UNSUPPORTED.WHILE.CONDITION,ASSIGNMENT()|CALL()|LOAD(),95aadc9e4f7ca584e90ba05ef7d150b283facc845b4780c16de9a6f7f06b7b66,
RC0009,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.BINARY.LEFT,ADD|ASSIGNMENT|LOAD|UNSUPPORTED.BINARY.LEFT,ADD()|ASSIGNMENT()|LOAD(),00246e281650aa03700d3abb8be47d71002ebc1f19f4a65a435c22a6a13c83f4,
RC0010,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.BINARY.LEFT+UNSUPPORTED.EXPRESSION.OPERAND,CALL|LOAD|UNSUPPORTED.BINARY.LEFT|UNSUPPORTED.EXPRESSION.OPERAND,CALL()|LOAD(),975d0af6cccaf6690064fe867f30d52f513ab28717ac33f655cbdcf5c9ba06fb,
RC0011,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.EXPRESSION.OPERAND,LOAD|UNSUPPORTED.EXPRESSION.OPERAND,LOAD(),00224e4530c0ea26deb201e8b68c5dd6017f620d4c99715548453e25b0a08f2b,
RC0012,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.EXPRESSION.OPERAND+UNSUPPORTED.IF.CONDITION,CALL|LOAD|UNSUPPORTED.EXPRESSION.OPERAND|UNSUPPORTED.IF.CONDITION,CALL()|LOAD(),0252810a9dff30a11711476b3fcd63312529784d3184d4ae5a0778b5887ba6a1,
RC0013,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.EXPRESSION.OPERAND+UNSUPPORTED.WHILE.CONDITION,CALL|ITERATION|LITERAL|LOAD|UNSUPPORTED.EXPRESSION.OPERAND|UNSUPPORTED.WHILE.CONDITION,CALL()|ITERATION()|LITERAL(number)|LOAD(),47dbb4dce6dbd51647f79daef47fc821037ea3a574ac45b4caf0cfc24e596c0d,
RC0014,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.FOR.ITERABLE,AND|ASSIGNMENT|CALL|LOAD|UNSUPPORTED.FOR.ITERABLE,AND()|ASSIGNMENT()|CALL()|LOAD(),166c6f59283de4f9a93946a06c47cfcdd3db7cc0cd28f1351885a0ccb00f222d,
RC0015,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.FOR.ITERABLE+UNSUPPORTED.WHILE.CONDITION,ASSIGNMENT|LITERAL|LOAD|UNSUPPORTED.FOR.ITERABLE|UNSUPPORTED.WHILE.CONDITION,ASSIGNMENT()|LITERAL(number)|LOAD(),2e4f5a443d96d18264aae904612e5a5f579e1e4ce8f19e5afed0dbe9ce965d38,
RC0016,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.IF.CONDITION,ASSIGNMENT|LITERAL|LOAD|UNSUPPORTED.IF.CONDITION,ASSIGNMENT()|LITERAL(number)|LITERAL(string)|LOAD(),2d367ffbed3c723f18872d529eb368751e8a79b009c8ad115b136dc9af4d5f16,
RC0017,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,CANONICAL_SEMANTIC_LOSS:UNSUPPORTED.WHILE.CONDITION,CALL|LOAD|UNSUPPORTED.WHILE.CONDITION,CALL()|LOAD(),02019535d7dd1964ecfe3e75aae2c64ff30dfd0a0949f8963eab4532f3c7d704,
RC0018,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PARSER_STRUCTURED_FACT_GAP:aggregate/expression,LITERAL|LOAD|UNSUPPORTED.EXPRESSION.OPERAND,LITERAL(number)|LOAD(),edff3ff74e8706b70a249450508321f1ee631da8199128224b345aa3a49cbc50,
RC0019,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:%%()|%/%()|LOAD(),%%|%/%|LOAD,%%()|%/%()|LOAD(),c3d2a7f673445b910dd1c76f7476ceca56319f9e5e8444d657877a01ef3f9fd0,
RC0020,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:@()|ASSIGNMENT()|LOAD(),@|ASSIGNMENT|LOAD,@()|ASSIGNMENT()|LOAD(),05130eeee87f34fd720765d77a6935d2973c6a18561fc181bb78a8315d3aad6b,
RC0021,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:@()|LOAD(),@|LOAD,@()|LOAD(),1e38d2eabef461f9bcc8ae4878a2a16342e0ccdc5a9d98151c79a0a239b227bd,
RC0022,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|AND()|ASSIGNMENT()|CALL()|GE()|LE()|LITERAL(number)|LOAD()|MUL()|NOT()|OR(),ADD|AND|ASSIGNMENT|CALL|GE|LE|LITERAL|LOAD|MUL|NOT|OR,ADD()|AND()|ASSIGNMENT()|CALL()|GE()|LE()|LITERAL(number)|LOAD()|MUL()|NOT()|OR(),e6c0fa43d17f8ede2bf689bc4b44acfbfda403fcddb1fa3c2b2f890793829954,T0063|T0065|T0067|T0068
