language,construct_id,construct,uast_structures,node_evidence,field_evidence,child_evidence,exact_producer_class,current_status
c,C001,ModuleNamespace,ModuleDecl,0,0,0,producer_001,MISSING_STRUCTURED_PARSER_DATA
c,C002,ImportUse,ImportDecl,0,0,0,producer_002,MISSING_STRUCTURED_PARSER_DATA
c,C003,VariableDeclaration,VariableDecl;VariableDeclGroup,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
c,C004,ConstantDeclaration,ConstantDecl,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
c,C005,Assignment,AssignStmt,0,0,0,producer_004,MISSING_STRUCTURED_PARSER_DATA
c,C006,FunctionDeclaration,FunctionDecl;FunctionType,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
c,C007,MethodDeclaration,MethodDecl,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
c,C008,Parameter,ParameterDecl,0,0,0,producer_006,MISSING_STRUCTURED_PARSER_DATA
c,C009,ClosureLambda,ClosureExpr;CaptureRelation,0,0,0,producer_007,MISSING_STRUCTURED_PARSER_DATA
c,C010,Call,CallExpr;DispatchResolution,0,0,0,producer_008,MISSING_STRUCTURED_PARSER_DATA
c,C011,MemberAccess,MemberAccessExpr,0,0,0,producer_009,MISSING_STRUCTURED_PARSER_DATA
c,C012,Index,IndexExpr;MapIndexExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
c,C013,Slice,SliceExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
c,C014,Literal,LiteralExpr;NilLiteral,0,0,0,producer_011,MISSING_STRUCTURED_PARSER_DATA
c,C015,Tuple,TupleExpr;TupleType;TupleResult,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
c,C016,AggregateCollection,AggregateExpr,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
c,C017,Comprehension,ComprehensionExpr;ForEachStmt,0,0,0,producer_013,MISSING_STRUCTURED_PARSER_DATA
c,C018,IfConditional,IfStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
c,C019,SwitchMatchWhen,SwitchMatchStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
c,C020,PatternDestructuring,BindingPattern,0,0,0,producer_015,MISSING_STRUCTURED_PARSER_DATA
c,C021,ForLoop,LoopStmt;ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
c,C022,ForeachEnhancedFor,ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
c,C023,WhileLoop,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
c,C024,DoRepeatWhile,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
c,C025,Break,BreakStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
c,C026,Continue,ContinueStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
c,C027,Return,ReturnStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
