producer_class,exact_signature,upi_cells
producer_030,00000000000000000000000000000100|false|false|false,13
producer_025,00000000000000000000000000100000|false|false|false,13
producer_026,00000000000000000000000101000000|false|false|false,13
producer_023,00000000000000000000010010000100|false|false|false,26
producer_022,00000000000000000000010100000100|false|false|false,13
producer_029,00000000000000000001000000001000|false|false|false,39
producer_017,00000000000000100000000000000000|false|false|false,52
producer_031,00000000000000100000000000000010|false|false|false,13
producer_019,00000000000000100001000000000000|false|false|false,39
producer_018,00000000000000100010000000000000|false|false|false,65
producer_014,00000000000001000000000000000000|false|false|false,39
producer_028,00000000000010000000000000000100|false|false|false,13
producer_012,00000000000100000000010000000000|false|false|false,65
producer_011,00000000001000000000010000000000|false|false|false,13
producer_032,00000000001100000000000000000100|false|false|false,13
producer_010,00000000010000000000000000000100|false|false|false,26
producer_008,00000001000000000000000000000100|false|false|false,13
producer_033,00010000000000000000010100000001|false|false|false,13
producer_021,00010000000000000000011000000000|false|false|false,39
producer_015,00010000000000000100000000000000|false|false|false,13
producer_016,00010000000011000000000000000000|false|false|false,52
producer_013,00010000000110001000000000000000|false|false|false,13
producer_009,00010000100000000000000000000000|false|false|false,13
producer_007,00010110000000010000000000000000|false|false|false,13
producer_004,00011000000000000000000000000100|false|false|false,13
producer_024,00100000000000000000000001000000|false|false|false,26
producer_027,00100001000000000000000000010000|false|false|false,13
producer_003,00110000000000000000000000000000|false|false|false,26
producer_020,00110000000000000000100000000000|false|false|false,65
producer_006,00110010000000000000010000000000|false|false|false,13
producer_005,00110110000000000000010000000000|false|false|false,26
producer_001,10110000000000000000000000000000|false|false|false,13
producer_002,11110000000000000000000000000000|false|false|false,13
