language,repository,node_type,field,required,multiple,child_type,child_named
r,r-lib/tree-sitter-r,argument,name,False,False,dot_dot_i,True
r,r-lib/tree-sitter-r,argument,name,False,False,dots,True
r,r-lib/tree-sitter-r,argument,name,False,False,identifier,True
r,r-lib/tree-sitter-r,argument,name,False,False,null,True
r,r-lib/tree-sitter-r,argument,name,False,False,string,True
r,r-lib/tree-sitter-r,argument,value,False,False,binary_operator,True
r,r-lib/tree-sitter-r,argument,value,False,False,braced_expression,True
r,r-lib/tree-sitter-r,argument,value,False,False,break,True
r,r-lib/tree-sitter-r,argument,value,False,False,call,True
r,r-lib/tree-sitter-r,argument,value,False,False,complex,True
r,r-lib/tree-sitter-r,argument,value,False,False,dot_dot_i,True
r,r-lib/tree-sitter-r,argument,value,False,False,dots,True
r,r-lib/tree-sitter-r,argument,value,False,False,extract_operator,True
r,r-lib/tree-sitter-r,argument,value,False,False,false,True
r,r-lib/tree-sitter-r,argument,value,False,False,float,True
r,r-lib/tree-sitter-r,argument,value,False,False,for_statement,True
r,r-lib/tree-sitter-r,argument,value,False,False,function_definition,True
r,r-lib/tree-sitter-r,argument,value,False,False,identifier,True
r,r-lib/tree-sitter-r,argument,value,False,False,if_statement,True
r,r-lib/tree-sitter-r,argument,value,False,False,inf,True
r,r-lib/tree-sitter-r,argument,value,False,False,integer,True
r,r-lib/tree-sitter-r,argument,value,False,False,na,True
r,r-lib/tree-sitter-r,argument,value,False,False,namespace_operator,True
r,r-lib/tree-sitter-r,argument,value,False,False,nan,True
r,r-lib/tree-sitter-r,argument,value,False,False,next,True
r,r-lib/tree-sitter-r,argument,value,False,False,null,True
r,r-lib/tree-sitter-r,argument,value,False,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,argument,value,False,False,repeat_statement,True
r,r-lib/tree-sitter-r,argument,value,False,False,string,True
r,r-lib/tree-sitter-r,argument,value,False,False,subset,True
r,r-lib/tree-sitter-r,argument,value,False,False,subset2,True
r,r-lib/tree-sitter-r,argument,value,False,False,true,True
r,r-lib/tree-sitter-r,argument,value,False,False,unary_operator,True
r,r-lib/tree-sitter-r,argument,value,False,False,while_statement,True
r,r-lib/tree-sitter-r,arguments,argument,False,True,argument,True
r,r-lib/tree-sitter-r,arguments,close,True,False,),False
r,r-lib/tree-sitter-r,arguments,close,True,False,],False
r,r-lib/tree-sitter-r,arguments,close,True,False,]],False
r,r-lib/tree-sitter-r,arguments,open,True,False,(,False
r,r-lib/tree-sitter-r,arguments,open,True,False,[,False
r,r-lib/tree-sitter-r,arguments,open,True,False,[[,False
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,binary_operator,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,braced_expression,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,break,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,call,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,complex,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,dots,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,extract_operator,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,false,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,float,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,for_statement,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,function_definition,True
