language,repository,node_type,named,has_fields,has_children,has_subtypes,payload_json
r,r-lib/tree-sitter-r,argument,True,True,False,False,"{""type"":""argument"",""named"":true,""fields"":{""name"":{""multiple"":false,""required"":false,""types"":[{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""null"",""named"":true},{""type"":""string"",""named"":true}]},""value"":{""multiple"":false,""required"":false,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]}}}"
r,r-lib/tree-sitter-r,arguments,True,True,True,False,"{""type"":""arguments"",""named"":true,""fields"":{""argument"":{""multiple"":true,""required"":false,""types"":[{""type"":""argument"",""named"":true}]},""close"":{""multiple"":false,""required"":true,""types"":[{""type"":"")"",""named"":false},{""type"":""]"",""named"":false},{""type"":""]]"",""named"":false}]},""open"":{""multiple"":false,""required"":true,""types"":[{""type"":""("",""named"":false},{""type"":""["",""named"":false},{""type"":""[["",""named"":false}]}},""children"":{""multiple"":true,""required"":false,""types"":[{""type"":""comma"",""named"":true}]}}"
r,r-lib/tree-sitter-r,binary_operator,True,True,False,False,"{""type"":""binary_operator"",""named"":true,""fields"":{""lhs"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]},""operator"":{""multiple"":false,""required"":true,""types"":[{""type"":""!="",""named"":false},{""type"":""&"",""named"":false},{""type"":""&&"",""named"":false},{""type"":""*"",""named"":false},{""type"":""**"",""named"":false},{""type"":""+"",""named"":false},{""type"":""-"",""named"":false},{""type"":""->"",""named"":false},{""type"":""->>"",""named"":false},{""type"":""/"",""named"":false},{""type"":"":"",""named"":false},{""type"":"":="",""named"":false},{""type"":""<"",""named"":false},{""type"":""<-"",""named"":false},{""type"":""<<-"",""named"":false},{""type"":""<="",""named"":false},{""type"":""="",""named"":false},{""type"":""=="",""named"":false},{""type"":"">"",""named"":false},{""type"":"">="",""named"":false},{""type"":""?"",""named"":false},{""type"":""^"",""named"":false},{""type"":""special"",""named"":false},{""type"":""|"",""named"":false},{""type"":""|>"",""named"":false},{""type"":""||"",""named"":false},{""type"":""~"",""named"":false}]},""rhs"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]}}}"
r,r-lib/tree-sitter-r,braced_expression,True,True,False,False,"{""type"":""braced_expression"",""named"":true,""fields"":{""body"":{""multiple"":true,""required"":false,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]},""close"":{""multiple"":false,""required"":true,""types"":[{""type"":""}"",""named"":false}]},""open"":{""multiple"":false,""required"":true,""types"":[{""type"":""{"",""named"":false}]}}}"
r,r-lib/tree-sitter-r,call,True,True,False,False,"{""type"":""call"",""named"":true,""fields"":{""arguments"":{""multiple"":false,""required"":true,""types"":[{""type"":""arguments"",""named"":true}]},""function"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]}}}"
r,r-lib/tree-sitter-r,complex,True,False,False,False,"{""type"":""complex"",""named"":true,""fields"":{}}"
r,r-lib/tree-sitter-r,extract_operator,True,True,False,False,"{""type"":""extract_operator"",""named"":true,""fields"":{""lhs"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]},""operator"":{""multiple"":false,""required"":true,""types"":[{""type"":""$"",""named"":false},{""type"":""@"",""named"":false}]},""rhs"":{""multiple"":false,""required"":false,""types"":[{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""string"",""named"":true}]}}}"
r,r-lib/tree-sitter-r,float,True,False,False,False,"{""type"":""float"",""named"":true,""fields"":{}}"
r,r-lib/tree-sitter-r,for_statement,True,True,False,False,"{""type"":""for_statement"",""named"":true,""fields"":{""body"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]},""close"":{""multiple"":false,""required"":true,""types"":[{""type"":"")"",""named"":false}]},""open"":{""multiple"":false,""required"":true,""types"":[{""type"":""("",""named"":false}]},""sequence"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]},""variable"":{""multiple"":false,""required"":true,""types"":[{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""identifier"",""named"":true}]}}}"
r,r-lib/tree-sitter-r,function_definition,True,True,False,False,"{""type"":""function_definition"",""named"":true,""fields"":{""body"":{""multiple"":false,""required"":true,""types"":[{""type"":""binary_operator"",""named"":true},{""type"":""braced_expression"",""named"":true},{""type"":""break"",""named"":true},{""type"":""call"",""named"":true},{""type"":""complex"",""named"":true},{""type"":""dot_dot_i"",""named"":true},{""type"":""dots"",""named"":true},{""type"":""extract_operator"",""named"":true},{""type"":""false"",""named"":true},{""type"":""float"",""named"":true},{""type"":""for_statement"",""named"":true},{""type"":""function_definition"",""named"":true},{""type"":""identifier"",""named"":true},{""type"":""if_statement"",""named"":true},{""type"":""inf"",""named"":true},{""type"":""integer"",""named"":true},{""type"":""na"",""named"":true},{""type"":""namespace_operator"",""named"":true},{""type"":""nan"",""named"":true},{""type"":""next"",""named"":true},{""type"":""null"",""named"":true},{""type"":""parenthesized_expression"",""named"":true},{""type"":""repeat_statement"",""named"":true},{""type"":""string"",""named"":true},{""type"":""subset"",""named"":true},{""type"":""subset2"",""named"":true},{""type"":""true"",""named"":true},{""type"":""unary_operator"",""named"":true},{""type"":""while_statement"",""named"":true}]},""name"":{""multiple"":false,""required"":true,""types"":[{""type"":""\\"",""named"":false},{""type"":""function"",""named"":false}]},""parameters"":{""multiple"":false,""required"":true,""types"":[{""type"":""parameters"",""named"":true}]}}}"
