language,repository,rule,atom_count,max_depth,symbol_ref_count,field_count,operators,operator_counts_json,symbol_refs,fields,rule_json
r,r-lib/tree-sitter-r,program,7,3,4,0,CHOICE|REPEAT|SEQ|SYMBOL,"{""CHOICE"":1,""REPEAT"":1,""SEQ"":1,""SYMBOL"":4}",_expression|_newline|_semicolon|_start,,"{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_start""},{""type"":""REPEAT"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_expression""},{""type"":""SYMBOL"",""name"":""_semicolon""},{""type"":""SYMBOL"",""name"":""_newline""}]}}]}"
r,r-lib/tree-sitter-r,function_definition,14,4,3,3,CHOICE|FIELD|PREC_LEFT|REPEAT|SEQ|STRING|SYMBOL,"{""CHOICE"":1,""FIELD"":3,""PREC_LEFT"":1,""REPEAT"":2,""SEQ"":1,""STRING"":2,""SYMBOL"":4}",_expression|_newline|parameters,body|name|parameters,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}]}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""parameters"",""content"":{""type"":""SYMBOL"",""name"":""parameters""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,parameters,15,6,4,3,BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL,"{""BLANK"":1,""CHOICE"":1,""FIELD"":4,""REPEAT"":1,""SEQ"":3,""SYMBOL"":5}",_close_parenthesis|_open_parenthesis|comma|parameter,close|open|parameter,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}]}}]},{""type"":""BLANK""}]},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}]}"
r,r-lib/tree-sitter-r,parameter,3,1,2,0,CHOICE|SYMBOL,"{""CHOICE"":1,""SYMBOL"":2}",_parameter_with_default|_parameter_without_default,,"{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_parameter_with_default""},{""type"":""SYMBOL"",""name"":""_parameter_without_default""}]}"
r,r-lib/tree-sitter-r,_parameter_with_default,5,2,2,1,FIELD|SEQ|STRING|SYMBOL,"{""FIELD"":1,""SEQ"":1,""STRING"":1,""SYMBOL"":2}",_expression|_parameter_name,default,"{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_parameter_name""},{""type"":""STRING"",""value"":""=""},{""type"":""FIELD"",""name"":""default"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}"
r,r-lib/tree-sitter-r,_parameter_without_default,1,0,1,0,SYMBOL,"{""SYMBOL"":1}",_parameter_name,,"{""type"":""SYMBOL"",""name"":""_parameter_name""}"
r,r-lib/tree-sitter-r,_parameter_name,2,1,1,1,FIELD|SYMBOL,"{""FIELD"":1,""SYMBOL"":1}",_identifier,name,"{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}}"
r,r-lib/tree-sitter-r,if_statement,23,5,5,5,BLANK|CHOICE|FIELD|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL,"{""BLANK"":1,""CHOICE"":1,""FIELD"":5,""PREC_RIGHT"":1,""REPEAT"":3,""SEQ"":2,""STRING"":1,""SYMBOL"":9}",_close_parenthesis|_else|_expression|_newline|_open_parenthesis,alternative|close|condition|consequence|open,"{""type"":""PREC_RIGHT"",""value"":3,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""if""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""consequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_else""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]},{""type"":""BLANK""}]}]}}"
r,r-lib/tree-sitter-r,for_statement,18,3,5,5,FIELD|PREC_LEFT|REPEAT|SEQ|STRING|SYMBOL,"{""FIELD"":5,""PREC_LEFT"":1,""REPEAT"":2,""SEQ"":1,""STRING"":2,""SYMBOL"":7}",_close_parenthesis|_expression|_identifier|_newline|_open_parenthesis,body|close|open|sequence|variable,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""for""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""variable"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}},{""type"":""STRING"",""value"":""in""},{""type"":""FIELD"",""name"":""sequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,while_statement,15,3,4,4,FIELD|PREC_LEFT|REPEAT|SEQ|STRING|SYMBOL,"{""FIELD"":4,""PREC_LEFT"":1,""REPEAT"":2,""SEQ"":1,""STRING"":1,""SYMBOL"":6}",_close_parenthesis|_expression|_newline|_open_parenthesis,body|close|condition|open,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""while""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
