rank,semanticprogram_axis,gap_weight,normalized_share
1,evaluation.order,14.731219,0.12590919
2,types.structure,11.434358,0.09773060
3,data.flow,10.218373,0.08733745
4,nodes.expression,10.218373,0.08733745
5,operations,10.218373,0.08733745
6,scope.binding,9.653394,0.08250852
7,nodes.declaration,7.687791,0.06570831
8,control.flow,4.512845,0.03857174
9,effects.control,4.512845,0.03857174
10,conversion.semantics,3.746568,0.03202229
11,types.origin,3.746568,0.03202229
12,effect.graph,2.641224,0.02257480
13,purity,2.641224,0.02257480
14,runtime.contract,2.641224,0.02257480
15,binding.graph,1.965603,0.01680021
16,capture.shadowing,1.965603,0.01680021
17,abi.ffi,1.865775,0.01594696
18,memory.model,1.865775,0.01594696
19,ownership.lifetime,1.865775,0.01594696
20,concurrency.model,1.701017,0.01453876
21,memory.ordering,1.701017,0.01453876
22,synchronization,1.701017,0.01453876
23,compiletime.semantics,1.254265,0.01072033
24,dialect.extension,1.254265,0.01072033
25,lowering.pipeline,1.254265,0.01072033
