rank,cluster,matrix_gap_score,feature_count,features_by_gap,dominant_semanticprogram_axes,dominant_families,codex_matrix_instruction,acceptance_matrix
1,CL01,11.122558,24,class;import;module;attribute_annotation;generic;interface_trait;function;visibility;cast_conversion;subtyping;constant;optional_nullable;parameter;variable;function_type;generic_constraint;primitive_integer;primitive_float;type_inference;overload_resolution;array_type;union_sum;map_type;primitive_string,types.structure;nodes.declaration;scope.binding;conversion.semantics;types.origin;nodes.expression;evaluation.order,declarations_modules;typing_generics,"First-class declaration/type layer: modules/imports/classes/annotations/type parameters, declaration timing, rich signatures and structured type bindings. Do not encode these as strings or opaque attributes when they are general language semantics.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
2,CL02,5.246046,11,tuple;map_dict;comprehension;slice;index;assignment;binary_op;identifier;unary_op;array_list;call,data.flow;evaluation.order;operations;nodes.expression,collections_indexing;expression_core;bindings_scopes,"First-class aggregate/expression layer: tuple/list/dict/set, slice, comprehension, member access and exact argument/index evaluation. Lower from typed source events directly into SemanticProgram nodes.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
3,CL03,3.445952,5,exception_try;throw_raise;defer_cleanup;foreach_iteration;for,control.flow;evaluation.order;effects.control,exceptions_cleanup;control_core,First-class exception/cleanup control-flow: try/except/finally/raise plus cleanup edges and error model. Recompute control/effect matrices from nodes.,"Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
4,CL04,2.641224,10,mutation;network;io;random;reflection;filesystem;allocation;global_state;time;dynamic_dispatch,effect.graph;purity;runtime.contract,effects_runtime,"Expand effect/runtime contracts as explicit semantic operations/effects, keeping purity conservative and separating observable behavior from library naming.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
5,CL05,1.965603,6,capture;scope;symbol_table;shadowing;lifetime;name_resolution,binding.graph;capture.shadowing;scope.binding,bindings_scopes,Upgrade lexical-candidate bindings to exact definition/use/capture/shadowing/declaration-timing evidence with stable binding IDs and closure environment semantics.,"Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
6,CL06,1.821020,2,yield;await,data.flow;evaluation.order;operations;nodes.expression,async_generators,"Add coroutine/generator semantics: await, yield, yield-from, suspension/resumption state, evaluation order and effect/control edges; capability-gate every backend.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
7,CL07,1.522258,2,pattern;switch_match,evaluation.order;data.flow;operations;nodes.expression;effects.control;control.flow,patterns_matching,"Add pattern/match semantic nodes and binding patterns, guards, destructuring and control-flow edges; preserve single-evaluation semantics.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
8,CL08,1.353193,3,task_async;thread;lock_mutex,concurrency.model;memory.ordering;synchronization,concurrency;async_generators,Model concurrency as a separate capability/dialect or core contract: tasks/threads/synchronization/memory-ordering; do not infer safety from target syntax.,"Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
9,CL09,0.592766,1,closure_lambda,data.flow;evaluation.order;operations;nodes.expression,,"Make lambda/function-expression semantics exact, including captures, defaults, evaluation timing and lexical environment.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
10,CL10,0.393113,1,gc,abi.ffi;memory.model;ownership.lifetime,memory_abi,"Keep GC/memory-management primarily as runtime/target contract, not Python syntax; represent observable lifetime/finalization semantics only when source evidence proves them.","Re-run full CPython Language Semantic Matrix; recompute feature/axis gaps; require reduced cluster gap with deterministic SemanticProgram JSON, evidence validation, RunSemantic parity for supported nodes, and explicit backend capability rejection where unsupported."
