rank,grammar_rule,file,line,gap_score,mapped_features,definition
1,yield_stmt,Grammar/python.gram,213,1.031600,yield,"y=yield_expr { _PyAST_Expr(y, EXTRA) }"
2,annotated_rhs,Grammar/python.gram,168,1.031600,yield,yield_expr | star_expressions
3,lambda_param,Grammar/python.gram,965,0.827310,function;literal_null,"a=NAME { _PyAST_arg(a->v.Name.id, NULL, NULL, EXTRA) }"
4,result,Grammar/python.gram,21,0.548371,function,func_type_rule(p);
5,func_type,Grammar/python.gram,92,0.548371,function,"'(' a=[type_expressions] ')' '->' b=expression NEWLINE* ENDMARKER { _PyAST_FunctionType(a, b, p->arena) }"
6,star_targets_list_seq,Grammar/python.gram,1124,0.312160,array_list,"a[asdl_expr_seq*]=','.star_target+ [','] { a }"
7,param_star_annotation,Grammar/python.gram,378,0.278939,literal_null,"a=NAME b=star_annotation { _PyAST_arg(a->v.Name.id, b, NULL, EXTRA) }"
8,param,Grammar/python.gram,377,0.278939,literal_null,"a=NAME b=annotation? { _PyAST_arg(a->v.Name.id, b, NULL, EXTRA) }"
9,string,Grammar/python.gram,1011,0.238963,literal_string,"s[Token*]=STRING { _PyPegen_constant_from_string(p, s) }"
10,guard,Grammar/python.gram,502,0.115519,if,'if' guard=named_expression { guard }
11,eval,Grammar/python.gram,91,0.000000,,"a=expressions NEWLINE* ENDMARKER { _PyAST_Expression(a, p->arena) }"
12,result,Grammar/python.gram,19,0.000000,,eval_rule(p);
13,nonlocal_stmt,Grammar/python.gram,206,0.000000,,"'nonlocal' a[asdl_expr_seq*]=','.NAME+ {"
14,interactive,Grammar/python.gram,90,0.000000,,"a=statement_newline { _PyAST_Interactive(a, p->arena) }"
15,file,Grammar/python.gram,89,0.000000,,"a=[statements] ENDMARKER { _PyPegen_make_module(p, a) }"
16,result,Grammar/python.gram,17,0.000000,,interactive_rule(p);
17,decorators,Grammar/python.gram,271,0.000000,,a[asdl_expr_seq*]=('@' f=named_expression NEWLINE { f })+ { a }
18,annotation,Grammar/python.gram,379,0.000000,,':' a=expression { a }
19,star_annotation,Grammar/python.gram,380,0.000000,,':' a=star_expression { a }
20,default,Grammar/python.gram,381,0.000000,,'=' a=expression { a } | invalid_default
21,type_param_seq,Grammar/python.gram,693,0.000000,,"a[asdl_type_param_seq*]=','.type_param+ [','] { a }"
22,type_param_bound,Grammar/python.gram,701,0.000000,,':' e=expression { e }
23,type_param_default,Grammar/python.gram,702,0.000000,,'=' e=expression {
24,type_param_starred_default,Grammar/python.gram,704,0.000000,,'=' e=star_expression {
25,star_named_expressions,Grammar/python.gram,741,0.000000,,"a[asdl_expr_seq*]=','.star_named_expression+ [','] { a }"
26,star_named_expressions_sequence,Grammar/python.gram,743,0.000000,,"a[asdl_expr_seq*]=','.star_named_expression_sequence+ [','] { a }"
27,eq_bitwise_or,Grammar/python.gram,805,0.000000,,"'==' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, Eq, a) }"
28,lte_bitwise_or,Grammar/python.gram,808,0.000000,,"'<=' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, LtE, a) }"
29,lt_bitwise_or,Grammar/python.gram,809,0.000000,,"'<' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, Lt, a) }"
30,global_stmt,Grammar/python.gram,203,0.000000,,"'global' a[asdl_expr_seq*]=','.NAME+ {"
31,statements,Grammar/python.gram,97,0.000000,,"a=statement+ { (asdl_stmt_seq*)_PyPegen_seq_flatten(p, a) }"
32,result,Grammar/python.gram,15,0.000000,,file_rule(p);
33,notin_bitwise_or,Grammar/python.gram,812,0.000000,,"'not' 'in' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, NotIn, a) }"
34,gt_bitwise_or,Grammar/python.gram,811,0.000000,,"'>' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, Gt, a) }"
35,gte_bitwise_or,Grammar/python.gram,810,0.000000,,"'>=' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, GtE, a) }"
36,isnot_bitwise_or,Grammar/python.gram,814,0.000000,,"'is' 'not' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, IsNot, a) }"
37,is_bitwise_or,Grammar/python.gram,815,0.000000,,"'is' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, Is, a) }"
38,set,Grammar/python.gram,1024,0.000000,,"'{' a=star_named_expressions_sequence '}' { _PyAST_Set(a, EXTRA) }"
39,double_starred_kvpairs,Grammar/python.gram,1037,0.000000,,"a=','.double_starred_kvpair+ [','] { a }"
40,in_bitwise_or,Grammar/python.gram,813,0.000000,,"'in' a=bitwise_or { _PyPegen_cmpop_expr_pair(p, In, a) }"
41,kvpair,Grammar/python.gram,1043,0.000000,,"a=expression ':' b=expression { _PyPegen_key_value_pair(p, a, b) }"
42,t_lookahead,Grammar/python.gram,1167,0.000000,,'(' | '[' | '.'
43,del_targets,Grammar/python.gram,1172,0.000000,,"a[asdl_expr_seq*]=','.del_target+ [','] { a }"
44,invalid_parameters_helper,Grammar/python.gram,1386,0.000000,,# This is only there to avoid type errors
