table_index,name,kernel,routed,explicit_cpp_handler,fallback
0,if,language,1,0,explicit_error
1,while,language,1,0,explicit_error
2,for,language,1,0,explicit_error
3,repeat,language,1,0,explicit_error
4,break,language,1,0,explicit_error
5,next,language,1,0,explicit_error
6,return,language,1,0,explicit_error
7,function,language,1,0,explicit_error
8,<-,replacement,1,0,explicit_error
9,=,language,1,0,explicit_error
10,<<-,replacement,1,0,explicit_error
11,{,language,1,0,explicit_error
12,(,language,1,0,explicit_error
13,.subset,subset,1,0,explicit_error
14,.subset2,subset,1,0,explicit_error
15,[,subset,1,0,explicit_error
16,[[,subset,1,0,explicit_error
17,$,subset,1,0,explicit_error
18,@,language,1,0,explicit_error
19,[<-,replacement,1,0,explicit_error
20,[[<-,replacement,1,0,explicit_error
21,$<-,replacement,1,0,explicit_error
22,switch,language,1,0,explicit_error
23,browser,language,1,0,explicit_error
24,.primTrace,runtime,1,0,explicit_error
25,.primUntrace,runtime,1,0,explicit_error
26,.Internal,language,1,0,explicit_error
27,.Primitive,runtime,1,0,explicit_error
28,call,language,1,0,explicit_error
29,quote,language,1,0,explicit_error
30,substitute,character,1,0,explicit_error
31,missing,language,1,0,explicit_error
32,nargs,runtime,1,0,explicit_error
33,on.exit,language,1,0,explicit_error
34,forceAndCall,language,1,1,none
35,declare,language,1,0,explicit_error
36,stop,runtime,1,1,none
37,warning,runtime,1,1,none
38,gettext,environment,1,0,explicit_error
39,ngettext,environment,1,0,explicit_error
40,bindtextdomain,runtime,1,0,explicit_error
41,.addCondHands,runtime,1,0,explicit_error
42,.addGlobHands,runtime,1,0,explicit_error
43,.resetCondHands,runtime,1,0,explicit_error
44,.signalCondition,runtime,1,0,explicit_error
45,.dfltStop,runtime,1,0,explicit_error
46,.dfltWarn,runtime,1,0,explicit_error
47,.addRestart,runtime,1,0,explicit_error
48,.getRestart,environment,1,0,explicit_error
49,.invokeRestart,runtime,1,0,explicit_error
50,.addTryHandlers,runtime,1,0,explicit_error
51,geterrmessage,environment,1,0,explicit_error
52,seterrmessage,runtime,1,0,explicit_error
53,printDeferredWarnings,runtime,1,0,explicit_error
54,interruptsSuspended,runtime,1,0,explicit_error
55,as.function.default,runtime,1,0,explicit_error
56,debug,runtime,1,0,explicit_error
57,undebug,runtime,1,0,explicit_error
58,isdebugged,runtime,1,0,explicit_error
59,debugonce,runtime,1,0,explicit_error
60,Recall,language,1,0,explicit_error
61,delayedAssign,runtime,1,0,explicit_error
62,makeLazy,runtime,1,0,explicit_error
63,identical,runtime,1,0,explicit_error
64,C_tryCatchHelper,runtime,1,0,explicit_error
65,getNamespaceValue,environment,1,0,explicit_error
66,+,arithmetic,1,0,explicit_error
67,-,arithmetic,1,0,explicit_error
68,*,arithmetic,1,0,explicit_error
69,/,arithmetic,1,0,explicit_error
70,^,arithmetic,1,0,explicit_error
71,%%,arithmetic,1,0,explicit_error
72,%/%,arithmetic,1,0,explicit_error
73,%*%,matrix,1,0,explicit_error
74,==,relational,1,0,explicit_error
75,!=,relational,1,0,explicit_error
76,<,relational,1,0,explicit_error
77,<=,relational,1,0,explicit_error
78,>=,relational,1,0,explicit_error
79,>,relational,1,0,explicit_error
80,&,logical,1,0,explicit_error
81,|,logical,1,0,explicit_error
82,!,logical,1,0,explicit_error
83,&&,logical-short-circuit,1,0,explicit_error
84,||,logical-short-circuit,1,0,explicit_error
85,:,runtime,1,0,explicit_error
86,~,language,1,0,explicit_error
87,::,language,1,0,explicit_error
88,:::,language,1,0,explicit_error
89,all,logical-reduction,1,1,none
90,any,logical-reduction,1,1,none
91,...elt,environment,1,0,explicit_error
92,...length,environment,1,0,explicit_error
93,...names,attribute,1,0,explicit_error
94,length,matrix,1,1,none
95,length<-,replacement,1,0,explicit_error
96,oldClass,attribute,1,0,explicit_error
97,oldClass<-,replacement,1,0,explicit_error
98,class,attribute,1,1,none
99,.cache_class,attribute,1,0,explicit_error
100,.class2,attribute,1,0,explicit_error
101,class<-,replacement,1,0,explicit_error
102,unclass,attribute,1,0,explicit_error
103,names,attribute,1,0,explicit_error
104,names<-,replacement,1,0,explicit_error
105,dimnames,attribute,1,0,explicit_error
106,dimnames<-,replacement,1,0,explicit_error
107,dim,attribute,1,1,none
108,dim<-,replacement,1,0,explicit_error
109,attributes,attribute,1,0,explicit_error
110,attributes<-,replacement,1,0,explicit_error
111,attr,attribute,1,0,explicit_error
112,attr<-,replacement,1,0,explicit_error
113,@<-,replacement,1,0,explicit_error
114,levels<-,replacement,1,0,explicit_error
115,vector,runtime,1,0,explicit_error
116,complex,numeric-complex,1,0,explicit_error
117,matrix,matrix,1,1,none
118,array,matrix,1,0,explicit_error
119,diag,matrix,1,1,none
120,backsolve,matrix,1,0,explicit_error
121,max.col,matrix,1,0,explicit_error
122,row,matrix,1,0,explicit_error
123,col,matrix,1,0,explicit_error
124,unlist,combine,1,0,explicit_error
125,cbind,language,1,0,explicit_error
126,rbind,language,1,0,explicit_error
127,drop,matrix,1,0,explicit_error
128,all.names,attribute,1,0,explicit_error
129,comment,attribute,1,0,explicit_error
130,comment<-,replacement,1,0,explicit_error
131,get,environment,1,0,explicit_error
132,get0,environment,1,0,explicit_error
133,mget,environment,1,0,explicit_error
134,exists,environment,1,0,explicit_error
135,assign,environment,1,0,explicit_error
136,list2env,environment,1,0,explicit_error
137,remove,environment,1,0,explicit_error
138,duplicated,matching,1,0,explicit_error
139,unique,matching,1,1,none
140,anyDuplicated,matching,1,0,explicit_error
141,anyNA,missingness,1,0,explicit_error
142,which,runtime,1,1,none
143,which.min,runtime,1,1,none
144,pmin,reduction,1,1,none
145,pmax,reduction,1,1,none
146,which.max,runtime,1,1,none
147,match,matching,1,1,none
148,pmatch,matching,1,0,explicit_error
149,charmatch,character,1,0,explicit_error
150,match.call,matching,1,0,explicit_error
151,crossprod,matrix,1,0,explicit_error
152,tcrossprod,matrix,1,0,explicit_error
153,asplit,matrix,1,0,explicit_error
154,lengths,matrix,1,1,none
155,sequence,runtime,1,0,explicit_error
156,vhash,matching,1,0,explicit_error
157,attach,environment,1,0,explicit_error
158,detach,environment,1,0,explicit_error
159,search,environment,1,0,explicit_error
160,setFileTime,io,1,0,explicit_error
161,round,numeric-unary,1,1,none
162,signif,numeric-unary,1,0,explicit_error
163,log,numeric-unary,1,1,none
164,log10,numeric-unary,1,1,none
165,log2,numeric-unary,1,1,none
166,abs,numeric-unary,1,1,none
167,floor,numeric-unary,1,1,none
168,ceiling,numeric-unary,1,1,none
169,sqrt,numeric-unary,1,1,none
170,sign,numeric-unary,1,1,none
171,trunc,numeric-unary,1,1,none
172,exp,numeric-unary,1,1,none
173,expm1,numeric-unary,1,1,none
174,log1p,numeric-unary,1,1,none
175,cos,numeric-unary,1,1,none
176,sin,numeric-unary,1,1,none
177,tan,numeric-unary,1,1,none
178,acos,numeric-unary,1,1,none
179,asin,numeric-unary,1,1,none
180,atan,numeric-unary,1,1,none
181,cosh,numeric-unary,1,1,none
182,sinh,numeric-unary,1,1,none
183,tanh,numeric-unary,1,1,none
184,acosh,numeric-unary,1,0,explicit_error
185,asinh,numeric-unary,1,0,explicit_error
186,atanh,numeric-unary,1,0,explicit_error
187,lgamma,numeric-unary,1,1,none
188,gamma,numeric-unary,1,1,none
189,digamma,numeric-unary,1,0,explicit_error
190,trigamma,numeric-unary,1,0,explicit_error
191,cospi,numeric-unary,1,0,explicit_error
192,sinpi,numeric-unary,1,0,explicit_error
193,tanpi,numeric-unary,1,0,explicit_error
194,atan2,numeric-binary,1,0,explicit_error
195,lbeta,numeric-binary,1,0,explicit_error
196,beta,numeric-binary,1,0,explicit_error
197,lchoose,numeric-binary,1,0,explicit_error
