table_index,name,kernel,atomic_operation,required,rust_support
0,if,language,ATTR_DROP,1,0.985
0,if,language,ATTR_POLICY_DROP,1,0.985
0,if,language,LANG_CAPTURE_AST,1,0.94
0,if,language,LANG_SYMBOL_OBJECT,1,0.975
0,if,language,LANG_CALL_OBJECT,1,0.93
0,if,language,CLOSURE_CREATE,1,0.96
0,if,language,CLOSURE_CAPTURE_ENV,1,0.93
0,if,language,CALL_FRAME_CREATE,1,0.95
0,if,language,CALL_FRAME_PARENT,1,0.94
0,if,language,FORMAL_BIND_PROMISES,1,0.91
0,if,language,COERCE_IDENTITY,1,0.985
0,if,language,DOTS_COLLECT,1,0.975
0,if,language,DOTS_ORDER_PRESERVE,1,0.975
0,if,language,DOTS_NAMES_PRESERVE,1,0.985
0,if,language,TRUTH_SCALAR,1,0.975
0,if,language,MISSING_TRUTH_ERROR,1,0.975
0,if,language,CONTROL_BREAK,1,0.975
0,if,language,CONTROL_NEXT,1,0.975
0,if,language,CONTROL_RETURN,1,0.975
0,if,language,PROMISE_CREATE,1,0.94
0,if,language,PROMISE_FORCE,1,0.92
0,if,language,PROMISE_CACHE,1,0.95
0,if,language,PROMISE_RECURSION_GUARD,1,0.88
0,if,language,ENV_LOOKUP_LOCAL,1,0.975
0,if,language,ENV_LOOKUP_PARENT,1,0.95
0,if,language,ACTIVE_BINDING_READ,1,0.86
0,if,language,ENV_ASSIGN_LOCAL,1,0.975
0,if,language,ENV_SUPERASSIGN,1,0.93
0,if,language,ACTIVE_BINDING_WRITE,1,0.84
0,if,language,SYMBOL_LOOKUP,1,0.975
0,if,language,PRIMITIVE_LOOKUP,1,0.975
0,if,language,SHAPE_SCALAR,1,0.975
1,while,language,ATTR_DROP,1,0.985
1,while,language,ATTR_POLICY_DROP,1,0.985
1,while,language,LANG_CAPTURE_AST,1,0.94
1,while,language,LANG_SYMBOL_OBJECT,1,0.975
1,while,language,LANG_CALL_OBJECT,1,0.93
1,while,language,CLOSURE_CREATE,1,0.96
1,while,language,CLOSURE_CAPTURE_ENV,1,0.93
1,while,language,CALL_FRAME_CREATE,1,0.95
1,while,language,CALL_FRAME_PARENT,1,0.94
1,while,language,FORMAL_BIND_PROMISES,1,0.91
1,while,language,COERCE_IDENTITY,1,0.985
1,while,language,TRUTH_SCALAR,1,0.975
1,while,language,MISSING_TRUTH_ERROR,1,0.975
1,while,language,CONTROL_BREAK,1,0.975
1,while,language,CONTROL_NEXT,1,0.975
1,while,language,CONTROL_RETURN,1,0.975
1,while,language,PROMISE_CREATE,1,0.94
1,while,language,PROMISE_FORCE,1,0.92
1,while,language,PROMISE_CACHE,1,0.95
1,while,language,PROMISE_RECURSION_GUARD,1,0.88
1,while,language,ENV_LOOKUP_LOCAL,1,0.975
1,while,language,ENV_LOOKUP_PARENT,1,0.95
1,while,language,ACTIVE_BINDING_READ,1,0.86
1,while,language,ENV_ASSIGN_LOCAL,1,0.975
1,while,language,ENV_SUPERASSIGN,1,0.93
1,while,language,ACTIVE_BINDING_WRITE,1,0.84
1,while,language,ARG_MATCH_EXACT,1,0.975
1,while,language,ARG_MATCH_PARTIAL_UNIQUE,1,0.975
1,while,language,ARG_MATCH_PARTIAL_AMBIGUITY,1,0.94
1,while,language,ARG_MATCH_POSITIONAL,1,0.975
1,while,language,SYMBOL_LOOKUP,1,0.975
1,while,language,PRIMITIVE_LOOKUP,1,0.975
1,while,language,SHAPE_SCALAR,1,0.975
2,for,language,ATTR_DROP,1,0.985
2,for,language,ATTR_POLICY_DROP,1,0.985
2,for,language,LANG_CAPTURE_AST,1,0.94
2,for,language,LANG_SYMBOL_OBJECT,1,0.975
2,for,language,LANG_CALL_OBJECT,1,0.93
2,for,language,CLOSURE_CREATE,1,0.96
2,for,language,CLOSURE_CAPTURE_ENV,1,0.93
2,for,language,CALL_FRAME_CREATE,1,0.95
2,for,language,CALL_FRAME_PARENT,1,0.94
2,for,language,FORMAL_BIND_PROMISES,1,0.91
2,for,language,COERCE_IDENTITY,1,0.985
2,for,language,TRUTH_SCALAR,1,0.975
2,for,language,MISSING_TRUTH_ERROR,1,0.975
2,for,language,CONTROL_BREAK,1,0.975
2,for,language,CONTROL_NEXT,1,0.975
2,for,language,CONTROL_RETURN,1,0.975
2,for,language,PROMISE_CREATE,1,0.94
2,for,language,PROMISE_FORCE,1,0.92
2,for,language,PROMISE_CACHE,1,0.95
2,for,language,PROMISE_RECURSION_GUARD,1,0.88
2,for,language,ENV_LOOKUP_LOCAL,1,0.975
2,for,language,ENV_LOOKUP_PARENT,1,0.95
2,for,language,ACTIVE_BINDING_READ,1,0.86
2,for,language,ENV_ASSIGN_LOCAL,1,0.975
2,for,language,ENV_SUPERASSIGN,1,0.93
2,for,language,ACTIVE_BINDING_WRITE,1,0.84
2,for,language,ARG_MATCH_EXACT,1,0.975
2,for,language,ARG_MATCH_PARTIAL_UNIQUE,1,0.975
2,for,language,ARG_MATCH_PARTIAL_AMBIGUITY,1,0.94
2,for,language,ARG_MATCH_POSITIONAL,1,0.975
2,for,language,SYMBOL_LOOKUP,1,0.975
2,for,language,PRIMITIVE_LOOKUP,1,0.975
2,for,language,SHAPE_SCALAR,1,0.975
3,repeat,language,ATTR_DROP,1,0.985
3,repeat,language,ATTR_POLICY_DROP,1,0.985
3,repeat,language,LANG_CAPTURE_AST,1,0.94
3,repeat,language,LANG_SYMBOL_OBJECT,1,0.975
3,repeat,language,LANG_CALL_OBJECT,1,0.93
3,repeat,language,CLOSURE_CREATE,1,0.96
3,repeat,language,CLOSURE_CAPTURE_ENV,1,0.93
3,repeat,language,CALL_FRAME_CREATE,1,0.95
3,repeat,language,CALL_FRAME_PARENT,1,0.94
3,repeat,language,FORMAL_BIND_PROMISES,1,0.91
3,repeat,language,COERCE_IDENTITY,1,0.985
3,repeat,language,TRUTH_SCALAR,1,0.975
3,repeat,language,MISSING_TRUTH_ERROR,1,0.975
3,repeat,language,CONTROL_BREAK,1,0.975
3,repeat,language,CONTROL_NEXT,1,0.975
3,repeat,language,CONTROL_RETURN,1,0.975
3,repeat,language,PROMISE_CREATE,1,0.94
3,repeat,language,PROMISE_FORCE,1,0.92
3,repeat,language,PROMISE_CACHE,1,0.95
3,repeat,language,PROMISE_RECURSION_GUARD,1,0.88
3,repeat,language,ENV_LOOKUP_LOCAL,1,0.975
3,repeat,language,ENV_LOOKUP_PARENT,1,0.95
3,repeat,language,ACTIVE_BINDING_READ,1,0.86
3,repeat,language,ENV_ASSIGN_LOCAL,1,0.975
3,repeat,language,ENV_SUPERASSIGN,1,0.93
3,repeat,language,ACTIVE_BINDING_WRITE,1,0.84
3,repeat,language,ARG_MATCH_EXACT,1,0.975
3,repeat,language,ARG_MATCH_PARTIAL_UNIQUE,1,0.975
3,repeat,language,ARG_MATCH_PARTIAL_AMBIGUITY,1,0.94
3,repeat,language,ARG_MATCH_POSITIONAL,1,0.975
3,repeat,language,SYMBOL_LOOKUP,1,0.975
3,repeat,language,PRIMITIVE_LOOKUP,1,0.975
3,repeat,language,SHAPE_SCALAR,1,0.975
4,break,language,ATTR_DROP,1,0.985
4,break,language,ATTR_POLICY_DROP,1,0.985
4,break,language,LANG_CAPTURE_AST,1,0.94
4,break,language,LANG_SYMBOL_OBJECT,1,0.975
4,break,language,LANG_CALL_OBJECT,1,0.93
4,break,language,CLOSURE_CREATE,1,0.96
4,break,language,CLOSURE_CAPTURE_ENV,1,0.93
4,break,language,CALL_FRAME_CREATE,1,0.95
4,break,language,CALL_FRAME_PARENT,1,0.94
4,break,language,FORMAL_BIND_PROMISES,1,0.91
4,break,language,COERCE_IDENTITY,1,0.985
4,break,language,TRUTH_SCALAR,1,0.975
4,break,language,MISSING_TRUTH_ERROR,1,0.975
4,break,language,CONTROL_BREAK,1,0.975
4,break,language,CONTROL_NEXT,1,0.975
4,break,language,CONTROL_RETURN,1,0.975
4,break,language,PROMISE_CREATE,1,0.94
4,break,language,PROMISE_FORCE,1,0.92
4,break,language,PROMISE_CACHE,1,0.95
4,break,language,PROMISE_RECURSION_GUARD,1,0.88
4,break,language,ENV_LOOKUP_LOCAL,1,0.975
4,break,language,ENV_LOOKUP_PARENT,1,0.95
4,break,language,ACTIVE_BINDING_READ,1,0.86
4,break,language,ENV_ASSIGN_LOCAL,1,0.975
4,break,language,ENV_SUPERASSIGN,1,0.93
4,break,language,ACTIVE_BINDING_WRITE,1,0.84
4,break,language,ARG_MATCH_EXACT,1,0.975
4,break,language,ARG_MATCH_PARTIAL_UNIQUE,1,0.975
4,break,language,ARG_MATCH_PARTIAL_AMBIGUITY,1,0.94
4,break,language,ARG_MATCH_POSITIONAL,1,0.975
4,break,language,SYMBOL_LOOKUP,1,0.975
4,break,language,PRIMITIVE_LOOKUP,1,0.975
4,break,language,SHAPE_SCALAR,1,0.975
5,next,language,ATTR_DROP,1,0.985
5,next,language,ATTR_POLICY_DROP,1,0.985
5,next,language,LANG_CAPTURE_AST,1,0.94
5,next,language,LANG_SYMBOL_OBJECT,1,0.975
5,next,language,LANG_CALL_OBJECT,1,0.93
5,next,language,CLOSURE_CREATE,1,0.96
5,next,language,CLOSURE_CAPTURE_ENV,1,0.93
5,next,language,CALL_FRAME_CREATE,1,0.95
5,next,language,CALL_FRAME_PARENT,1,0.94
5,next,language,FORMAL_BIND_PROMISES,1,0.91
5,next,language,COERCE_IDENTITY,1,0.985
5,next,language,TRUTH_SCALAR,1,0.975
5,next,language,MISSING_TRUTH_ERROR,1,0.975
5,next,language,CONTROL_BREAK,1,0.975
5,next,language,CONTROL_NEXT,1,0.975
5,next,language,CONTROL_RETURN,1,0.975
5,next,language,PROMISE_CREATE,1,0.94
5,next,language,PROMISE_FORCE,1,0.92
