micro_operation,atomic_operation,required
resolve_call,SYMBOL_LOOKUP,1
resolve_call,PRIMITIVE_LOOKUP,1
force_arguments,ARG_FORCE_EAGER,1
capture_language,LANG_CAPTURE_AST,1
capture_language,LANG_SYMBOL_OBJECT,1
capture_language,LANG_CALL_OBJECT,1
create_promises,PROMISE_CREATE,1
create_promises,PROMISE_FORCE,1
create_promises,PROMISE_CACHE,1
create_promises,PROMISE_RECURSION_GUARD,1
match_exact,ARG_MATCH_EXACT,1
match_partial,ARG_MATCH_PARTIAL_UNIQUE,1
match_partial,ARG_MATCH_PARTIAL_AMBIGUITY,1
match_positional,ARG_MATCH_POSITIONAL,1
collect_dots,DOTS_COLLECT,1
collect_dots,DOTS_ORDER_PRESERVE,1
collect_dots,DOTS_NAMES_PRESERVE,1
coerce_identity,COERCE_IDENTITY,1
coerce_numeric,COERCE_COMMON_NUMERIC,1
coerce_numeric,COERCE_INTEGER,1
coerce_numeric,COERCE_DOUBLE,1
coerce_logical,COERCE_LOGICAL,1
coerce_logical,LOGICAL_TRI_STATE,1
coerce_complex,COERCE_COMPLEX,1
coerce_character,COERCE_CHARACTER,1
coerce_character,ENCODING_FLAG_PRESERVE,1
coerce_recursive,RVALUE_RECURSIVE,1
coerce_recursive,PAIRLIST_REPRESENTATION,1
coerce_recursive,EXPRESSION_VECTOR,1
shape_scalar,SHAPE_SCALAR,1
shape_elementwise,VECTORIZE_UNARY,1
shape_elementwise,VECTORIZE_BINARY,1
shape_recycle,RECYCLE_LENGTH,1
shape_recycle,RECYCLE_INDEX,1
shape_recycle,RECYCLE_WARNING,1
shape_reduce,REDUCE_INIT,1
shape_reduce,REDUCE_NA_POLICY,1
shape_reduce,REDUCE_EMPTY_POLICY,1
shape_scan,SCAN_INIT,1
shape_scan,SCAN_STEP,1
shape_scan,SCAN_NA_POLICY,1
shape_subset,INDEX_NORMALIZE,1
shape_subset,INDEX_ONE_BASED,1
shape_subset,INDEX_ZERO_OMIT,1
shape_subset,INDEX_NEGATIVE_EXCLUDE,1
shape_subset,INDEX_LOGICAL_RECYCLE,1
shape_subset,INDEX_CHARACTER_NAMES,1
shape_subset,INDEX_NA,1
shape_matrix,ARRAY_SHAPE,1
shape_matrix,ARRAY_STRIDE_COLUMN_MAJOR,1
shape_matrix,DIM_PROPAGATE,1
shape_construct,VECTOR_ALLOC,1
shape_construct,VECTOR_APPEND,1
shape_construct,COMMON_TYPE,1
column_major,ARRAY_STRIDE_COLUMN_MAJOR,1
column_major,RESHAPE_COLUMN_MAJOR,1
broadcast,RECYCLE_LENGTH,1
broadcast,RECYCLE_INDEX,1
broadcast,RECYCLE_WARNING,1
gather,GATHER_ATOMIC,1
gather,GATHER_LIST,1
gather,INDEX_DROP_POLICY,1
scatter,SCATTER_ATOMIC,1
scatter,SCATTER_LIST,1
scatter,REPLACEMENT_RECYCLE,1
flatten,FLATTEN_ATOMIC,1
flatten,FLATTEN_RECURSIVE,1
map,ITER_CREATE,1
map,ITER_NEXT,1
map,CALL_CLOSURE,1
order,ORDER_TOTAL_R,1
order,ORDER_NA_PLACEMENT,1
order,ORDER_STABLE,1
match,MATCH_HASH,1
match,MATCH_NA,1
match,MATCH_NOMATCH,1
attribute_preserve,ATTR_COPY,1
attribute_preserve,ATTR_POLICY_PRESERVE,1
attribute_drop,ATTR_DROP,1
attribute_drop,ATTR_POLICY_DROP,1
attribute_names,NAMES_GET,1
attribute_names,NAMES_SET,1
attribute_dim,DIM_GET,1
attribute_dim,DIM_SET,1
attribute_dimnames,DIMNAMES_GET,1
attribute_dimnames,DIMNAMES_SET,1
attribute_class,CLASS_GET,1
attribute_class,CLASS_SET,1
attribute_read,ATTR_GET_GENERIC,1
attribute_write,ATTR_SET_GENERIC,1
dispatch_s3,S3_CLASS_VECTOR,1
dispatch_s3,S3_METHOD_LOOKUP,1
dispatch_s3,S3_NEXT_METHOD,1
dispatch_s3,S3_USEMETHOD,1
dispatch_s4,S4_CLASS_REGISTRY,1
dispatch_s4,S4_SLOT_GET,1
dispatch_s4,S4_SLOT_SET,1
dispatch_s4,S4_METHOD_LOOKUP,1
dispatch_internal,INTERNAL_GENERIC_LOOKUP,1
dispatch_internal,OPS_GROUP_DISPATCH,1
environment_read,ENV_LOOKUP_LOCAL,1
environment_read,ENV_LOOKUP_PARENT,1
environment_read,ACTIVE_BINDING_READ,1
environment_write,ENV_ASSIGN_LOCAL,1
environment_write,ENV_SUPERASSIGN,1
environment_write,ACTIVE_BINDING_WRITE,1
environment_create,ENV_CREATE,1
environment_create,ENV_PARENT_LINK,1
closure_frame,CLOSURE_CREATE,1
closure_frame,CLOSURE_CAPTURE_ENV,1
closure_frame,CALL_FRAME_CREATE,1
closure_frame,CALL_FRAME_PARENT,1
closure_frame,FORMAL_BIND_PROMISES,1
control_flow,TRUTH_SCALAR,1
control_flow,MISSING_TRUTH_ERROR,1
control_flow,CONTROL_BREAK,1
control_flow,CONTROL_NEXT,1
control_flow,CONTROL_RETURN,1
character_transform,STRING_UTF8,1
character_transform,STRING_VECTORIZE,1
regex_engine,REGEX_COMPILE,1
regex_engine,REGEX_MATCH,1
regex_engine,REGEX_REPLACE,1
regex_engine,REGEX_FLAGS_R,1
regex_engine,REGEX_NA_POLICY,1
datetime_engine,DATE_PARSE,1
datetime_engine,DATETIME_PARSE,1
datetime_engine,DATETIME_FORMAT,1
datetime_engine,TZ_RESOLVE,1
datetime_engine,DST_POLICY,1
rng_engine,RNG_KIND_SELECT,1
rng_engine,RNG_STATE_GET,1
rng_engine,RNG_STATE_SET,1
rng_engine,RNG_UNIFORM,1
rng_engine,RNG_NORMAL,1
rng_engine,RNG_SAMPLE,1
rng_engine,RNG_SEED,1
serialization_engine,SER_TYPE_TAG,1
serialization_engine,SER_LENGTH,1
serialization_engine,SER_ATOMIC,1
serialization_engine,SER_RECURSIVE,1
serialization_engine,SER_ATTRIBUTES,1
serialization_engine,SER_ENV_REFERENCE,1
serialization_engine,SER_VERSION_HEADER,1
io_adapter,CONN_OPEN,1
io_adapter,CONN_READ,1
io_adapter,CONN_WRITE,1
io_adapter,CONN_CLOSE,1
io_adapter,CONN_STATE,1
io_adapter,CONN_TEXT_BINARY,1
system_adapter,FS_PATH,1
system_adapter,FS_STAT,1
system_adapter,FS_LIST,1
system_adapter,FS_REMOVE,1
system_adapter,PROC_SPAWN,1
system_adapter,ENVVAR_GET_SET,1
numeric_backend,NUMERIC_SCALAR,1
numeric_backend,NUMERIC_VECTOR,1
numeric_backend,NA_PROPAGATE_ARITH,1
numeric_backend,NAN_DISTINGUISH,1
numeric_backend,INFINITY_POLICY,1
pure_go,SEMANTIC_RECIPE,1
